"Sample Name","Reservoir","Site","DateTime","Depth_m","Rep","Dilution"
"20241223_C50_16sep24_15R1.csv","CCR",50,2024-09-16,1.5,1,1
"20241223_C50_16sep24_20R1.csv","CCR",50,2024-09-16,20,1,1
"20241223_C50_16sep24_6R2.csv","CCR",50,2024-09-16,6,2,1
"20241223_C50_16sep24_9R1.csv","CCR",50,2024-09-16,9,1,1
"20250311_C50_28oct24_20R2.csv","CCR",50,2024-10-28,20,2,1
"20250311_C50_28oct24_9R1.csv","CCR",50,2024-10-28,9,1,1
"20250311_CC2_11jul24_BOTR2.csv","CCR",92,2024-07-11,1,2,1
"20250311_CP1_11jul24_01R1.csv","CCR",98,2024-07-11,0.1,1,1
"20250311_CS1_11jul24_01R1.csv","CCR",101,2024-07-11,0.1,1,1
"20250311_CS1_16sep24_01R1.csv","CCR",101,2024-09-16,0.1,1,1
"20250311_CS2_15aug24_01R2.csv","CCR",100,2024-08-14,0.1,2,1
"20250312_C50_17feb25_01R1.csv","CCR",50,2025-02-26,0.1,1,1
"20250312_C50_17feb25_15R1.csv","CCR",50,2025-02-26,1.5,1,1
"20250312_C50_28oct24_01R1.csv","CCR",50,2024-10-28,0.1,1,1
"20250312_C50_28oct24_15R1.csv","CCR",50,2024-10-28,1.5,1,1
"20250312_C50_28oct24_6R1.csv","CCR",50,2024-10-28,6,1,1
"20250312_C50_30sep24_01R1.csv","CCR",50,2024-09-30,0.1,1,1
"20250312_C50_30sep24_15R1.csv","CCR",50,2024-09-30,1.5,1,1
"20250312_C50_30sep24_20R1.csv","CCR",50,2024-09-30,20,1,1
"20250312_C50_30sep24_6R1.csv","CCR",50,2024-09-30,6,1,1
"20250312_C50_30sep24_9R1.csv","CCR",50,2024-09-30,9,1,1
"20250312_CC3_17feb25_01R2.csv","CCR",90,2025-02-26,0.1,2,1
"20250312_CP1_17feb25_01R1.csv","CCR",98,2025-02-26,0.1,1,1
"20250312_CP1_17feb25_BOTR1.csv","CCR",98,2025-02-26,1,1,1
"20250312_CP2_15aug24_01R1.csv","CCR",96,2024-08-14,0.1,1,1
"20250314_C50_17dec24_15R1.csv","CCR",50,2024-12-17,1.5,1,1
"20250314_CC2_17dec24_01R1.csv","CCR",92,2024-12-17,0.1,1,1
"20250314_CC3_17dec24_15R1.csv","CCR",90,2024-12-17,1.5,1,1
"20250314_CC3_17dec24_BOTR1.csv","CCR",90,2024-12-17,4,1,1
"20250314_CC4_17dec24_01R1.csv","CCR",88,2024-12-17,0.1,1,1
"20250314_CC4_17dec24_6R1.csv","CCR",88,2024-12-17,6,1,1
"20250314_CC4_17dec24_BOTR1.csv","CCR",88,2024-12-17,11,1,1
"20250314_CP2_17dec24_01R1.csv","CCR",96,2024-12-17,0.1,1,1
"20250314_CS1_17dec24_01R1.csv","CCR",101,2024-12-17,0.1,1,1
"20250314_CS1_17dec24_01R2.csv","CCR",101,2024-12-17,0.1,2,1
"20250314_CS1_17feb25_01R1.csv","CCR",101,2025-02-26,0.1,1,1
"20250314_CS2_17dec24_01R1.csv","CCR",100,2024-12-17,0.1,1,1
"20250324_C50_17dec24_20R1.csv","CCR",50,2024-12-17,20,1,1
"20250324_C50_17dec24_9R1.csv","CCR",50,2024-12-17,9,1,1
"20250324_CC2_17dec24_01R2.csv","CCR",92,2024-12-17,0.1,2,1
"20250324_CC3_17dec24_15R2.csv","CCR",90,2024-12-17,1.5,2,1
"20250324_CC4_17dec24_15R1.csv","CCR",88,2024-12-17,1.5,1,1
"20250324_CP1_17dec24_01R1.csv","CCR",98,2024-12-17,0.1,1,1
"20250324_CP2_17feb25_01R1.csv","CCR",96,2025-02-26,0.1,1,1
"20250326_C50_17dec24_01R1.csv","CCR",50,2024-12-17,0.1,1,1
"20250326_C50_17dec24_6R1.csv","CCR",50,2024-12-17,6,1,1
"20250326_CC2_17feb25_BOTR1.csv","CCR",92,2025-02-26,2,1,1
"20250326_CC3_17dec24_01R1.csv","CCR",90,2024-12-17,0.1,1,1
"20250326_CC4_17dec24_9R1.csv","CCR",88,2024-12-17,9,1,1
"20250326_CC4_17dec24_9R2.csv","CCR",88,2024-12-17,9,2,1
"20250326_CC4_17feb25_BOTR2.csv","CCR",88,2025-02-26,12,2,1
"20250326_CP2_17feb25_BOTR1.csv","CCR",96,2025-02-26,1.7,1,1
"20250326_CS2_17feb25_01R1.csv","CCR",100,2025-02-26,0.1,1,1
"20250327_C50_17feb25_20R1.csv","CCR",50,2025-02-26,20,1,1
"20250327_C50_17feb25_6R1.csv","CCR",50,2025-02-26,6,1,1
"20250327_C50_17feb25_9R1.csv","CCR",50,2025-02-26,9,1,1
