Sample Name,File Name,Reservoir,Site,DateTime,Depth_m,Rep,Dilution
20240614_CC4_22may24_15r2.csv,p_20240614_CC4_22may24_15r2.csv,CCR,90,5/22/2024,1.5,2,1
20240614_CC1_22may24_01r2.csv,p_20240614_CC1_22may24_01r2.csv,CCR,94,5/22/2024,0.1,2,1
20240614_CP1_22may24_BOTr1.csv,p_20240614_CP1_22may24_BOTr1.csv,CCR,98,5/22/2024,0.5,1,1
20240614_CP2_22may24_BOTr2.csv,p_20240614_CP2_22may24_BOTr2.csv,CCR,96,5/22/2024,1.5,2,1
20240614_CS2_22may24_01r2.csv,p_20240614_CS2_22may24_01r2.csv,CCR,100,5/22/2024,0.1,2,1
20240614_CP2_22may24_01r1.csv,p_20240614_CP2_22may24_01r1.csv,CCR,96,5/22/2024,0.1,1,1
20240614_CC4_22may24_BOTr1.csv,p_20240614_CC4_22may24_BOTr1.csv,CCR,90,5/22/2024,6,1,1
20240614_CC4_22may24_01r1.csv,p_20240614_CC4_22may24_01r1.csv,CCR,90,5/22/2024,0.1,1,1
20240614_CP1_22may24_01r2.csv,p_20240614_CP1_22may24_01r2.csv,CCR,98,5/22/2024,0.1,2,1
20240614_CC2_22may24_01r1.csv,p_20240614_CC2_22may24_01r1.csv,CCR,92,5/22/2024,0.1,1,1
20240614_CC2_22may24_BOTr1.csv,p_20240614_CC2_22may24_BOTr1.csv,CCR,92,5/22/2024,2,1,1
20240708_CC4_19jun24_15r1.csv,p_20240708_CC4_19jun24_15r1.csv,CCR,88,6/19/2024,1.5,1,1
20240708_CC3_19jun24_BOTr1.csv,p_20240708_CC3_19jun24_BOTr1.csv,CCR,90,6/19/2024,6,1,1
20240708_CC2_19jun24_BOTr1.csv,p_20240708_CC2_19jun24_BOTr1.csv,CCR,92,6/19/2024,1.5,1,1
20240708_CC3_19jun24_15r2.csv,p_20240708_CC3_19jun24_15r2.csv,CCR,90,6/19/2024,1.5,2,1
20240708_CC3_19jun24_15r1.csv,p_20240708_CC3_19jun24_15r1.csv,CCR,90,6/19/2024,1.5,1,1
20240708_CC3_19jun24_01r2.csv,p_20240708_CC3_19jun24_01r2.csv,CCR,90,6/19/2024,0.1,2,1
20240708_CC2_19jun24_BOTr2.csv,p_20240708_CC2_19jun24_BOTr2.csv,CCR,92,6/19/2024,1.5,2,1
20240708_CC1_19jun24_BOTr1.csv,p_20240708_CC1_19jun24_BOTr1.csv,CCR,94,6/19/2024,1,1,1
20240708_CC1_19jun24_01r1.csv,p_20240708_CC1_19jun24_01r1.csv,CCR,94,6/19/2024,0.1,1,1
20240708_CS2_19jun24_01r1.csv,p_20240708_CS2_19jun24_01r1.csv,CCR,100,6/19/2024,0.1,1,1
20240708_CP2_19jun24_01r2.csv,p_20240708_CP2_19jun24_01r2.csv,CCR,96,6/19/2024,0.1,2,1
20240708_CP1_19jun24_01r2.csv,p_20240708_CP1_19jun24_01r2.csv,CCR,98,6/19/2024,0.1,2,1
20240708_CP1_19jun24_BOTr1.csv,p_20240708_CP1_19jun24_BOTr1.csv,CCR,98,6/19/2024,0.3,1,1
20240708_CS1_19jun24_01r1.csv,p_20240708_CS1_19jun24_01r1.csv,CCR,101,6/19/2024,0.1,1,1
20240708_CP2_19jun24_BOTr2.csv,p_20240708_CP2_19jun24_BOTr2.csv,CCR,96,6/19/2024,1,2,1
20240725_CP1_11jul24_01r2.csv,p_20240725_CP1_11jul24_01r2.csv,CCR,98,7/11/2024,0.1,2,1
20240725_CC1_11jul24_01r1.csv,p_20240725_CC1_11jul24_01r1.csv,CCR,94,7/11/2024,0.1,1,1
20240725_CS1_11jul24_01r1.csv,p_20240725_CS1_11jul24_01r1.csv,CCR,101,7/11/2024,0.1,1,1
20240725_CC3_11jul24_15r2.csv,p_20240725_CC3_11jul24_15r2.csv,CCR,90,7/11/2024,1.5,2,1
20240725_CC4_11jul24_BOTr2.csv,p_20240725_CC4_11jul24_BOTr2.csv,CCR,88,7/11/2024,12,2,1
20240725_CC4_11jul24_9r2.csv,p_20240725_CC4_11jul24_9r2.csv,CCR,88,7/11/2024,9,2,1
20240725_CP2_11jul24_BOTr2.csv,p_20240725_CP2_11jul24_BOTr2.csv,CCR,96,7/11/2024,0.5,2,1
20240725_CC2_11jul24_01r1.csv,p_20240725_CC2_11jul24_01r1.csv,CCR,92,7/11/2024,0.1,1,1
20240725_CC4_11jul24_15r1.csv,p_20240725_CC4_11jul24_15r1.csv,CCR,88,7/11/2024,1.5,1,1
20240725_CP2_11jul24_01r1.csv,p_20240725_CP2_11jul24_01r1.csv,CCR,96,7/11/2024,0.1,1,1
20240725_CC4_11jul24_6r1.csv,p_20240725_CC4_11jul24_6r1.csv,CCR,88,7/11/2024,6,1,1
20240725_CC3_11jul24_01r2.csv,p_20240725_CC3_11jul24_01r2.csv,CCR,90,7/11/2024,0.1,2,1
20240725_CC1_11jul24_BOTr2.csv,p_20240725_CC1_11jul24_BOTr2.csv,CCR,94,7/11/2024,0.5,2,1
20240725_CC4_11jul24_01r1.csv,p_20240725_CC4_11jul24_01r1.csv,CCR,88,7/11/2024,0.1,1,1
20240726_CC2_19jun24_01r2.csv,p_20240726_CC2_19jun24_01r2.csv,CCR,92,6/19/2024,0.1,2,1
20240726_CC3_11jul24_15r1.csv,p_20240726_CC3_11jul24_15r1.csv,CCR,90,7/11/2024,1.5,1,1
20240726_CC3_11jul24_BOTr1.csv,p_20240726_CC3_11jul24_BOTr1.csv,CCR,90,7/11/2024,5,1,1
20240726_CC4_19jun24_01r1.csv,p_20240726_CC4_19jun24_01r1.csv,CCR,88,6/19/2024,0.1,1,1
20240726_CC4_19jun24_6r1.csv,p_20240726_CC4_19jun24_6r1.csv,CCR,88,6/19/2024,6,1,1
20240726_CC4_19jun24_9r2.csv,p_20240726_CC4_19jun24_9r2.csv,CCR,88,6/19/2024,9,2,1
20240726_CC4_19jun24_BOTr2.csv,p_20240726_CC4_19jun24_BOTr2.csv,CCR,88,6/19/2024,13,2,1
20240726_CC5_22may24_01r1.csv,p_20240726_CC5_22may24_01r1.csv,CCR,88,5/22/2024,0.1,1,1
20240726_CC5_22may24_13r1.csv,p_20240726_CC5_22may24_13r1.csv,CCR,88,5/22/2024,13,1,1
20240726_CC5_22may24_15r2.csv,p_20240726_CC5_22may24_15r2.csv,CCR,88,5/22/2024,1.5,2,1
20240726_CC5_22may24_6r2.csv,p_20240726_CC5_22may24_6r2.csv,CCR,88,5/22/2024,6,2,1
20240726_CC5_22may24_9r2.csv,p_20240726_CC5_22may24_9r2.csv,CCR,88,5/22/2024,9,2,1
20240726_CS2_11jul24_01r2.csv,p_20240726_CS2_11jul24_01r2.csv,CCR,100,7/11/2024,0.1,2,1
20240822_CC2_15aug24_01r2.csv,p_20240822_CC2_15aug24_01r2.csv,CCR,92,8/14/2024,0.1,2,1
20240822_CC2_15aug24_BOTr1.csv,p_20240822_CC2_15aug24_BOTr1.csv,CCR,92,8/14/2024,0.5,1,1
20240822_CC3_15aug24_01r2.csv,p_20240822_CC3_15aug24_01r2.csv,CCR,90,8/14/2024,0.1,2,1
20240822_CC3_15aug24_15r2.csv,p_20240822_CC3_15aug24_15r2.csv,CCR,90,8/14/2024,1.5,2,1
20240822_CC3_15aug24_BOTr1.csv,p_20240822_CC3_15aug24_BOTr1.csv,CCR,90,8/14/2024,4,1,1
20240822_CC4_15aug24_01r2.csv,p_20240822_CC4_15aug24_01r2.csv,CCR,88,8/14/2024,0.1,2,1
20240822_CC4_15aug24_15r1.csv,p_20240822_CC4_15aug24_15r1.csv,CCR,88,8/14/2024,1.5,1,1
20240822_CC4_15aug24_6r1.csv,p_20240822_CC4_15aug24_6r1.csv,CCR,88,8/14/2024,6,1,1
20240822_CC4_15aug24_6r2.csv,p_20240822_CC4_15aug24_6r2.csv,CCR,88,8/14/2024,6,2,1
20240822_CP2_15aug24_01r2.csv,p_20240822_CP2_15aug24_01r2.csv,CCR,96,8/14/2024,0.1,2,1
20240822_CS1_15aug24_01r1.csv,p_20240822_CS1_15aug24_01r1.csv,CCR,101,8/14/2024,0.1,1,1
20240822_CS1_15aug24_01r2.csv,p_20240822_CS1_15aug24_01r2.csv,CCR,101,8/14/2024,0.1,2,1
20240822_CS2_15aug24_01r1.csv,p_20240822_CS2_15aug24_01r1.csv,CCR,100,8/14/2024,0.1,1,1
20240823_CC2_22may24_BOTr2.csv,p_20240823_CC2_22may24_BOTr2.csv,CCR,92,5/22/2024,2,2,1
