Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
346.00	0.001	0.014	0.014	0.013	0.011	0.012	0.013	0.011	0.011	0.010	0.011	0.011	0.010
347.00	0.001	0.013	0.013	0.013	0.010	0.011	0.013	0.011	0.011	0.010	0.011	0.010	0.010
348.00	0.001	0.013	0.013	0.013	0.010	0.012	0.013	0.011	0.010	0.010	0.011	0.010	0.010
349.00	0.001	0.013	0.013	0.013	0.010	0.011	0.013	0.011	0.011	0.010	0.011	0.010	0.010
350.00	0.001	0.013	0.013	0.013	0.010	0.011	0.012	0.011	0.010	0.010	0.011	0.010	0.009
351.00	0.001	0.013	0.012	0.013	0.010	0.011	0.012	0.011	0.010	0.010	0.011	0.010	0.009
352.00	0.001	0.013	0.013	0.012	0.010	0.011	0.012	0.011	0.010	0.010	0.011	0.010	0.009
353.00	0.001	0.012	0.012	0.012	0.009	0.011	0.012	0.010	0.010	0.009	0.010	0.009	0.009
354.00	0.001	0.012	0.012	0.012	0.009	0.010	0.012	0.010	0.010	0.009	0.010	0.009	0.009
355.00	0.001	0.012	0.012	0.012	0.009	0.010	0.012	0.010	0.009	0.009	0.010	0.009	0.009
356.00	0.001	0.012	0.012	0.012	0.009	0.010	0.011	0.010	0.009	0.009	0.010	0.009	0.008
357.00	0.001	0.012	0.012	0.012	0.009	0.010	0.011	0.009	0.009	0.009	0.009	0.009	0.008
358.00	0.001	0.011	0.012	0.011	0.009	0.010	0.011	0.009	0.009	0.008	0.009	0.009	0.008
359.00	0.001	0.011	0.011	0.011	0.008	0.010	0.011	0.009	0.009	0.008	0.009	0.008	0.008
360.00	0.001	0.011	0.011	0.011	0.008	0.009	0.010	0.009	0.008	0.008	0.009	0.008	0.008
361.00	0.001	0.010	0.011	0.011	0.008	0.009	0.010	0.009	0.008	0.008	0.009	0.008	0.007
362.00	0.001	0.010	0.011	0.010	0.008	0.009	0.010	0.009	0.008	0.008	0.009	0.008	0.007
363.00	0.001	0.010	0.011	0.010	0.008	0.009	0.010	0.008	0.008	0.008	0.008	0.008	0.007
364.00	0.001	0.010	0.010	0.010	0.007	0.009	0.010	0.008	0.008	0.008	0.008	0.008	0.007
365.00	0.001	0.010	0.010	0.010	0.007	0.009	0.010	0.008	0.008	0.007	0.008	0.008	0.007
366.00	0.001	0.010	0.010	0.010	0.007	0.009	0.010	0.008	0.008	0.007	0.008	0.008	0.007
367.00	0.001	0.010	0.010	0.010	0.007	0.008	0.009	0.008	0.008	0.007	0.008	0.007	0.007
368.00	0.001	0.009	0.010	0.009	0.007	0.008	0.009	0.008	0.007	0.007	0.007	0.007	0.006
