Wavelength nm.,MiliQ,CC3_BOT_freezetest,CC3_01_freezetest,CS1_01_freezetest,chla50mL_dil_s4,Chla100_1000mL_s5,soil_dil_s6,leaf_dilS7,leaf_dilS8
330,0,0.014,0.012,0.016,0.04,0.043,0.085,0.077,0.029
331,0,0.013,0.012,0.016,0.039,0.042,0.084,0.076,0.028
332,0,0.013,0.011,0.015,0.038,0.041,0.083,0.074,0.028
333,0,0.013,0.011,0.015,0.037,0.039,0.081,0.073,0.027
334,0,0.012,0.011,0.015,0.036,0.039,0.08,0.072,0.027
335,0,0.012,0.01,0.015,0.035,0.038,0.079,0.07,0.026
336,0,0.012,0.01,0.015,0.034,0.037,0.078,0.069,0.026
337,0,0.012,0.01,0.014,0.034,0.036,0.077,0.068,0.025
338,0,0.012,0.01,0.014,0.033,0.036,0.075,0.066,0.025
339,0,0.012,0.01,0.014,0.033,0.035,0.075,0.065,0.025
340,0.002,0.013,0.012,0.016,0.033,0.036,0.075,0.065,0.026
341,0,0.011,0.01,0.014,0.031,0.034,0.073,0.063,0.024
342,0,0.011,0.009,0.014,0.03,0.033,0.071,0.061,0.023
343,0,0.011,0.009,0.013,0.029,0.032,0.07,0.06,0.022
344,0,0.01,0.009,0.014,0.029,0.031,0.069,0.059,0.022
345,0,0.01,0.009,0.013,0.028,0.031,0.068,0.057,0.021
346,0,0.01,0.008,0.013,0.027,0.029,0.066,0.055,0.021
347,0,0.01,0.008,0.013,0.026,0.029,0.065,0.054,0.02
348,0,0.01,0.008,0.013,0.026,0.028,0.064,0.053,0.02
349,0,0.01,0.008,0.013,0.025,0.028,0.063,0.052,0.019
350,0,0.009,0.008,0.012,0.025,0.027,0.062,0.05,0.019
351,0,0.009,0.008,0.013,0.024,0.027,0.061,0.049,0.019
352,0,0.009,0.008,0.013,0.024,0.026,0.061,0.048,0.018
353,0,0.009,0.008,0.012,0.023,0.025,0.06,0.046,0.017
354,0,0.009,0.008,0.012,0.023,0.025,0.058,0.045,0.017
355,0,0.008,0.008,0.012,0.022,0.025,0.058,0.044,0.017
356,0,0.009,0.008,0.012,0.022,0.024,0.057,0.043,0.016
357,0,0.008,0.007,0.012,0.021,0.023,0.056,0.041,0.016
358,0,0.008,0.007,0.011,0.021,0.023,0.055,0.041,0.015
359,0,0.008,0.007,0.011,0.02,0.022,0.054,0.039,0.015
360,0,0.008,0.007,0.011,0.02,0.022,0.053,0.038,0.014
361,0,0.008,0.007,0.011,0.019,0.021,0.052,0.037,0.014
362,0,0.008,0.007,0.011,0.019,0.021,0.052,0.036,0.014
363,0,0.008,0.007,0.011,0.019,0.021,0.05,0.035,0.013
364,0,0.007,0.006,0.011,0.018,0.02,0.05,0.035,0.013
365,0,0.007,0.006,0.011,0.018,0.02,0.049,0.033,0.012
366,0,0.007,0.006,0.01,0.017,0.019,0.048,0.033,0.012
367,0,0.007,0.006,0.01,0.017,0.019,0.048,0.032,0.012
368,0,0.007,0.006,0.01,0.016,0.018,0.047,0.031,0.011
369,0,0.006,0.005,0.01,0.016,0.018,0.046,0.03,0.011
370,0,0.007,0.006,0.01,0.016,0.017,0.045,0.029,0.011
371,0,0.007,0.006,0.01,0.016,0.017,0.044,0.029,0.011
372,0,0.007,0.005,0.01,0.015,0.017,0.044,0.028,0.011
373,0,0.006,0.006,0.01,0.015,0.017,0.044,0.028,0.011
374,0,0.006,0.005,0.01,0.014,0.016,0.043,0.027,0.01
375,0,0.006,0.005,0.009,0.014,0.016,0.042,0.027,0.01
376,0,0.006,0.005,0.009,0.014,0.015,0.041,0.026,0.01
377,0,0.006,0.005,0.009,0.014,0.015,0.041,0.026,0.01
378,0,0.006,0.005,0.009,0.013,0.015,0.04,0.025,0.009
379,0,0.006,0.005,0.009,0.013,0.014,0.039,0.025,0.009
380,0,0.006,0.005,0.009,0.013,0.014,0.039,0.024,0.009
381,0,0.005,0.004,0.009,0.012,0.014,0.038,0.024,0.009
382,0,0.005,0.005,0.009,0.012,0.014,0.038,0.023,0.009
383,0,0.005,0.005,0.009,0.012,0.013,0.037,0.023,0.008
384,0,0.005,0.004,0.009,0.012,0.013,0.037,0.023,0.008
385,0,0.005,0.004,0.008,0.012,0.013,0.036,0.022,0.008
386,0,0.005,0.004,0.009,0.011,0.013,0.036,0.022,0.008
387,0,0.005,0.004,0.008,0.011,0.012,0.035,0.021,0.008
388,0,0.005,0.004,0.008,0.011,0.012,0.034,0.021,0.008
389,0,0.005,0.004,0.008,0.011,0.012,0.034,0.021,0.008
390,0,0.005,0.004,0.008,0.01,0.012,0.034,0.02,0.008
391,0,0.005,0.004,0.008,0.01,0.011,0.033,0.02,0.007
392,0,0.005,0.004,0.008,0.01,0.011,0.033,0.02,0.007
393,0,0.005,0.004,0.008,0.01,0.011,0.032,0.019,0.007
394,0,0.004,0.004,0.008,0.01,0.011,0.032,0.019,0.007
395,0,0.004,0.004,0.008,0.009,0.01,0.031,0.019,0.007
396,0,0.004,0.004,0.008,0.009,0.01,0.031,0.018,0.007
397,0,0.004,0.003,0.007,0.009,0.01,0.03,0.018,0.007
398,0,0.004,0.003,0.007,0.009,0.01,0.03,0.018,0.007
399,0,0.004,0.003,0.007,0.009,0.01,0.029,0.017,0.006
400,0,0.004,0.003,0.007,0.009,0.01,0.029,0.017,0.006
401,0,0.004,0.003,0.007,0.008,0.009,0.029,0.017,0.006
402,0,0.004,0.003,0.007,0.008,0.009,0.028,0.016,0.006
403,0,0.004,0.003,0.007,0.008,0.009,0.028,0.016,0.006
404,0,0.004,0.003,0.007,0.008,0.009,0.027,0.016,0.006
405,0,0.004,0.003,0.007,0.008,0.009,0.027,0.016,0.006
406,0,0.004,0.003,0.007,0.008,0.009,0.027,0.015,0.006
407,0,0.004,0.003,0.007,0.008,0.008,0.026,0.015,0.006
408,0,0.004,0.003,0.007,0.007,0.008,0.026,0.015,0.006
409,0,0.004,0.003,0.007,0.007,0.008,0.026,0.015,0.005
