Wavelenght,MilliQ,C14jul22_CCS_r1,C30jun22_9m_r2,C14jul22_20m_r1,C30jun22_SMB_r2,C30jun22_0_1m_r1,C30jun22_1_5m_r1,C30jun22_CCS_r1,C14jul22_6m_r1,C14jul22_9m_r1,C30jun22_6m_r2
408,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
409,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
410,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.003
411,-0.002,0.003,0.001,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.002
412,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.002
413,-0.002,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.002
414,-0.002,0.003,0.002,0.009,0.006,0.003,0.001,0.003,0.002,0.001,0.002
415,-0.002,0.003,0.002,0.009,0.006,0.003,0.001,0.003,0.002,0.001,0.002
416,-0.001,0.003,0.002,0.009,0.006,0.003,0.002,0.003,0.002,0.002,0.002
417,-0.002,0.003,0.001,0.008,0.006,0.003,0.001,0.003,0.002,0.001,0.002
418,-0.002,0.003,0.001,0.008,0.006,0.003,0.001,0.003,0.002,0.001,0.002
419,-0.002,0.003,0.001,0.008,0.006,0.003,0.001,0.003,0.002,0.001,0.002
420,-0.002,0.003,0.001,0.008,0.006,0.002,0.001,0.003,0.002,0.001,0.002
421,-0.002,0.003,0.001,0.008,0.006,0.003,0.001,0.003,0.002,0.001,0.002
422,-0.001,0.003,0.001,0.008,0.006,0.003,0.001,0.003,0.002,0.001,0.002
423,-0.001,0.003,0.001,0.008,0.006,0.003,0.001,0.003,0.002,0.001,0.002
424,-0.001,0.003,0.001,0.008,0.005,0.003,0.001,0.003,0.002,0.001,0.002
425,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
426,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
427,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
428,-0.001,0.003,0.001,0.008,0.005,0.003,0.001,0.003,0.002,0.001,0.002
429,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
430,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
431,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
432,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
433,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
434,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
435,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
436,-0.001,0.003,0.001,0.008,0.005,0.002,0.001,0.003,0.002,0.001,0.002
437,-0.001,0.003,0.001,0.007,0.005,0.002,0.001,0.003,0.002,0.001,0.002
438,-0.001,0.003,0.001,0.007,0.005,0.002,0.001,0.003,0.002,0.001,0.002
439,-0.001,0.003,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
440,-0.001,0.003,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
441,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
442,-0.001,0.003,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
443,-0.001,0.003,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
444,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.002,0.001,0.001,0.001
445,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.002,0.001,0.001,0.001
446,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.002,0.001,0.001,0.001
447,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
448,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
449,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
450,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
451,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.002,0.001,0.001,0.001
452,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.003,0.001,0.001,0.001
453,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.002,0.001,0.001,0.001
454,-0.001,0.002,0.001,0.007,0.005,0.002,0.001,0.002,0.001,0.001,0.001
455,-0.001,0.002,0.001,0.006,0.005,0.002,0.001,0.002,0.001,0.001,0.001
456,-0.001,0.002,0.001,0.006,0.005,0.002,0.001,0.002,0.001,0.001,0.001
457,-0.001,0.002,0.001,0.006,0.005,0.002,0.001,0.002,0.001,0.001,0.001
458,-0.001,0.002,0.001,0.006,0.005,0.002,0.001,0.002,0.001,0.001,0.001
459,-0.001,0.002,0.001,0.006,0.005,0.002,0.001,0.002,0.001,0.001,0.001
460,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
461,-0.001,0.002,0.001,0.006,0.005,0.002,0.001,0.002,0.001,0.001,0.001
462,-0.001,0.002,0.001,0.006,0.005,0.002,0.001,0.002,0.001,0.001,0.001
463,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
464,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
465,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
466,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
467,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
468,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
469,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
470,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
471,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0,0.001
472,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0,0.001
473,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
474,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0.001,0.001
475,-0.001,0.002,0.001,0.006,0.004,0.002,0.001,0.002,0.001,0,0.001
