,Blank,F27Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
221,-0.025,0.117,0.142,32.7026,3.487454585,,0.048,0.073,33.6238,3.51523415,,0.183,0.208,47.9024,3.869165608,,0.087,0.112,51.5872,3.94327358,,0.046,0.071,16.3513,2.794307405,,0.122,0.147,33.8541,3.522060115,,0.044,0.069,31.7814,3.458881213,,0.221,0.246,56.6538,4.036959064,,0.09,0.115,52.969,3.969706837,,0.287,0.312,71.8536,4.274630716,,0.059,0.084,38.6904,3.655591507,
222,-0.024,0.115,0.139,32.0117,3.466101461,,0.048,0.072,33.1632,3.501440827,,0.183,0.207,47.6721,3.864346321,,0.087,0.111,51.1266,3.93430491,,0.046,0.07,16.121,2.78012277,,0.12,0.144,33.1632,3.501440827,,0.043,0.067,30.8602,3.429467328,,0.22,0.244,56.1932,4.028795753,,0.09,0.114,52.5084,3.960973157,,0.286,0.31,71.393,4.268199825,,0.059,0.083,38.2298,3.643615316,
223,-0.022,0.114,0.136,31.3208,3.444282414,,0.047,0.069,31.7814,3.458881213,,0.183,0.205,47.2115,3.854637507,,0.088,0.11,50.666,3.925255074,,0.046,0.068,15.6604,2.751135233,,0.118,0.14,32.242,3.47326995,,0.043,0.065,29.939,3.399161978,,0.22,0.242,55.7326,4.020565254,,0.09,0.112,51.5872,3.94327358,,0.285,0.307,70.7021,4.258475275,,0.06,0.082,37.7692,3.631493956,
224,-0.021,0.112,0.133,30.6299,3.421976656,,0.047,0.068,31.3208,3.444282414,,0.182,0.203,46.7509,3.844833507,,0.088,0.109,50.2054,3.916122591,,0.046,0.067,15.4301,2.736320147,,0.116,0.137,31.5511,3.451608454,,0.043,0.064,29.4784,3.383657792,,0.219,0.24,55.272,4.012266451,,0.09,0.111,51.1266,3.93430491,,0.284,0.305,70.2415,4.251939304,,0.06,0.081,37.3086,3.619223863,
225,-0.02,0.11,0.13,29.939,3.399161978,,0.047,0.067,30.8602,3.429467328,,0.182,0.202,46.5206,3.839895225,,0.089,0.109,50.2054,3.916122591,,0.046,0.066,15.1998,2.72128227,,0.114,0.134,30.8602,3.429467328,,0.043,0.063,29.0178,3.367909435,,0.218,0.238,54.8114,4.003898202,,0.091,0.111,51.1266,3.93430491,,0.283,0.303,69.7809,4.245360333,,0.061,0.081,37.3086,3.619223863,
226,-0.019,0.109,0.128,29.4784,3.383657792,,0.046,0.065,29.939,3.399161978,,0.182,0.201,46.2903,3.834932436,,0.089,0.108,49.7448,3.906905936,,0.046,0.065,14.9695,2.706014798,,0.113,0.132,30.3996,3.41442945,,0.043,0.062,28.5572,3.351909093,,0.217,0.236,54.3508,3.995459333,,0.091,0.11,50.666,3.925255074,,0.281,0.3,69.09,4.235410003,,0.061,0.08,36.848,3.606801343,
227,-0.018,0.108,0.126,29.0178,3.367909435,,0.046,0.064,29.4784,3.383657792,,0.181,0.199,45.8297,3.824932353,,0.089,0.107,49.2842,3.897603543,,0.047,0.065,14.9695,2.706014798,,0.112,0.13,29.939,3.399161978,,0.043,0.061,28.0966,3.335648573,,0.217,0.235,54.1205,3.991213042,,0.091,0.109,50.2054,3.916122591,,0.28,0.298,68.6294,4.228721014,,0.062,0.08,36.848,3.606801343,
228,-0.016,0.107,0.123,28.3269,3.343811883,,0.046,0.062,28.5572,3.351909093,,0.182,0.198,45.5994,3.819894559,,0.09,0.106,48.8236,3.888213803,,0.047,0.063,14.5089,2.674762254,,0.111,0.127,29.2481,3.375814614,,0.043,0.059,27.1754,3.302312152,,0.217,0.233,53.6599,3.982665981,,0.092,0.108,49.7448,3.906905936,,0.28,0.296,68.1688,4.221986982,,0.063,0.079,36.3874,3.594222561,
229,-0.014,0.106,0.12,27.636,3.319119271,,0.047,0.061,28.0966,3.335648573,,0.182,0.196,45.1388,3.809742187,,0.091,0.105,48.363,3.878735059,,0.048,0.062,14.2786,2.658761913,,0.11,0.124,28.5572,3.351909093,,0.044,0.058,26.7148,3.285217719,,0.217,0.231,53.1993,3.974045238,,0.093,0.107,49.2842,3.897603543,,0.279,0.293,67.4779,4.211800137,,0.064,0.078,35.9268,3.581483535,
230,-0.013,0.105,0.118,27.1754,3.302312152,,0.047,0.06,27.636,3.319119271,,0.182,0.195,44.9085,3.804627086,,0.091,0.104,47.9024,3.869165608,,0.048,0.061,14.0483,2.642501392,,0.109,0.122,28.0966,3.335648573,,0.044,0.057,26.2542,3.267825976,,0.216,0.229,52.7387,3.965349531,,0.094,0.107,49.2842,3.897603543,,0.278,0.291,67.0173,4.204950795,,0.065,0.078,35.9268,3.581483535,
231,-0.011,0.104,0.115,26.4845,3.276559656,,0.047,0.058,26.7148,3.285217719,,0.182,0.193,44.4479,3.794317717,,0.092,0.103,47.4418,3.859503697,,0.049,0.06,13.818,2.62597209,,0.108,0.119,27.4057,3.310751021,,0.044,0.055,25.333,3.232107894,,0.216,0.227,52.2781,3.956577545,,0.094,0.105,48.363,3.878735059,,0.278,0.289,66.5567,4.198054216,,0.066,0.077,35.4662,3.56858013,
232,-0.01,0.103,0.113,26.0239,3.259015347,,0.047,0.057,26.2542,3.267825976,,0.183,0.193,44.4479,3.794317717,,0.093,0.103,47.4418,3.859503697,,0.049,0.059,13.5877,2.609164972,,0.106,0.116,26.7148,3.285217719,,0.045,0.055,25.333,3.232107894,,0.216,0.226,52.0478,3.952162527,,0.095,0.105,48.363,3.878735059,,0.277,0.287,66.0961,4.191109744,,0.066,0.076,35.0056,3.555508049,
233,-0.008,0.103,0.111,25.5633,3.241157729,,0.047,0.055,25.333,3.232107894,,0.183,0.191,43.9873,3.783900956,,0.094,0.102,46.9812,3.849747522,,0.05,0.058,13.3574,2.592070538,,0.106,0.114,26.2542,3.267825976,,0.045,0.053,24.4118,3.195066622,,0.216,0.224,51.5872,3.94327358,,0.096,0.104,47.9024,3.869165608,,0.277,0.285,65.6355,4.184116708,,0.068,0.076,35.0056,3.555508049,
234,-0.007,0.102,0.109,25.1027,3.22297541,,0.047,0.054,24.8724,3.213758755,,0.183,0.19,43.757,3.7786516,,0.094,0.101,46.5206,3.839895225,,0.051,0.058,13.3574,2.592070538,,0.105,0.112,25.7936,3.250126399,,0.046,0.053,24.4118,3.195066622,,0.216,0.223,51.3569,3.938799299,,0.096,0.103,47.4418,3.859503697,,0.277,0.284,65.4052,4.180601766,,0.068,0.075,34.545,3.542262822,
235,-0.005,0.101,0.106,24.4118,3.195066622,,0.047,0.052,23.9512,3.176018427,,0.184,0.189,43.5267,3.773374543,,0.095,0.1,46.06,3.829944894,,0.051,0.056,12.8968,2.556979219,,0.104,0.109,25.1027,3.22297541,,0.046,0.051,23.4906,3.156600341,,0.216,0.221,50.8963,3.929790229,,0.097,0.102,46.9812,3.849747522,,0.276,0.281,64.7143,4.169982197,,0.069,0.074,34.0844,3.528839802,
236,-0.004,0.101,0.105,24.1815,3.185587878,,0.047,0.051,23.4906,3.156600341,,0.184,0.188,43.2964,3.768069491,,0.096,0.1,46.06,3.829944894,,0.052,0.056,12.8968,2.556979219,,0.104,0.108,24.8724,3.213758755,,0.046,0.05,23.03,3.136797714,,0.216,0.22,50.666,3.925255074,,0.098,0.102,46.9812,3.849747522,,0.276,0.28,64.484,4.166417131,,0.07,0.074,34.0844,3.528839802,
237,-0.003,0.1,0.103,23.7209,3.166356516,,0.047,0.05,23.03,3.136797714,,0.184,0.187,43.0661,3.762736145,,0.096,0.099,45.5994,3.819894559,,0.052,0.055,12.6665,2.538960713,,0.102,0.105,24.1815,3.185587878,,0.046,0.049,22.5694,3.116595007,,0.216,0.219,50.4357,3.920699258,,0.098,0.101,46.5206,3.839895225,,0.275,0.278,64.0234,4.159248642,,0.071,0.074,34.0844,3.528839802,
238,-0.003,0.099,0.102,23.4906,3.156600341,,0.047,0.05,23.03,3.136797714,,0.183,0.186,42.8358,3.757374202,,0.096,0.099,45.5994,3.819894559,,0.052,0.055,12.6665,2.538960713,,0.101,0.104,23.9512,3.176018427,,0.046,0.049,22.5694,3.116595007,,0.215,0.218,50.2054,3.916122591,,0.098,0.101,46.5206,3.839895225,,0.275,0.278,64.0234,4.159248642,,0.071,0.074,34.0844,3.528839802,
239,-0.002,0.098,0.1,23.03,3.136797714,,0.046,0.048,22.1088,3.095975719,,0.183,0.185,42.6055,3.751983353,,0.096,0.098,45.1388,3.809742187,,0.052,0.054,12.4362,2.520611574,,0.1,0.102,23.4906,3.156600341,,0.046,0.048,22.1088,3.095975719,,0.215,0.217,49.9751,3.911524881,,0.098,0.1,46.06,3.829944894,,0.274,0.276,63.5628,4.152028394,,0.071,0.073,33.6238,3.51523415,
240,-0.002,0.097,0.099,22.7997,3.126747378,,0.046,0.048,22.1088,3.095975719,,0.183,0.185,42.6055,3.751983353,,0.096,0.098,45.1388,3.809742187,,0.052,0.054,12.4362,2.520611574,,0.099,0.101,23.2603,3.146748045,,0.046,0.048,22.1088,3.095975719,,0.214,0.216,49.7448,3.906905936,,0.098,0.1,46.06,3.829944894,,0.273,0.275,63.3325,4.148398626,,0.071,0.073,33.6238,3.51523415,
241,-0.002,0.096,0.098,22.5694,3.116595007,,0.046,0.048,22.1088,3.095975719,,0.182,0.184,42.3752,3.746563285,,0.096,0.098,45.1388,3.809742187,,0.051,0.053,12.2059,2.501919441,,0.098,0.1,23.03,3.136797714,,0.045,0.047,21.6482,3.07492231,,0.213,0.215,49.5145,3.902265556,,0.098,0.1,46.06,3.829944894,,0.272,0.274,63.1022,4.144755634,,0.071,0.073,33.6238,3.51523415,
