,Blank,F17Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_INF_R2_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_WET_R1_DIL,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
251,-0.002,0.079,0.081,18.6543,2.926076683,,0.027,0.029,13.3574,2.592070538,,0.026,0.028,6.4484,1.863832038,,0.031,0.033,7.5999,2.028135089,,0.009,0.011,5.0666,1.622669981,,0.059,0.061,14.0483,2.642501392,,0.027,0.029,13.3574,2.592070538,
252,-0.002,0.078,0.08,18.424,2.913654163,,0.027,0.029,13.3574,2.592070538,,0.025,0.027,6.2181,1.827464394,,0.03,0.032,7.3696,1.997363431,,0.009,0.011,5.0666,1.622669981,,0.059,0.061,14.0483,2.642501392,,0.027,0.029,13.3574,2.592070538,
253,-0.002,0.078,0.08,18.424,2.913654163,,0.026,0.028,12.8968,2.556979219,,0.025,0.027,6.2181,1.827464394,,0.03,0.032,7.3696,1.997363431,,0.009,0.011,5.0666,1.622669981,,0.058,0.06,13.818,2.62597209,,0.027,0.029,13.3574,2.592070538,
254,-0.002,0.077,0.079,18.1937,2.90107538,,0.026,0.028,12.8968,2.556979219,,0.025,0.027,6.2181,1.827464394,,0.03,0.032,7.3696,1.997363431,,0.009,0.011,5.0666,1.622669981,,0.058,0.06,13.818,2.62597209,,0.027,0.029,13.3574,2.592070538,
255,-0.002,0.077,0.079,18.1937,2.90107538,,0.026,0.028,12.8968,2.556979219,,0.025,0.027,6.2181,1.827464394,,0.03,0.032,7.3696,1.997363431,,0.009,0.011,5.0666,1.622669981,,0.057,0.059,13.5877,2.609164972,,0.026,0.028,12.8968,2.556979219,
256,-0.002,0.076,0.078,17.9634,2.888336355,,0.026,0.028,12.8968,2.556979219,,0.024,0.026,5.9878,1.789724066,,0.029,0.031,7.1393,1.965614732,,0.009,0.011,5.0666,1.622669981,,0.057,0.059,13.5877,2.609164972,,0.026,0.028,12.8968,2.556979219,
257,-0.002,0.075,0.077,17.7331,2.87543295,,0.025,0.027,12.4362,2.520611574,,0.024,0.026,5.9878,1.789724066,,0.029,0.031,7.1393,1.965614732,,0.008,0.01,4.606,1.527359801,,0.056,0.058,13.3574,2.592070538,,0.026,0.028,12.8968,2.556979219,
258,-0.002,0.075,0.077,17.7331,2.87543295,,0.025,0.027,12.4362,2.520611574,,0.024,0.026,5.9878,1.789724066,,0.029,0.031,7.1393,1.965614732,,0.008,0.01,4.606,1.527359801,,0.055,0.057,13.1271,2.574678796,,0.026,0.028,12.8968,2.556979219,
259,-0.002,0.074,0.076,17.5028,2.862360868,,0.025,0.027,12.4362,2.520611574,,0.024,0.026,5.9878,1.789724066,,0.029,0.031,7.1393,1.965614732,,0.008,0.01,4.606,1.527359801,,0.055,0.057,13.1271,2.574678796,,0.025,0.027,12.4362,2.520611574,
260,-0.002,0.074,0.076,17.5028,2.862360868,,0.025,0.027,12.4362,2.520611574,,0.023,0.025,5.7575,1.750503353,,0.028,0.03,6.909,1.93282491,,0.008,0.01,4.606,1.527359801,,0.055,0.057,13.1271,2.574678796,,0.025,0.027,12.4362,2.520611574,
261,-0.002,0.073,0.075,17.2725,2.849115641,,0.024,0.026,11.9756,2.482871246,,0.023,0.025,5.7575,1.750503353,,0.028,0.03,6.909,1.93282491,,0.008,0.01,4.606,1.527359801,,0.054,0.056,12.8968,2.556979219,,0.025,0.027,12.4362,2.520611574,
262,-0.002,0.073,0.075,17.2725,2.849115641,,0.024,0.026,11.9756,2.482871246,,0.023,0.025,5.7575,1.750503353,,0.028,0.03,6.909,1.93282491,,0.008,0.01,4.606,1.527359801,,0.054,0.056,12.8968,2.556979219,,0.025,0.027,12.4362,2.520611574,
263,-0.002,0.072,0.074,17.0422,2.835692621,,0.024,0.026,11.9756,2.482871246,,0.023,0.025,5.7575,1.750503353,,0.027,0.029,6.6787,1.898923358,,0.008,0.01,4.606,1.527359801,,0.053,0.055,12.6665,2.538960713,,0.024,0.026,11.9756,2.482871246,
