,MilliQ,B20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,B20Sep19_20_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F12Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
701,0,0.004,0.004,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.006,0.006,1.3818,0.323386997,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
702,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
703,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
704,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
705,0,0.004,0.004,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
706,0,0.004,0.004,0.9212,-0.082078111,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
707,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
708,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
709,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
710,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
711,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
712,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,0.9212,-0.082078111,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
713,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
714,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
715,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
716,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
717,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
718,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
719,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
720,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
721,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.04,0.04,9.212,2.220506982,
722,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
723,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
724,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
725,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
726,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
727,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.006,0.006,1.3818,0.323386997,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
728,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
729,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
730,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
731,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
732,0,0.004,0.004,0.9212,-0.082078111,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
733,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
734,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
735,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
736,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
737,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
738,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
739,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
740,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.038,0.038,8.7514,2.169213688,
741,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.038,0.038,8.7514,2.169213688,
742,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
743,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
744,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.039,0.039,8.9817,2.195189174,
745,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.038,0.038,8.7514,2.169213688,
746,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.038,0.038,8.7514,2.169213688,
747,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.038,0.038,8.7514,2.169213688,
748,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.038,0.038,8.7514,2.169213688,
749,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.007,0.007,1.6121,0.477537677,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.038,0.038,8.7514,2.169213688,
750,0,0.003,0.003,0.6909,-0.369760183,,0.007,0.007,1.6121,0.477537677,,0.003,0.003,0.6909,-0.369760183,,0.005,0.005,1.1515,0.14106544,,0.006,0.006,1.3818,0.323386997,,0.002,0.002,0.4606,-0.775225292,,0.003,0.003,0.6909,-0.369760183,,0.002,0.002,0.4606,-0.775225292,,0.005,0.005,1.1515,0.14106544,,0.001,0.001,0.2303,-1.468372472,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,1.1515,0.14106544,,0.038,0.038,8.7514,2.169213688,
