,Blank,Blank,Blank,Blank,F3Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20May19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F20May19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20May19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
252,0,0.049,0.011,0.007,0.039,0.032,7.3696,1.997363431,,0.049,0.042,9.6726,2.269297146,,0.043,0.036,8.2908,2.115146466,,0.047,0.04,9.212,2.220506982,,0.036,0.029,6.6787,1.898923358,,0.05,0.043,9.9029,2.292827644,,0.023,0.016,7.3696,1.997363431,
253,0,0.049,0.01,0.007,0.039,0.032,7.3696,1.997363431,,0.049,0.042,9.6726,2.269297146,,0.042,0.035,8.0605,2.086975589,,0.046,0.039,8.9817,2.195189174,,0.036,0.029,6.6787,1.898923358,,0.049,0.042,9.6726,2.269297146,,0.023,0.016,7.3696,1.997363431,
254,-0.001,0.049,0.01,0.007,0.038,0.031,7.1393,1.965614732,,0.048,0.041,9.4423,2.245199595,,0.042,0.035,8.0605,2.086975589,,0.046,0.039,8.9817,2.195189174,,0.036,0.029,6.6787,1.898923358,,0.049,0.042,9.6726,2.269297146,,0.022,0.015,6.909,1.93282491,
255,-0.001,0.049,0.01,0.007,0.038,0.031,7.1393,1.965614732,,0.048,0.041,9.4423,2.245199595,,0.041,0.034,7.8302,2.057988052,,0.046,0.039,8.9817,2.195189174,,0.035,0.028,6.4484,1.863832038,,0.048,0.041,9.4423,2.245199595,,0.022,0.015,6.909,1.93282491,
256,-0.001,0.049,0.01,0.007,0.038,0.031,7.1393,1.965614732,,0.048,0.041,9.4423,2.245199595,,0.041,0.034,7.8302,2.057988052,,0.045,0.038,8.7514,2.169213688,,0.035,0.028,6.4484,1.863832038,,0.048,0.041,9.4423,2.245199595,,0.022,0.015,6.909,1.93282491,
257,0,0.049,0.01,0.007,0.037,0.03,6.909,1.93282491,,0.047,0.04,9.212,2.220506982,,0.041,0.034,7.8302,2.057988052,,0.045,0.038,8.7514,2.169213688,,0.035,0.028,6.4484,1.863832038,,0.048,0.041,9.4423,2.245199595,,0.022,0.015,6.909,1.93282491,
258,-0.001,0.049,0.01,0.007,0.037,0.03,6.909,1.93282491,,0.047,0.04,9.212,2.220506982,,0.04,0.033,7.5999,2.028135089,,0.045,0.038,8.7514,2.169213688,,0.034,0.027,6.2181,1.827464394,,0.047,0.04,9.212,2.220506982,,0.022,0.015,6.909,1.93282491,
259,0,0.049,0.01,0.007,0.037,0.03,6.909,1.93282491,,0.047,0.04,9.212,2.220506982,,0.04,0.033,7.5999,2.028135089,,0.044,0.037,8.5211,2.14254544,,0.034,0.027,6.2181,1.827464394,,0.047,0.04,9.212,2.220506982,,0.022,0.015,6.909,1.93282491,
260,0,0.049,0.01,0.007,0.037,0.03,6.909,1.93282491,,0.046,0.039,8.9817,2.195189174,,0.04,0.033,7.5999,2.028135089,,0.044,0.037,8.5211,2.14254544,,0.034,0.027,6.2181,1.827464394,,0.047,0.04,9.212,2.220506982,,0.022,0.015,6.909,1.93282491,
261,0,0.049,0.01,0.007,0.036,0.029,6.6787,1.898923358,,0.046,0.039,8.9817,2.195189174,,0.04,0.033,7.5999,2.028135089,,0.044,0.037,8.5211,2.14254544,,0.034,0.027,6.2181,1.827464394,,0.047,0.04,9.212,2.220506982,,0.021,0.014,6.4484,1.863832038,
