,Blank,F19Aug19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_45_R2,A(CDOM),a(CDOM),ln(a),Sr
242,0,0.118,0.118,27.1754,3.302312152,,0.037,0.037,8.5211,2.14254544,,0.045,0.045,10.3635,2.338290018,,0.083,0.083,19.1149,2.950468136,,0.066,0.066,15.1998,2.72128227,,0.08,0.08,18.424,2.913654163,,0.074,0.074,17.0422,2.835692621,,0.064,0.064,14.7392,2.690510611,
243,0,0.117,0.117,26.9451,3.293801463,,0.037,0.037,8.5211,2.14254544,,0.044,0.044,10.1332,2.315817162,,0.083,0.083,19.1149,2.950468136,,0.065,0.065,14.9695,2.706014798,,0.079,0.079,18.1937,2.90107538,,0.073,0.073,16.8119,2.822086969,,0.063,0.063,14.5089,2.674762254,
244,0,0.115,0.115,26.4845,3.276559656,,0.036,0.036,8.2908,2.115146466,,0.044,0.044,10.1332,2.315817162,,0.083,0.083,19.1149,2.950468136,,0.064,0.064,14.7392,2.690510611,,0.078,0.078,17.9634,2.888336355,,0.072,0.072,16.5816,2.808293647,,0.062,0.062,14.2786,2.658761913,
245,0,0.114,0.114,26.2542,3.267825976,,0.036,0.036,8.2908,2.115146466,,0.043,0.043,9.9029,2.292827644,,0.082,0.082,18.8846,2.938346775,,0.064,0.064,14.7392,2.690510611,,0.077,0.077,17.7331,2.87543295,,0.071,0.071,16.3513,2.794307405,,0.062,0.062,14.2786,2.658761913,
246,0,0.114,0.114,26.2542,3.267825976,,0.035,0.035,8.0605,2.086975589,,0.043,0.043,9.9029,2.292827644,,0.082,0.082,18.8846,2.938346775,,0.063,0.063,14.5089,2.674762254,,0.076,0.076,17.5028,2.862360868,,0.071,0.071,16.3513,2.794307405,,0.061,0.061,14.0483,2.642501392,
247,0,0.113,0.113,26.0239,3.259015347,,0.035,0.035,8.0605,2.086975589,,0.043,0.043,9.9029,2.292827644,,0.081,0.081,18.6543,2.926076683,,0.062,0.062,14.2786,2.658761913,,0.076,0.076,17.5028,2.862360868,,0.07,0.07,16.121,2.78012277,,0.061,0.061,14.0483,2.642501392,
248,0,0.112,0.112,25.7936,3.250126399,,0.035,0.035,8.0605,2.086975589,,0.042,0.042,9.6726,2.269297146,,0.081,0.081,18.6543,2.926076683,,0.062,0.062,14.2786,2.658761913,,0.075,0.075,17.2725,2.849115641,,0.07,0.07,16.121,2.78012277,,0.06,0.06,13.818,2.62597209,
249,0,0.111,0.111,25.5633,3.241157729,,0.035,0.035,8.0605,2.086975589,,0.042,0.042,9.6726,2.269297146,,0.081,0.081,18.6543,2.926076683,,0.061,0.061,14.0483,2.642501392,,0.075,0.075,17.2725,2.849115641,,0.069,0.069,15.8907,2.765734032,,0.06,0.06,13.818,2.62597209,
250,0,0.11,0.11,25.333,3.232107894,,0.034,0.034,7.8302,2.057988052,,0.042,0.042,9.6726,2.269297146,,0.081,0.081,18.6543,2.926076683,,0.061,0.061,14.0483,2.642501392,,0.074,0.074,17.0422,2.835692621,,0.069,0.069,15.8907,2.765734032,,0.06,0.06,13.818,2.62597209,
251,0,0.11,0.11,25.333,3.232107894,,0.034,0.034,7.8302,2.057988052,,0.042,0.042,9.6726,2.269297146,,0.08,0.08,18.424,2.913654163,,0.061,0.061,14.0483,2.642501392,,0.074,0.074,17.0422,2.835692621,,0.068,0.068,15.6604,2.751135233,,0.059,0.059,13.5877,2.609164972,
