,MilliQ,F22Aug19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_20_r1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_102_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B22Aug19_45_r1,A(CDOM),a(CDOM),ln(a),Sr
220,0.003,0.123,0.12,27.636,3.319119271,,0.144,0.141,32.4723,3.480387418,,0.131,0.128,29.4784,3.383657792,,0.156,0.153,35.2359,3.562065449,,0.154,0.151,34.7753,3.548907365,,0.097,0.094,21.6482,3.07492231,,0.128,0.125,28.7875,3.359941265,,0.097,0.094,21.6482,3.07492231,,0.074,0.071,16.3513,2.794307405,,0.094,0.091,20.9573,3.042487034,,0.097,0.094,21.6482,3.07492231,,0.094,0.091,20.9573,3.042487034,
221,0.003,0.118,0.115,26.4845,3.276559656,,0.142,0.139,32.0117,3.466101461,,0.127,0.124,28.5572,3.351909093,,0.153,0.15,34.545,3.542262822,,0.145,0.142,32.7026,3.487454585,,0.095,0.092,21.1876,3.053416105,,0.121,0.118,27.1754,3.302312152,,0.095,0.092,21.1876,3.053416105,,0.069,0.066,15.1998,2.72128227,,0.093,0.09,20.727,3.031437198,,0.095,0.092,21.1876,3.053416105,,0.092,0.089,20.4967,3.020263898,
222,0.003,0.112,0.109,25.1027,3.22297541,,0.141,0.138,31.7814,3.458881213,,0.124,0.121,27.8663,3.327418073,,0.151,0.148,34.0844,3.528839802,,0.136,0.133,30.6299,3.421976656,,0.093,0.09,20.727,3.031437198,,0.115,0.112,25.7936,3.250126399,,0.093,0.09,20.727,3.031437198,,0.064,0.061,14.0483,2.642501392,,0.091,0.088,20.2664,3.008964342,,0.094,0.091,20.9573,3.042487034,,0.091,0.088,20.2664,3.008964342,
223,0.003,0.107,0.104,23.9512,3.176018427,,0.139,0.136,31.3208,3.444282414,,0.121,0.118,27.1754,3.302312152,,0.148,0.145,33.3935,3.50836127,,0.128,0.125,28.7875,3.359941265,,0.092,0.089,20.4967,3.020263898,,0.109,0.106,24.4118,3.195066622,,0.092,0.089,20.4967,3.020263898,,0.06,0.057,13.1271,2.574678796,,0.089,0.086,19.8058,2.985974824,,0.092,0.089,20.4967,3.020263898,,0.089,0.086,19.8058,2.985974824,
224,0.003,0.102,0.099,22.7997,3.126747378,,0.138,0.135,31.0905,3.436902306,,0.118,0.115,26.4845,3.276559656,,0.146,0.143,32.9329,3.494472158,,0.121,0.118,27.1754,3.302312152,,0.09,0.087,20.0361,2.997535646,,0.104,0.101,23.2603,3.146748045,,0.09,0.087,20.0361,2.997535646,,0.056,0.053,12.2059,2.501919441,,0.088,0.085,19.5755,2.974278784,,0.091,0.088,20.2664,3.008964342,,0.088,0.085,19.5755,2.974278784,
225,0.003,0.098,0.095,21.8785,3.085504419,,0.136,0.133,30.6299,3.421976656,,0.115,0.112,25.7936,3.250126399,,0.143,0.14,32.242,3.47326995,,0.114,0.111,25.5633,3.241157729,,0.088,0.085,19.5755,2.974278784,,0.099,0.096,22.1088,3.095975719,,0.089,0.086,19.8058,2.985974824,,0.053,0.05,11.515,2.443650533,,0.087,0.084,19.3452,2.962444327,,0.089,0.086,19.8058,2.985974824,,0.086,0.083,19.1149,2.950468136,
226,0.002,0.094,0.092,21.1876,3.053416105,,0.135,0.133,30.6299,3.421976656,,0.113,0.111,25.5633,3.241157729,,0.141,0.139,32.0117,3.466101461,,0.107,0.105,24.1815,3.185587878,,0.086,0.084,19.3452,2.962444327,,0.094,0.092,21.1876,3.053416105,,0.087,0.085,19.5755,2.974278784,,0.05,0.048,11.0544,2.402828539,,0.085,0.083,19.1149,2.950468136,,0.088,0.086,19.8058,2.985974824,,0.085,0.083,19.1149,2.950468136,
227,0.002,0.09,0.088,20.2664,3.008964342,,0.134,0.132,30.3996,3.41442945,,0.11,0.108,24.8724,3.213758755,,0.139,0.137,31.5511,3.451608454,,0.101,0.099,22.7997,3.126747378,,0.085,0.083,19.1149,2.950468136,,0.09,0.088,20.2664,3.008964342,,0.086,0.084,19.3452,2.962444327,,0.047,0.045,10.3635,2.338290018,,0.084,0.082,18.8846,2.938346775,,0.086,0.084,19.3452,2.962444327,,0.083,0.081,18.6543,2.926076683,
228,0.002,0.086,0.084,19.3452,2.962444327,,0.132,0.13,29.939,3.399161978,,0.108,0.106,24.4118,3.195066622,,0.136,0.134,30.8602,3.429467328,,0.096,0.094,21.6482,3.07492231,,0.083,0.081,18.6543,2.926076683,,0.086,0.084,19.3452,2.962444327,,0.084,0.082,18.8846,2.938346775,,0.044,0.042,9.6726,2.269297146,,0.082,0.08,18.424,2.913654163,,0.085,0.083,19.1149,2.950468136,,0.082,0.08,18.424,2.913654163,
229,0.002,0.083,0.081,18.6543,2.926076683,,0.131,0.129,29.7087,3.391439932,,0.106,0.104,23.9512,3.176018427,,0.134,0.132,30.3996,3.41442945,,0.091,0.089,20.4967,3.020263898,,0.082,0.08,18.424,2.913654163,,0.082,0.08,18.424,2.913654163,,0.083,0.081,18.6543,2.926076683,,0.042,0.04,9.212,2.220506982,,0.081,0.079,18.1937,2.90107538,,0.083,0.081,18.6543,2.926076683,,0.08,0.078,17.9634,2.888336355,
