,Blank,F29Jul19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dup,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_9mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F29Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F5Aug19_9mR1,A(CDOM),a(CDOM),ln(a),Sr,F5Aug19_9mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
220,0.015,0.102,0.087,20.0361,2.997535646,,0.086,0.071,16.3513,2.794307405,,0.048,0.033,15.1998,2.72128227,,0.071,0.056,12.8968,2.556979219,,0.312,0.297,68.3991,4.225359667,,0.085,0.07,32.242,3.47326995,,0.125,0.11,25.333,3.232107894,,0.065,0.05,23.03,3.136797714,,0.131,0.116,26.7148,3.285217719,,0.062,0.047,21.6482,3.07492231,,0.279,0.264,60.7992,4.107576631,,0.071,0.056,25.7936,3.250126399,
221,0.014,0.1,0.086,19.8058,2.985974824,,0.085,0.071,16.3513,2.794307405,,0.048,0.034,15.6604,2.751135233,,0.07,0.056,12.8968,2.556979219,,0.309,0.295,67.9385,4.218602884,,0.084,0.07,32.242,3.47326995,,0.123,0.109,25.1027,3.22297541,,0.063,0.049,22.5694,3.116595007,,0.129,0.115,26.4845,3.276559656,,0.061,0.047,21.6482,3.07492231,,0.277,0.263,60.5689,4.10378156,,0.07,0.056,25.7936,3.250126399,
222,0.014,0.099,0.085,19.5755,2.974278784,,0.083,0.069,15.8907,2.765734032,,0.047,0.033,15.1998,2.72128227,,0.069,0.055,12.6665,2.538960713,,0.305,0.291,67.0173,4.204950795,,0.083,0.069,31.7814,3.458881213,,0.121,0.107,24.6421,3.204456362,,0.062,0.048,22.1088,3.095975719,,0.127,0.113,26.0239,3.259015347,,0.06,0.046,21.1876,3.053416105,,0.276,0.262,60.3386,4.099972032,,0.07,0.056,25.7936,3.250126399,
223,0.014,0.097,0.083,19.1149,2.950468136,,0.082,0.068,15.6604,2.751135233,,0.046,0.032,14.7392,2.690510611,,0.068,0.054,12.4362,2.520611574,,0.302,0.288,66.3264,4.194588008,,0.082,0.068,31.3208,3.444282414,,0.119,0.105,24.1815,3.185587878,,0.061,0.047,21.6482,3.07492231,,0.125,0.111,25.5633,3.241157729,,0.059,0.045,20.727,3.031437198,,0.274,0.26,59.878,4.092309159,,0.069,0.055,25.333,3.232107894,
224,0.013,0.096,0.083,19.1149,2.950468136,,0.081,0.068,15.6604,2.751135233,,0.045,0.032,14.7392,2.690510611,,0.067,0.054,12.4362,2.520611574,,0.299,0.286,65.8658,4.187619339,,0.081,0.068,31.3208,3.444282414,,0.117,0.104,23.9512,3.176018427,,0.06,0.047,21.6482,3.07492231,,0.123,0.11,25.333,3.232107894,,0.058,0.045,20.727,3.031437198,,0.273,0.26,59.878,4.092309159,,0.069,0.056,25.7936,3.250126399,
225,0.013,0.094,0.081,18.6543,2.926076683,,0.079,0.066,15.1998,2.72128227,,0.044,0.031,14.2786,2.658761913,,0.066,0.053,12.2059,2.501919441,,0.296,0.283,65.1749,4.177074425,,0.08,0.067,30.8602,3.429467328,,0.115,0.102,23.4906,3.156600341,,0.059,0.046,21.1876,3.053416105,,0.121,0.108,24.8724,3.213758755,,0.057,0.044,20.2664,3.008964342,,0.271,0.258,59.4174,4.084587113,,0.069,0.056,25.7936,3.250126399,
226,0.013,0.093,0.08,18.424,2.913654163,,0.078,0.065,14.9695,2.706014798,,0.044,0.031,14.2786,2.658761913,,0.065,0.052,11.9756,2.482871246,,0.293,0.28,64.484,4.166417131,,0.079,0.066,30.3996,3.41442945,,0.113,0.1,23.03,3.136797714,,0.058,0.045,20.727,3.031437198,,0.12,0.107,24.6421,3.204456362,,0.056,0.043,19.8058,2.985974824,,0.27,0.257,59.1871,4.080703613,,0.068,0.055,25.333,3.232107894,
227,0.012,0.091,0.079,18.1937,2.90107538,,0.077,0.065,14.9695,2.706014798,,0.043,0.031,14.2786,2.658761913,,0.064,0.052,11.9756,2.482871246,,0.29,0.278,64.0234,4.159248642,,0.078,0.066,30.3996,3.41442945,,0.111,0.099,22.7997,3.126747378,,0.057,0.045,20.727,3.031437198,,0.118,0.106,24.4118,3.195066622,,0.055,0.043,19.8058,2.985974824,,0.268,0.256,58.9568,4.076804972,,0.068,0.056,25.7936,3.250126399,
228,0.012,0.09,0.078,17.9634,2.888336355,,0.076,0.064,14.7392,2.690510611,,0.042,0.03,13.818,2.62597209,,0.063,0.051,11.7453,2.463453161,,0.288,0.276,63.5628,4.152028394,,0.078,0.066,30.3996,3.41442945,,0.11,0.098,22.5694,3.116595007,,0.056,0.044,20.2664,3.008964342,,0.116,0.104,23.9512,3.176018427,,0.054,0.042,19.3452,2.962444327,,0.266,0.254,58.4962,4.068961795,,0.067,0.055,25.333,3.232107894,
229,0.011,0.088,0.077,17.7331,2.87543295,,0.075,0.064,14.7392,2.690510611,,0.042,0.031,14.2786,2.658761913,,0.061,0.05,11.515,2.443650533,,0.285,0.274,63.1022,4.144755634,,0.077,0.066,30.3996,3.41442945,,0.108,0.097,22.3391,3.106338506,,0.055,0.044,20.2664,3.008964342,,0.114,0.103,23.7209,3.166356516,,0.053,0.042,19.3452,2.962444327,,0.265,0.254,58.4962,4.068961795,,0.067,0.056,25.7936,3.250126399,
