,Blank,F2Sep19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_5mR1_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F2Sep19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_SurfR2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F27Sep19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F27Sep19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
220,0.006,0.111,0.105,24.1815,3.185587878,,0.065,0.059,27.1754,3.302312152,,0.158,0.152,35.0056,3.555508049,,0.078,0.072,33.1632,3.501440827,,0.152,0.146,33.6238,3.51523415,,0.079,0.073,33.6238,3.51523415,,0.27,0.264,60.7992,4.107576631,,0.07,0.064,29.4784,3.383657792,,0.045,0.039,8.9817,2.195189174,,0.023,0.017,7.8302,2.057988052,,0.077,0.071,16.3513,2.794307405,,0.038,0.032,14.7392,2.690510611,
221,0.006,0.109,0.103,23.7209,3.166356516,,0.064,0.058,26.7148,3.285217719,,0.155,0.149,34.3147,3.535573834,,0.076,0.07,32.242,3.47326995,,0.149,0.143,32.9329,3.494472158,,0.077,0.071,32.7026,3.487454585,,0.268,0.262,60.3386,4.099972032,,0.069,0.063,29.0178,3.367909435,,0.044,0.038,8.7514,2.169213688,,0.023,0.017,7.8302,2.057988052,,0.076,0.07,16.121,2.78012277,,0.037,0.031,14.2786,2.658761913,
222,0.006,0.107,0.101,23.2603,3.146748045,,0.063,0.057,26.2542,3.267825976,,0.152,0.146,33.6238,3.51523415,,0.075,0.069,31.7814,3.458881213,,0.146,0.14,32.242,3.47326995,,0.076,0.07,32.242,3.47326995,,0.267,0.261,60.1083,4.096147935,,0.069,0.063,29.0178,3.367909435,,0.043,0.037,8.5211,2.14254544,,0.022,0.016,7.3696,1.997363431,,0.075,0.069,15.8907,2.765734032,,0.036,0.03,13.818,2.62597209,
223,0.006,0.106,0.1,23.03,3.136797714,,0.063,0.057,26.2542,3.267825976,,0.15,0.144,33.1632,3.501440827,,0.074,0.068,31.3208,3.444282414,,0.144,0.138,31.7814,3.458881213,,0.074,0.068,31.3208,3.444282414,,0.265,0.259,59.6477,4.08845559,,0.069,0.063,29.0178,3.367909435,,0.043,0.037,8.5211,2.14254544,,0.022,0.016,7.3696,1.997363431,,0.074,0.068,15.6604,2.751135233,,0.036,0.03,13.818,2.62597209,
224,0.006,0.104,0.098,22.5694,3.116595007,,0.062,0.056,25.7936,3.250126399,,0.148,0.142,32.7026,3.487454585,,0.073,0.067,30.8602,3.429467328,,0.141,0.135,31.0905,3.436902306,,0.073,0.067,30.8602,3.429467328,,0.263,0.257,59.1871,4.080703613,,0.068,0.062,28.5572,3.351909093,,0.042,0.036,8.2908,2.115146466,,0.021,0.015,6.909,1.93282491,,0.073,0.067,15.4301,2.736320147,,0.035,0.029,13.3574,2.592070538,
225,0.006,0.103,0.097,22.3391,3.106338506,,0.061,0.055,25.333,3.232107894,,0.145,0.139,32.0117,3.466101461,,0.072,0.066,30.3996,3.41442945,,0.138,0.132,30.3996,3.41442945,,0.071,0.065,29.939,3.399161978,,0.262,0.256,58.9568,4.076804972,,0.068,0.062,28.5572,3.351909093,,0.041,0.035,8.0605,2.086975589,,0.021,0.015,6.909,1.93282491,,0.072,0.066,15.1998,2.72128227,,0.035,0.029,13.3574,2.592070538,
226,0.006,0.101,0.095,21.8785,3.085504419,,0.06,0.054,24.8724,3.213758755,,0.143,0.137,31.5511,3.451608454,,0.07,0.064,29.4784,3.383657792,,0.135,0.129,29.7087,3.391439932,,0.07,0.064,29.4784,3.383657792,,0.26,0.254,58.4962,4.068961795,,0.067,0.061,28.0966,3.335648573,,0.04,0.034,7.8302,2.057988052,,0.02,0.014,6.4484,1.863832038,,0.071,0.065,14.9695,2.706014798,,0.034,0.028,12.8968,2.556979219,
227,0.005,0.1,0.095,21.8785,3.085504419,,0.06,0.055,25.333,3.232107894,,0.141,0.136,31.3208,3.444282414,,0.069,0.064,29.4784,3.383657792,,0.133,0.128,29.4784,3.383657792,,0.069,0.064,29.4784,3.383657792,,0.259,0.254,58.4962,4.068961795,,0.067,0.062,28.5572,3.351909093,,0.039,0.034,7.8302,2.057988052,,0.02,0.015,6.909,1.93282491,,0.07,0.065,14.9695,2.706014798,,0.034,0.029,13.3574,2.592070538,
228,0.005,0.098,0.093,21.4179,3.064227021,,0.059,0.054,24.8724,3.213758755,,0.138,0.133,30.6299,3.421976656,,0.068,0.063,29.0178,3.367909435,,0.13,0.125,28.7875,3.359941265,,0.067,0.062,28.5572,3.351909093,,0.257,0.252,58.0356,4.061056615,,0.066,0.061,28.0966,3.335648573,,0.039,0.034,7.8302,2.057988052,,0.019,0.014,6.4484,1.863832038,,0.069,0.064,14.7392,2.690510611,,0.033,0.028,12.8968,2.556979219,
229,0.005,0.097,0.092,21.1876,3.053416105,,0.058,0.053,24.4118,3.195066622,,0.136,0.131,30.1693,3.406824851,,0.067,0.062,28.5572,3.351909093,,0.128,0.123,28.3269,3.343811883,,0.066,0.061,28.0966,3.335648573,,0.255,0.25,57.575,4.053088446,,0.065,0.06,27.636,3.319119271,,0.038,0.033,7.5999,2.028135089,,0.019,0.014,6.4484,1.863832038,,0.068,0.063,14.5089,2.674762254,,0.033,0.028,12.8968,2.556979219,
