,Blank,F3Jun19_INF_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2,A(CDOM),a(CDOM),ln(a),Sr,F3Jun19_WET_R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_9R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F6Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
428,0.001,0.011,0.01,2.303,0.834212621,,0.027,0.026,5.9878,1.789724066,,0.012,0.011,5.0666,1.622669981,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,,0.008,0.007,1.6121,0.477537677,,0.012,0.011,2.5333,0.929522801,,0.006,0.005,2.303,0.834212621,
429,0,0.011,0.011,2.5333,0.929522801,,0.027,0.027,6.2181,1.827464394,,0.012,0.012,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.006,0.006,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
430,0,0.011,0.011,2.5333,0.929522801,,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.006,0.006,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
431,0,0.011,0.011,2.5333,0.929522801,,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.006,0.006,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
432,0,0.011,0.011,2.5333,0.929522801,,0.026,0.026,5.9878,1.789724066,,0.012,0.012,5.5272,1.709681358,,0.01,0.01,2.303,0.834212621,,0.006,0.006,2.7636,1.016534178,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
433,0,0.01,0.01,2.303,0.834212621,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
434,0,0.01,0.01,2.303,0.834212621,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
435,0,0.01,0.01,2.303,0.834212621,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
436,0,0.01,0.01,2.303,0.834212621,,0.026,0.026,5.9878,1.789724066,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
437,0.001,0.01,0.009,2.0727,0.728852105,,0.026,0.025,5.7575,1.750503353,,0.011,0.01,4.606,1.527359801,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,,0.008,0.007,1.6121,0.477537677,,0.011,0.01,2.303,0.834212621,,0.006,0.005,2.303,0.834212621,
438,0,0.01,0.01,2.303,0.834212621,,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
439,0,0.01,0.01,2.303,0.834212621,,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.008,0.008,1.8424,0.61106907,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
440,0,0.01,0.01,2.303,0.834212621,,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.011,0.011,2.5333,0.929522801,,0.006,0.006,2.7636,1.016534178,
441,0,0.01,0.01,2.303,0.834212621,,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
442,0,0.01,0.01,2.303,0.834212621,,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
443,0,0.01,0.01,2.303,0.834212621,,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
444,0,0.01,0.01,2.303,0.834212621,,0.025,0.025,5.7575,1.750503353,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
445,0,0.01,0.01,2.303,0.834212621,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
446,0,0.01,0.01,2.303,0.834212621,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
447,0,0.01,0.01,2.303,0.834212621,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
448,0,0.01,0.01,2.303,0.834212621,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
449,0,0.01,0.01,2.303,0.834212621,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
450,0.001,0.01,0.009,2.0727,0.728852105,,0.024,0.023,5.2969,1.667121744,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.005,0.004,1.8424,0.61106907,,0.007,0.006,1.3818,0.323386997,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,
451,0,0.01,0.01,2.303,0.834212621,,0.024,0.024,5.5272,1.709681358,,0.011,0.011,5.0666,1.622669981,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
452,0,0.01,0.01,2.303,0.834212621,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
453,0,0.01,0.01,2.303,0.834212621,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
454,0.001,0.01,0.009,2.0727,0.728852105,,0.023,0.022,5.0666,1.622669981,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.005,0.004,1.8424,0.61106907,,0.007,0.006,1.3818,0.323386997,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,
455,0.001,0.01,0.009,2.0727,0.728852105,,0.023,0.022,5.0666,1.622669981,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.005,0.004,1.8424,0.61106907,,0.007,0.006,1.3818,0.323386997,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,
456,0.001,0.01,0.009,2.0727,0.728852105,,0.023,0.022,5.0666,1.622669981,,0.011,0.01,4.606,1.527359801,,0.009,0.008,1.8424,0.61106907,,0.005,0.004,1.8424,0.61106907,,0.007,0.006,1.3818,0.323386997,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,
457,0,0.01,0.01,2.303,0.834212621,,0.023,0.023,5.2969,1.667121744,,0.011,0.011,5.0666,1.622669981,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.01,0.01,2.303,0.834212621,,0.005,0.005,2.303,0.834212621,
458,0.001,0.01,0.009,2.0727,0.728852105,,0.023,0.022,5.0666,1.622669981,,0.01,0.009,4.1454,1.421999286,,0.009,0.008,1.8424,0.61106907,,0.005,0.004,1.8424,0.61106907,,0.007,0.006,1.3818,0.323386997,,0.01,0.009,2.0727,0.728852105,,0.005,0.004,1.8424,0.61106907,
459,0,0.01,0.01,2.303,0.834212621,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
460,0,0.01,0.01,2.303,0.834212621,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
461,0,0.01,0.01,2.303,0.834212621,,0.023,0.023,5.2969,1.667121744,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
462,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
463,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
464,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
465,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
466,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
467,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
468,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
469,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.009,0.009,2.0727,0.728852105,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
470,0,0.01,0.01,2.303,0.834212621,,0.022,0.022,5.0666,1.622669981,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
471,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
472,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
473,0.001,0.01,0.009,2.0727,0.728852105,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.007,0.006,1.3818,0.323386997,,0.009,0.008,1.8424,0.61106907,,0.005,0.004,1.8424,0.61106907,
474,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
475,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.007,0.007,1.6121,0.477537677,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
476,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
477,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
478,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.009,0.009,2.0727,0.728852105,,0.005,0.005,2.303,0.834212621,
479,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,
480,0.001,0.01,0.009,2.0727,0.728852105,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.007,0.006,1.3818,0.323386997,,0.009,0.008,1.8424,0.61106907,,0.005,0.004,1.8424,0.61106907,
481,0.001,0.01,0.009,2.0727,0.728852105,,0.021,0.02,4.606,1.527359801,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.007,0.006,1.3818,0.323386997,,0.008,0.007,1.6121,0.477537677,,0.005,0.004,1.8424,0.61106907,
482,0,0.01,0.01,2.303,0.834212621,,0.021,0.021,4.8363,1.576149966,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,
483,0,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
484,0,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
485,0.001,0.01,0.009,2.0727,0.728852105,,0.02,0.019,4.3757,1.476066507,,0.01,0.009,4.1454,1.421999286,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.006,0.005,1.1515,0.14106544,,0.008,0.007,1.6121,0.477537677,,0.005,0.004,1.8424,0.61106907,
486,0,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
487,0,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.01,0.01,4.606,1.527359801,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
488,0,0.01,0.01,2.303,0.834212621,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.005,0.005,2.303,0.834212621,
489,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
490,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
491,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
492,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
493,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
494,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
495,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
496,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
497,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
498,0,0.009,0.009,2.0727,0.728852105,,0.02,0.02,4.606,1.527359801,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
499,0.001,0.009,0.008,1.8424,0.61106907,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.006,0.005,1.1515,0.14106544,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,
500,0.001,0.009,0.008,1.8424,0.61106907,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.006,0.005,1.1515,0.14106544,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,
501,0.001,0.009,0.008,1.8424,0.61106907,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.006,0.005,1.1515,0.14106544,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,
502,0.001,0.009,0.008,1.8424,0.61106907,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,,0.006,0.005,1.1515,0.14106544,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,
503,0,0.009,0.009,2.0727,0.728852105,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
504,0,0.009,0.009,2.0727,0.728852105,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
505,0,0.009,0.009,2.0727,0.728852105,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
506,0,0.009,0.009,2.0727,0.728852105,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
507,0,0.009,0.009,2.0727,0.728852105,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
508,0,0.009,0.009,2.0727,0.728852105,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
509,0,0.009,0.009,2.0727,0.728852105,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
510,0.001,0.009,0.008,1.8424,0.61106907,,0.019,0.018,4.1454,1.421999286,,0.009,0.008,3.6848,1.30421625,,0.007,0.006,1.3818,0.323386997,,0.004,0.003,1.3818,0.323386997,,0.006,0.005,1.1515,0.14106544,,0.008,0.007,1.6121,0.477537677,,0.004,0.003,1.3818,0.323386997,
511,0,0.009,0.009,2.0727,0.728852105,,0.019,0.019,4.3757,1.476066507,,0.009,0.009,4.1454,1.421999286,,0.007,0.007,1.6121,0.477537677,,0.004,0.004,1.8424,0.61106907,,0.006,0.006,1.3818,0.323386997,,0.008,0.008,1.8424,0.61106907,,0.004,0.004,1.8424,0.61106907,
