,MilliQ,F27Jun19_01_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_99_R2,A(CDOM),a(CDOM),ln(a),Sr,F27Jun19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B27Jun19_100_R1,A(CDOM),a(CDOM),ln(a),Sr
220,-0.002,0.103,0.105,24.1815,3.185587878,,0.077,0.079,18.1937,2.90107538,,0.071,0.073,16.8119,2.822086969,,0.084,0.086,19.8058,2.985974824,,0.081,0.083,19.1149,2.950468136,,0.068,0.07,16.121,2.78012277,,0.075,0.077,17.7331,2.87543295,,0.088,0.09,20.727,3.031437198,
221,-0.002,0.099,0.101,23.2603,3.146748045,,0.076,0.078,17.9634,2.888336355,,0.07,0.072,16.5816,2.808293647,,0.08,0.082,18.8846,2.938346775,,0.077,0.079,18.1937,2.90107538,,0.067,0.069,15.8907,2.765734032,,0.074,0.076,17.5028,2.862360868,,0.087,0.089,20.4967,3.020263898,
222,-0.002,0.094,0.096,22.1088,3.095975719,,0.074,0.076,17.5028,2.862360868,,0.069,0.071,16.3513,2.794307405,,0.076,0.078,17.9634,2.888336355,,0.074,0.076,17.5028,2.862360868,,0.066,0.068,15.6604,2.751135233,,0.073,0.075,17.2725,2.849115641,,0.085,0.087,20.0361,2.997535646,
223,-0.002,0.09,0.092,21.1876,3.053416105,,0.073,0.075,17.2725,2.849115641,,0.067,0.069,15.8907,2.765734032,,0.073,0.075,17.2725,2.849115641,,0.07,0.072,16.5816,2.808293647,,0.065,0.067,15.4301,2.736320147,,0.071,0.073,16.8119,2.822086969,,0.083,0.085,19.5755,2.974278784,
224,-0.002,0.086,0.088,20.2664,3.008964342,,0.072,0.074,17.0422,2.835692621,,0.066,0.068,15.6604,2.751135233,,0.069,0.071,16.3513,2.794307405,,0.067,0.069,15.8907,2.765734032,,0.064,0.066,15.1998,2.72128227,,0.07,0.072,16.5816,2.808293647,,0.082,0.084,19.3452,2.962444327,
225,-0.002,0.082,0.084,19.3452,2.962444327,,0.071,0.073,16.8119,2.822086969,,0.065,0.067,15.4301,2.736320147,,0.066,0.068,15.6604,2.751135233,,0.064,0.066,15.1998,2.72128227,,0.063,0.065,14.9695,2.706014798,,0.068,0.07,16.121,2.78012277,,0.08,0.082,18.8846,2.938346775,
226,-0.002,0.079,0.081,18.6543,2.926076683,,0.07,0.072,16.5816,2.808293647,,0.064,0.066,15.1998,2.72128227,,0.063,0.065,14.9695,2.706014798,,0.061,0.063,14.5089,2.674762254,,0.062,0.064,14.7392,2.690510611,,0.067,0.069,15.8907,2.765734032,,0.079,0.081,18.6543,2.926076683,
227,-0.002,0.076,0.078,17.9634,2.888336355,,0.069,0.071,16.3513,2.794307405,,0.062,0.064,14.7392,2.690510611,,0.06,0.062,14.2786,2.658761913,,0.058,0.06,13.818,2.62597209,,0.061,0.063,14.5089,2.674762254,,0.066,0.068,15.6604,2.751135233,,0.077,0.079,18.1937,2.90107538,
228,-0.002,0.072,0.074,17.0422,2.835692621,,0.068,0.07,16.121,2.78012277,,0.061,0.063,14.5089,2.674762254,,0.057,0.059,13.5877,2.609164972,,0.056,0.058,13.3574,2.592070538,,0.06,0.062,14.2786,2.658761913,,0.064,0.066,15.1998,2.72128227,,0.076,0.078,17.9634,2.888336355,
229,-0.002,0.07,0.072,16.5816,2.808293647,,0.066,0.068,15.6604,2.751135233,,0.06,0.062,14.2786,2.658761913,,0.055,0.057,13.1271,2.574678796,,0.053,0.055,12.6665,2.538960713,,0.059,0.061,14.0483,2.642501392,,0.063,0.065,14.9695,2.706014798,,0.074,0.076,17.5028,2.862360868,
230,-0.002,0.068,0.07,16.121,2.78012277,,0.066,0.068,15.6604,2.751135233,,0.059,0.061,14.0483,2.642501392,,0.053,0.055,12.6665,2.538960713,,0.051,0.053,12.2059,2.501919441,,0.058,0.06,13.818,2.62597209,,0.062,0.064,14.7392,2.690510611,,0.073,0.075,17.2725,2.849115641,
231,-0.002,0.065,0.067,15.4301,2.736320147,,0.064,0.066,15.1998,2.72128227,,0.058,0.06,13.818,2.62597209,,0.051,0.053,12.2059,2.501919441,,0.049,0.051,11.7453,2.463453161,,0.057,0.059,13.5877,2.609164972,,0.061,0.063,14.5089,2.674762254,,0.072,0.074,17.0422,2.835692621,
232,-0.002,0.063,0.065,14.9695,2.706014798,,0.063,0.065,14.9695,2.706014798,,0.057,0.059,13.5877,2.609164972,,0.049,0.051,11.7453,2.463453161,,0.047,0.049,11.2847,2.423447826,,0.055,0.057,13.1271,2.574678796,,0.059,0.061,14.0483,2.642501392,,0.07,0.072,16.5816,2.808293647,
233,-0.002,0.061,0.063,14.5089,2.674762254,,0.062,0.064,14.7392,2.690510611,,0.056,0.058,13.3574,2.592070538,,0.047,0.049,11.2847,2.423447826,,0.046,0.048,11.0544,2.402828539,,0.054,0.056,12.8968,2.556979219,,0.058,0.06,13.818,2.62597209,,0.069,0.071,16.3513,2.794307405,
234,-0.003,0.06,0.063,14.5089,2.674762254,,0.061,0.064,14.7392,2.690510611,,0.055,0.058,13.3574,2.592070538,,0.046,0.049,11.2847,2.423447826,,0.044,0.047,10.8241,2.38177513,,0.053,0.056,12.8968,2.556979219,,0.057,0.06,13.818,2.62597209,,0.068,0.071,16.3513,2.794307405,
235,-0.003,0.058,0.061,14.0483,2.642501392,,0.06,0.063,14.5089,2.674762254,,0.054,0.057,13.1271,2.574678796,,0.044,0.047,10.8241,2.38177513,,0.043,0.046,10.5938,2.360268924,,0.052,0.055,12.6665,2.538960713,,0.056,0.059,13.5877,2.609164972,,0.066,0.069,15.8907,2.765734032,
236,-0.003,0.057,0.06,13.818,2.62597209,,0.059,0.062,14.2786,2.658761913,,0.053,0.056,12.8968,2.556979219,,0.043,0.046,10.5938,2.360268924,,0.042,0.045,10.3635,2.338290018,,0.052,0.055,12.6665,2.538960713,,0.055,0.058,13.3574,2.592070538,,0.065,0.068,15.6604,2.751135233,
237,-0.003,0.055,0.058,13.3574,2.592070538,,0.059,0.062,14.2786,2.658761913,,0.052,0.055,12.6665,2.538960713,,0.042,0.045,10.3635,2.338290018,,0.041,0.044,10.1332,2.315817162,,0.051,0.054,12.4362,2.520611574,,0.054,0.057,13.1271,2.574678796,,0.064,0.067,15.4301,2.736320147,
238,-0.003,0.054,0.057,13.1271,2.574678796,,0.058,0.061,14.0483,2.642501392,,0.052,0.055,12.6665,2.538960713,,0.041,0.044,10.1332,2.315817162,,0.04,0.043,9.9029,2.292827644,,0.05,0.053,12.2059,2.501919441,,0.053,0.056,12.8968,2.556979219,,0.064,0.067,15.4301,2.736320147,
239,-0.002,0.054,0.056,12.8968,2.556979219,,0.057,0.059,13.5877,2.609164972,,0.051,0.053,12.2059,2.501919441,,0.04,0.042,9.6726,2.269297146,,0.039,0.041,9.4423,2.245199595,,0.05,0.052,11.9756,2.482871246,,0.052,0.054,12.4362,2.520611574,,0.063,0.065,14.9695,2.706014798,
240,-0.002,0.053,0.055,12.6665,2.538960713,,0.056,0.058,13.3574,2.592070538,,0.05,0.052,11.9756,2.482871246,,0.04,0.042,9.6726,2.269297146,,0.038,0.04,9.212,2.220506982,,0.049,0.051,11.7453,2.463453161,,0.052,0.054,12.4362,2.520611574,,0.062,0.064,14.7392,2.690510611,
241,-0.003,0.052,0.055,12.6665,2.538960713,,0.056,0.059,13.5877,2.609164972,,0.05,0.053,12.2059,2.501919441,,0.039,0.042,9.6726,2.269297146,,0.038,0.041,9.4423,2.245199595,,0.048,0.051,11.7453,2.463453161,,0.051,0.054,12.4362,2.520611574,,0.062,0.065,14.9695,2.706014798,
242,-0.002,0.051,0.053,12.2059,2.501919441,,0.055,0.057,13.1271,2.574678796,,0.049,0.051,11.7453,2.463453161,,0.038,0.04,9.212,2.220506982,,0.037,0.039,8.9817,2.195189174,,0.048,0.05,11.515,2.443650533,,0.05,0.052,11.9756,2.482871246,,0.061,0.063,14.5089,2.674762254,
243,-0.002,0.051,0.053,12.2059,2.501919441,,0.055,0.057,13.1271,2.574678796,,0.049,0.051,11.7453,2.463453161,,0.038,0.04,9.212,2.220506982,,0.037,0.039,8.9817,2.195189174,,0.048,0.05,11.515,2.443650533,,0.05,0.052,11.9756,2.482871246,,0.06,0.062,14.2786,2.658761913,
244,-0.002,0.05,0.052,11.9756,2.482871246,,0.054,0.056,12.8968,2.556979219,,0.048,0.05,11.515,2.443650533,,0.037,0.039,8.9817,2.195189174,,0.036,0.038,8.7514,2.169213688,,0.047,0.049,11.2847,2.423447826,,0.049,0.051,11.7453,2.463453161,,0.059,0.061,14.0483,2.642501392,
245,-0.002,0.049,0.051,11.7453,2.463453161,,0.053,0.055,12.6665,2.538960713,,0.048,0.05,11.515,2.443650533,,0.036,0.038,8.7514,2.169213688,,0.035,0.037,8.5211,2.14254544,,0.046,0.048,11.0544,2.402828539,,0.049,0.051,11.7453,2.463453161,,0.059,0.061,14.0483,2.642501392,
