,MilliQ,F30May19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_01_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Aug19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F19Aug19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F30May19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B30May19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,B29Apr19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,B20May19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,B30May19_50_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_20_R1,A(CDOM),a(CDOM),ln(a),Sr
221,-0.006,0.067,0.073,16.8119,2.822086969,,0.074,0.08,18.424,2.913654163,,0.06,0.066,15.1998,2.72128227,,0.112,0.118,27.1754,3.302312152,,0.14,0.146,33.6238,3.51523415,,0.063,0.069,15.8907,2.765734032,,0.071,0.077,17.7331,2.87543295,,0.07,0.076,17.5028,2.862360868,,0.061,0.067,15.4301,2.736320147,,0.073,0.079,18.1937,2.90107538,,0.066,0.072,16.5816,2.808293647,,0.07,0.076,17.5028,2.862360868,
222,-0.006,0.064,0.07,16.121,2.78012277,,0.073,0.079,18.1937,2.90107538,,0.059,0.065,14.9695,2.706014798,,0.109,0.115,26.4845,3.276559656,,0.137,0.143,32.9329,3.494472158,,0.061,0.067,15.4301,2.736320147,,0.07,0.076,17.5028,2.862360868,,0.069,0.075,17.2725,2.849115641,,0.06,0.066,15.1998,2.72128227,,0.071,0.077,17.7331,2.87543295,,0.065,0.071,16.3513,2.794307405,,0.069,0.075,17.2725,2.849115641,
223,-0.006,0.061,0.067,15.4301,2.736320147,,0.072,0.078,17.9634,2.888336355,,0.058,0.064,14.7392,2.690510611,,0.107,0.113,26.0239,3.259015347,,0.135,0.141,32.4723,3.480387418,,0.06,0.066,15.1998,2.72128227,,0.068,0.074,17.0422,2.835692621,,0.068,0.074,17.0422,2.835692621,,0.059,0.065,14.9695,2.706014798,,0.07,0.076,17.5028,2.862360868,,0.064,0.07,16.121,2.78012277,,0.068,0.074,17.0422,2.835692621,
224,-0.006,0.058,0.064,14.7392,2.690510611,,0.071,0.077,17.7331,2.87543295,,0.057,0.063,14.5089,2.674762254,,0.104,0.11,25.333,3.232107894,,0.133,0.139,32.0117,3.466101461,,0.059,0.065,14.9695,2.706014798,,0.067,0.073,16.8119,2.822086969,,0.067,0.073,16.8119,2.822086969,,0.058,0.064,14.7392,2.690510611,,0.069,0.075,17.2725,2.849115641,,0.063,0.069,15.8907,2.765734032,,0.067,0.073,16.8119,2.822086969,
225,-0.006,0.055,0.061,14.0483,2.642501392,,0.07,0.076,17.5028,2.862360868,,0.056,0.062,14.2786,2.658761913,,0.101,0.107,24.6421,3.204456362,,0.13,0.136,31.3208,3.444282414,,0.058,0.064,14.7392,2.690510611,,0.066,0.072,16.5816,2.808293647,,0.066,0.072,16.5816,2.808293647,,0.057,0.063,14.5089,2.674762254,,0.068,0.074,17.0422,2.835692621,,0.061,0.067,15.4301,2.736320147,,0.066,0.072,16.5816,2.808293647,
226,-0.006,0.053,0.059,13.5877,2.609164972,,0.069,0.075,17.2725,2.849115641,,0.054,0.06,13.818,2.62597209,,0.099,0.105,24.1815,3.185587878,,0.128,0.134,30.8602,3.429467328,,0.057,0.063,14.5089,2.674762254,,0.065,0.071,16.3513,2.794307405,,0.064,0.07,16.121,2.78012277,,0.056,0.062,14.2786,2.658761913,,0.066,0.072,16.5816,2.808293647,,0.06,0.066,15.1998,2.72128227,,0.065,0.071,16.3513,2.794307405,
227,-0.006,0.051,0.057,13.1271,2.574678796,,0.068,0.074,17.0422,2.835692621,,0.053,0.059,13.5877,2.609164972,,0.097,0.103,23.7209,3.166356516,,0.126,0.132,30.3996,3.41442945,,0.056,0.062,14.2786,2.658761913,,0.064,0.07,16.121,2.78012277,,0.063,0.069,15.8907,2.765734032,,0.055,0.061,14.0483,2.642501392,,0.065,0.071,16.3513,2.794307405,,0.059,0.065,14.9695,2.706014798,,0.064,0.07,16.121,2.78012277,
228,-0.006,0.049,0.055,12.6665,2.538960713,,0.067,0.073,16.8119,2.822086969,,0.052,0.058,13.3574,2.592070538,,0.095,0.101,23.2603,3.146748045,,0.124,0.13,29.939,3.399161978,,0.055,0.061,14.0483,2.642501392,,0.063,0.069,15.8907,2.765734032,,0.062,0.068,15.6604,2.751135233,,0.054,0.06,13.818,2.62597209,,0.064,0.07,16.121,2.78012277,,0.058,0.064,14.7392,2.690510611,,0.063,0.069,15.8907,2.765734032,
229,-0.005,0.047,0.052,11.9756,2.482871246,,0.066,0.071,16.3513,2.794307405,,0.051,0.056,12.8968,2.556979219,,0.093,0.098,22.5694,3.116595007,,0.122,0.127,29.2481,3.375814614,,0.054,0.059,13.5877,2.609164972,,0.062,0.067,15.4301,2.736320147,,0.061,0.066,15.1998,2.72128227,,0.053,0.058,13.3574,2.592070538,,0.063,0.068,15.6604,2.751135233,,0.057,0.062,14.2786,2.658761913,,0.062,0.067,15.4301,2.736320147,
230,-0.005,0.046,0.051,11.7453,2.463453161,,0.065,0.07,16.121,2.78012277,,0.051,0.056,12.8968,2.556979219,,0.092,0.097,22.3391,3.106338506,,0.12,0.125,28.7875,3.359941265,,0.053,0.058,13.3574,2.592070538,,0.061,0.066,15.1998,2.72128227,,0.061,0.066,15.1998,2.72128227,,0.052,0.057,13.1271,2.574678796,,0.062,0.067,15.4301,2.736320147,,0.056,0.061,14.0483,2.642501392,,0.061,0.066,15.1998,2.72128227,
231,-0.005,0.044,0.049,11.2847,2.423447826,,0.064,0.069,15.8907,2.765734032,,0.049,0.054,12.4362,2.520611574,,0.09,0.095,21.8785,3.085504419,,0.118,0.123,28.3269,3.343811883,,0.052,0.057,13.1271,2.574678796,,0.06,0.065,14.9695,2.706014798,,0.06,0.065,14.9695,2.706014798,,0.051,0.056,12.8968,2.556979219,,0.061,0.066,15.1998,2.72128227,,0.055,0.06,13.818,2.62597209,,0.06,0.065,14.9695,2.706014798,
232,-0.005,0.043,0.048,11.0544,2.402828539,,0.063,0.068,15.6604,2.751135233,,0.049,0.054,12.4362,2.520611574,,0.088,0.093,21.4179,3.064227021,,0.116,0.121,27.8663,3.327418073,,0.051,0.056,12.8968,2.556979219,,0.059,0.064,14.7392,2.690510611,,0.059,0.064,14.7392,2.690510611,,0.05,0.055,12.6665,2.538960713,,0.06,0.065,14.9695,2.706014798,,0.054,0.059,13.5877,2.609164972,,0.059,0.064,14.7392,2.690510611,
233,-0.005,0.041,0.046,10.5938,2.360268924,,0.062,0.067,15.4301,2.736320147,,0.048,0.053,12.2059,2.501919441,,0.087,0.092,21.1876,3.053416105,,0.115,0.12,27.636,3.319119271,,0.05,0.055,12.6665,2.538960713,,0.058,0.063,14.5089,2.674762254,,0.058,0.063,14.5089,2.674762254,,0.049,0.054,12.4362,2.520611574,,0.059,0.064,14.7392,2.690510611,,0.053,0.058,13.3574,2.592070538,,0.059,0.064,14.7392,2.690510611,
234,-0.005,0.04,0.045,10.3635,2.338290018,,0.061,0.066,15.1998,2.72128227,,0.047,0.052,11.9756,2.482871246,,0.085,0.09,20.727,3.031437198,,0.113,0.118,27.1754,3.302312152,,0.049,0.054,12.4362,2.520611574,,0.057,0.062,14.2786,2.658761913,,0.057,0.062,14.2786,2.658761913,,0.048,0.053,12.2059,2.501919441,,0.058,0.063,14.5089,2.674762254,,0.052,0.057,13.1271,2.574678796,,0.058,0.063,14.5089,2.674762254,
