,Blank,F22Jul19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Jul19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
255,0,0.088,0.088,20.2664,3.008964342,,0.046,0.046,21.1876,3.053416105,,0.048,0.048,11.0544,2.402828539,,0.106,0.106,24.4118,3.195066622,,0.051,0.051,23.4906,3.156600341,
256,0,0.088,0.088,20.2664,3.008964342,,0.046,0.046,21.1876,3.053416105,,0.048,0.048,11.0544,2.402828539,,0.106,0.106,24.4118,3.195066622,,0.051,0.051,23.4906,3.156600341,
257,0,0.087,0.087,20.0361,2.997535646,,0.045,0.045,20.727,3.031437198,,0.048,0.048,11.0544,2.402828539,,0.106,0.106,24.4118,3.195066622,,0.05,0.05,23.03,3.136797714,
258,0,0.087,0.087,20.0361,2.997535646,,0.045,0.045,20.727,3.031437198,,0.048,0.048,11.0544,2.402828539,,0.105,0.105,24.1815,3.185587878,,0.05,0.05,23.03,3.136797714,
259,0,0.087,0.087,20.0361,2.997535646,,0.045,0.045,20.727,3.031437198,,0.047,0.047,10.8241,2.38177513,,0.105,0.105,24.1815,3.185587878,,0.05,0.05,23.03,3.136797714,
260,0,0.086,0.086,19.8058,2.985974824,,0.045,0.045,20.727,3.031437198,,0.047,0.047,10.8241,2.38177513,,0.105,0.105,24.1815,3.185587878,,0.05,0.05,23.03,3.136797714,
261,0,0.086,0.086,19.8058,2.985974824,,0.044,0.044,20.2664,3.008964342,,0.047,0.047,10.8241,2.38177513,,0.104,0.104,23.9512,3.176018427,,0.05,0.05,23.03,3.136797714,
262,0,0.085,0.085,19.5755,2.974278784,,0.044,0.044,20.2664,3.008964342,,0.046,0.046,10.5938,2.360268924,,0.104,0.104,23.9512,3.176018427,,0.049,0.049,22.5694,3.116595007,
263,0,0.085,0.085,19.5755,2.974278784,,0.044,0.044,20.2664,3.008964342,,0.046,0.046,10.5938,2.360268924,,0.103,0.103,23.7209,3.166356516,,0.049,0.049,22.5694,3.116595007,
264,0,0.084,0.084,19.3452,2.962444327,,0.043,0.043,19.8058,2.985974824,,0.046,0.046,10.5938,2.360268924,,0.103,0.103,23.7209,3.166356516,,0.049,0.049,22.5694,3.116595007,
265,0,0.083,0.083,19.1149,2.950468136,,0.043,0.043,19.8058,2.985974824,,0.045,0.045,10.3635,2.338290018,,0.102,0.102,23.4906,3.156600341,,0.048,0.048,22.1088,3.095975719,
