,Blank,F11Sep19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F4Oct19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F4Oct19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_5R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Nov19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_9R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
222,-0.007,0.125,0.132,30.3996,3.41442945,,0.061,0.068,31.3208,3.444282414,,0.127,0.134,30.8602,3.429467328,,0.026,0.033,15.1998,2.72128227,,0.21,0.217,49.9751,3.911524881,,0.094,0.101,46.5206,3.839895225,,0.033,0.04,9.212,2.220506982,,0.105,0.112,25.7936,3.250126399,,0.053,0.06,27.636,3.319119271,,0.107,0.114,26.2542,3.267825976,,0.052,0.059,27.1754,3.302312152,,0.11,0.117,26.9451,3.293801463,,0.053,0.06,27.636,3.319119271,
223,-0.007,0.124,0.131,30.1693,3.406824851,,0.061,0.068,31.3208,3.444282414,,0.125,0.132,30.3996,3.41442945,,0.026,0.033,15.1998,2.72128227,,0.208,0.215,49.5145,3.902265556,,0.093,0.1,46.06,3.829944894,,0.032,0.039,8.9817,2.195189174,,0.103,0.11,25.333,3.232107894,,0.052,0.059,27.1754,3.302312152,,0.105,0.112,25.7936,3.250126399,,0.051,0.058,26.7148,3.285217719,,0.108,0.115,26.4845,3.276559656,,0.052,0.059,27.1754,3.302312152,
224,-0.007,0.123,0.13,29.939,3.399161978,,0.06,0.067,30.8602,3.429467328,,0.122,0.129,29.7087,3.391439932,,0.025,0.032,14.7392,2.690510611,,0.207,0.214,49.2842,3.897603543,,0.093,0.1,46.06,3.829944894,,0.032,0.039,8.9817,2.195189174,,0.101,0.108,24.8724,3.213758755,,0.051,0.058,26.7148,3.285217719,,0.104,0.111,25.5633,3.241157729,,0.051,0.058,26.7148,3.285217719,,0.106,0.113,26.0239,3.259015347,,0.051,0.058,26.7148,3.285217719,
225,-0.007,0.123,0.13,29.939,3.399161978,,0.06,0.067,30.8602,3.429467328,,0.12,0.127,29.2481,3.375814614,,0.025,0.032,14.7392,2.690510611,,0.206,0.213,49.0539,3.892919694,,0.092,0.099,45.5994,3.819894559,,0.032,0.039,8.9817,2.195189174,,0.1,0.107,24.6421,3.204456362,,0.05,0.057,26.2542,3.267825976,,0.102,0.109,25.1027,3.22297541,,0.05,0.057,26.2542,3.267825976,,0.105,0.112,25.7936,3.250126399,,0.05,0.057,26.2542,3.267825976,
226,-0.006,0.122,0.128,29.4784,3.383657792,,0.06,0.066,30.3996,3.41442945,,0.118,0.124,28.5572,3.351909093,,0.024,0.03,13.818,2.62597209,,0.204,0.21,48.363,3.878735059,,0.092,0.098,45.1388,3.809742187,,0.031,0.037,8.5211,2.14254544,,0.098,0.104,23.9512,3.176018427,,0.05,0.056,25.7936,3.250126399,,0.101,0.107,24.6421,3.204456362,,0.049,0.055,25.333,3.232107894,,0.103,0.109,25.1027,3.22297541,,0.05,0.056,25.7936,3.250126399,
227,-0.006,0.121,0.127,29.2481,3.375814614,,0.059,0.065,29.939,3.399161978,,0.116,0.122,28.0966,3.335648573,,0.024,0.03,13.818,2.62597209,,0.202,0.208,47.9024,3.869165608,,0.091,0.097,44.6782,3.799485687,,0.031,0.037,8.5211,2.14254544,,0.097,0.103,23.7209,3.166356516,,0.049,0.055,25.333,3.232107894,,0.099,0.105,24.1815,3.185587878,,0.048,0.054,24.8724,3.213758755,,0.101,0.107,24.6421,3.204456362,,0.049,0.055,25.333,3.232107894,
228,-0.006,0.121,0.127,29.2481,3.375814614,,0.059,0.065,29.939,3.399161978,,0.114,0.12,27.636,3.319119271,,0.023,0.029,13.3574,2.592070538,,0.201,0.207,47.6721,3.864346321,,0.09,0.096,44.2176,3.7891229,,0.03,0.036,8.2908,2.115146466,,0.095,0.101,23.2603,3.146748045,,0.048,0.054,24.8724,3.213758755,,0.097,0.103,23.7209,3.166356516,,0.048,0.054,24.8724,3.213758755,,0.1,0.106,24.4118,3.195066622,,0.048,0.054,24.8724,3.213758755,
229,-0.006,0.12,0.126,29.0178,3.367909435,,0.058,0.064,29.4784,3.383657792,,0.112,0.118,27.1754,3.302312152,,0.023,0.029,13.3574,2.592070538,,0.199,0.205,47.2115,3.854637507,,0.089,0.095,43.757,3.7786516,,0.03,0.036,8.2908,2.115146466,,0.094,0.1,23.03,3.136797714,,0.047,0.053,24.4118,3.195066622,,0.096,0.102,23.4906,3.156600341,,0.047,0.053,24.4118,3.195066622,,0.098,0.104,23.9512,3.176018427,,0.047,0.053,24.4118,3.195066622,
230,-0.006,0.119,0.125,28.7875,3.359941265,,0.058,0.064,29.4784,3.383657792,,0.109,0.115,26.4845,3.276559656,,0.022,0.028,12.8968,2.556979219,,0.197,0.203,46.7509,3.844833507,,0.089,0.095,43.757,3.7786516,,0.029,0.035,8.0605,2.086975589,,0.092,0.098,22.5694,3.116595007,,0.047,0.053,24.4118,3.195066622,,0.094,0.1,23.03,3.136797714,,0.046,0.052,23.9512,3.176018427,,0.096,0.102,23.4906,3.156600341,,0.046,0.052,23.9512,3.176018427,
231,-0.005,0.118,0.123,28.3269,3.343811883,,0.058,0.063,29.0178,3.367909435,,0.107,0.112,25.7936,3.250126399,,0.022,0.027,12.4362,2.520611574,,0.196,0.201,46.2903,3.834932436,,0.088,0.093,42.8358,3.757374202,,0.029,0.034,7.8302,2.057988052,,0.091,0.096,22.1088,3.095975719,,0.046,0.051,23.4906,3.156600341,,0.092,0.097,22.3391,3.106338506,,0.046,0.051,23.4906,3.156600341,,0.095,0.1,23.03,3.136797714,,0.046,0.051,23.4906,3.156600341,
