,MilliQ,F16Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr,F16Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F30Oct19_5m_R1,A(CDOM),a(CDOM),ln(a),Sr,F8Nov19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_Surf_R2,A(CDOM),a(CDOM),ln(a),Sr,F20Nov19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F23Oct19_9m_R2,A(CDOM),a(CDOM),ln(a),Sr
224,0.005,0.119,0.114,26.2542,3.267825976,,0.137,0.132,30.3996,3.41442945,,0.064,0.059,13.5877,2.609164972,,0.089,0.084,19.3452,2.962444327,,0.11,0.105,24.1815,3.185587878,,0.114,0.109,25.1027,3.22297541,,0.108,0.103,23.7209,3.166356516,,0.075,0.07,16.121,2.78012277,,0.105,0.1,23.03,3.136797714,,0.114,0.109,25.1027,3.22297541,,0.114,0.109,25.1027,3.22297541,,0.103,0.098,22.5694,3.116595007,,0.075,0.07,16.121,2.78012277,
225,0.005,0.117,0.112,25.7936,3.250126399,,0.135,0.13,29.939,3.399161978,,0.063,0.058,13.3574,2.592070538,,0.087,0.082,18.8846,2.938346775,,0.108,0.103,23.7209,3.166356516,,0.111,0.106,24.4118,3.195066622,,0.107,0.102,23.4906,3.156600341,,0.074,0.069,15.8907,2.765734032,,0.103,0.098,22.5694,3.116595007,,0.112,0.107,24.6421,3.204456362,,0.113,0.108,24.8724,3.213758755,,0.101,0.096,22.1088,3.095975719,,0.074,0.069,15.8907,2.765734032,
226,0.005,0.116,0.111,25.5633,3.241157729,,0.133,0.128,29.4784,3.383657792,,0.062,0.057,13.1271,2.574678796,,0.086,0.081,18.6543,2.926076683,,0.106,0.101,23.2603,3.146748045,,0.109,0.104,23.9512,3.176018427,,0.105,0.1,23.03,3.136797714,,0.073,0.068,15.6604,2.751135233,,0.101,0.096,22.1088,3.095975719,,0.11,0.105,24.1815,3.185587878,,0.111,0.106,24.4118,3.195066622,,0.099,0.094,21.6482,3.07492231,,0.073,0.068,15.6604,2.751135233,
227,0.005,0.114,0.109,25.1027,3.22297541,,0.131,0.126,29.0178,3.367909435,,0.061,0.056,12.8968,2.556979219,,0.084,0.079,18.1937,2.90107538,,0.105,0.1,23.03,3.136797714,,0.107,0.102,23.4906,3.156600341,,0.104,0.099,22.7997,3.126747378,,0.072,0.067,15.4301,2.736320147,,0.099,0.094,21.6482,3.07492231,,0.108,0.103,23.7209,3.166356516,,0.109,0.104,23.9512,3.176018427,,0.097,0.092,21.1876,3.053416105,,0.072,0.067,15.4301,2.736320147,
228,0.005,0.112,0.107,24.6421,3.204456362,,0.129,0.124,28.5572,3.351909093,,0.06,0.055,12.6665,2.538960713,,0.083,0.078,17.9634,2.888336355,,0.103,0.098,22.5694,3.116595007,,0.105,0.1,23.03,3.136797714,,0.102,0.097,22.3391,3.106338506,,0.07,0.065,14.9695,2.706014798,,0.097,0.092,21.1876,3.053416105,,0.106,0.101,23.2603,3.146748045,,0.107,0.102,23.4906,3.156600341,,0.095,0.09,20.727,3.031437198,,0.07,0.065,14.9695,2.706014798,
229,0.004,0.11,0.106,24.4118,3.195066622,,0.126,0.122,28.0966,3.335648573,,0.059,0.055,12.6665,2.538960713,,0.081,0.077,17.7331,2.87543295,,0.101,0.097,22.3391,3.106338506,,0.103,0.099,22.7997,3.126747378,,0.101,0.097,22.3391,3.106338506,,0.069,0.065,14.9695,2.706014798,,0.095,0.091,20.9573,3.042487034,,0.104,0.1,23.03,3.136797714,,0.105,0.101,23.2603,3.146748045,,0.093,0.089,20.4967,3.020263898,,0.069,0.065,14.9695,2.706014798,
230,0.004,0.108,0.104,23.9512,3.176018427,,0.124,0.12,27.636,3.319119271,,0.058,0.054,12.4362,2.520611574,,0.08,0.076,17.5028,2.862360868,,0.099,0.095,21.8785,3.085504419,,0.1,0.096,22.1088,3.095975719,,0.099,0.095,21.8785,3.085504419,,0.068,0.064,14.7392,2.690510611,,0.094,0.09,20.727,3.031437198,,0.102,0.098,22.5694,3.116595007,,0.103,0.099,22.7997,3.126747378,,0.092,0.088,20.2664,3.008964342,,0.068,0.064,14.7392,2.690510611,
231,0.004,0.107,0.103,23.7209,3.166356516,,0.122,0.118,27.1754,3.302312152,,0.057,0.053,12.2059,2.501919441,,0.079,0.075,17.2725,2.849115641,,0.098,0.094,21.6482,3.07492231,,0.099,0.095,21.8785,3.085504419,,0.098,0.094,21.6482,3.07492231,,0.067,0.063,14.5089,2.674762254,,0.092,0.088,20.2664,3.008964342,,0.101,0.097,22.3391,3.106338506,,0.102,0.098,22.5694,3.116595007,,0.09,0.086,19.8058,2.985974824,,0.067,0.063,14.5089,2.674762254,
232,0.004,0.105,0.101,23.2603,3.146748045,,0.12,0.116,26.7148,3.285217719,,0.056,0.052,11.9756,2.482871246,,0.077,0.073,16.8119,2.822086969,,0.096,0.092,21.1876,3.053416105,,0.096,0.092,21.1876,3.053416105,,0.096,0.092,21.1876,3.053416105,,0.066,0.062,14.2786,2.658761913,,0.09,0.086,19.8058,2.985974824,,0.099,0.095,21.8785,3.085504419,,0.1,0.096,22.1088,3.095975719,,0.088,0.084,19.3452,2.962444327,,0.065,0.061,14.0483,2.642501392,
233,0.004,0.103,0.099,22.7997,3.126747378,,0.118,0.114,26.2542,3.267825976,,0.055,0.051,11.7453,2.463453161,,0.076,0.072,16.5816,2.808293647,,0.094,0.09,20.727,3.031437198,,0.095,0.091,20.9573,3.042487034,,0.095,0.091,20.9573,3.042487034,,0.065,0.061,14.0483,2.642501392,,0.089,0.085,19.5755,2.974278784,,0.097,0.093,21.4179,3.064227021,,0.098,0.094,21.6482,3.07492231,,0.086,0.082,18.8846,2.938346775,,0.065,0.061,14.0483,2.642501392,
