,MilliQ,F5Aug19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_Inf_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Jul19_Wet_R1,A(CDOM),a(CDOM),ln(a),Sr,F2Sep19_Wet_R2,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_101_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F29Apr19_30_R1,A(CDOM),a(CDOM),ln(a),Sr
234,-0.004,0.105,0.109,25.1027,3.22297541,,0.06,0.064,14.7392,2.690510611,,0.1,0.104,23.9512,3.176018427,,0.081,0.085,19.5755,2.974278784,,0.046,0.05,11.515,2.443650533,,0.048,0.052,11.9756,2.482871246,,0.039,0.043,9.9029,2.292827644,,0.05,0.054,12.4362,2.520611574,
235,-0.004,0.104,0.108,24.8724,3.213758755,,0.058,0.062,14.2786,2.658761913,,0.098,0.102,23.4906,3.156600341,,0.079,0.083,19.1149,2.950468136,,0.045,0.049,11.2847,2.423447826,,0.047,0.051,11.7453,2.463453161,,0.038,0.042,9.6726,2.269297146,,0.049,0.053,12.2059,2.501919441,
236,-0.004,0.103,0.107,24.6421,3.204456362,,0.057,0.061,14.0483,2.642501392,,0.097,0.101,23.2603,3.146748045,,0.078,0.082,18.8846,2.938346775,,0.044,0.048,11.0544,2.402828539,,0.046,0.05,11.515,2.443650533,,0.038,0.042,9.6726,2.269297146,,0.049,0.053,12.2059,2.501919441,
237,-0.004,0.102,0.106,24.4118,3.195066622,,0.056,0.06,13.818,2.62597209,,0.096,0.1,23.03,3.136797714,,0.077,0.081,18.6543,2.926076683,,0.043,0.047,10.8241,2.38177513,,0.046,0.05,11.515,2.443650533,,0.037,0.041,9.4423,2.245199595,,0.048,0.052,11.9756,2.482871246,
238,-0.004,0.101,0.105,24.1815,3.185587878,,0.055,0.059,13.5877,2.609164972,,0.095,0.099,22.7997,3.126747378,,0.076,0.08,18.424,2.913654163,,0.042,0.046,10.5938,2.360268924,,0.045,0.049,11.2847,2.423447826,,0.037,0.041,9.4423,2.245199595,,0.048,0.052,11.9756,2.482871246,
239,-0.004,0.1,0.104,23.9512,3.176018427,,0.054,0.058,13.3574,2.592070538,,0.094,0.098,22.5694,3.116595007,,0.075,0.079,18.1937,2.90107538,,0.042,0.046,10.5938,2.360268924,,0.045,0.049,11.2847,2.423447826,,0.036,0.04,9.212,2.220506982,,0.047,0.051,11.7453,2.463453161,
240,-0.004,0.099,0.103,23.7209,3.166356516,,0.053,0.057,13.1271,2.574678796,,0.093,0.097,22.3391,3.106338506,,0.073,0.077,17.7331,2.87543295,,0.041,0.045,10.3635,2.338290018,,0.044,0.048,11.0544,2.402828539,,0.036,0.04,9.212,2.220506982,,0.046,0.05,11.515,2.443650533,
241,-0.004,0.098,0.102,23.4906,3.156600341,,0.052,0.056,12.8968,2.556979219,,0.092,0.096,22.1088,3.095975719,,0.072,0.076,17.5028,2.862360868,,0.04,0.044,10.1332,2.315817162,,0.043,0.047,10.8241,2.38177513,,0.035,0.039,8.9817,2.195189174,,0.046,0.05,11.515,2.443650533,
242,-0.004,0.097,0.101,23.2603,3.146748045,,0.051,0.055,12.6665,2.538960713,,0.092,0.096,22.1088,3.095975719,,0.072,0.076,17.5028,2.862360868,,0.04,0.044,10.1332,2.315817162,,0.043,0.047,10.8241,2.38177513,,0.035,0.039,8.9817,2.195189174,,0.045,0.049,11.2847,2.423447826,
243,-0.004,0.096,0.1,23.03,3.136797714,,0.051,0.055,12.6665,2.538960713,,0.091,0.095,21.8785,3.085504419,,0.071,0.075,17.2725,2.849115641,,0.039,0.043,9.9029,2.292827644,,0.042,0.046,10.5938,2.360268924,,0.034,0.038,8.7514,2.169213688,,0.044,0.048,11.0544,2.402828539,
244,-0.004,0.095,0.099,22.7997,3.126747378,,0.05,0.054,12.4362,2.520611574,,0.09,0.094,21.6482,3.07492231,,0.07,0.074,17.0422,2.835692621,,0.038,0.042,9.6726,2.269297146,,0.042,0.046,10.5938,2.360268924,,0.034,0.038,8.7514,2.169213688,,0.044,0.048,11.0544,2.402828539,
245,-0.004,0.094,0.098,22.5694,3.116595007,,0.049,0.053,12.2059,2.501919441,,0.089,0.093,21.4179,3.064227021,,0.069,0.073,16.8119,2.822086969,,0.038,0.042,9.6726,2.269297146,,0.042,0.046,10.5938,2.360268924,,0.034,0.038,8.7514,2.169213688,,0.043,0.047,10.8241,2.38177513,
246,-0.004,0.093,0.097,22.3391,3.106338506,,0.049,0.053,12.2059,2.501919441,,0.088,0.092,21.1876,3.053416105,,0.068,0.072,16.5816,2.808293647,,0.037,0.041,9.4423,2.245199595,,0.041,0.045,10.3635,2.338290018,,0.033,0.037,8.5211,2.14254544,,0.043,0.047,10.8241,2.38177513,
247,-0.004,0.093,0.097,22.3391,3.106338506,,0.048,0.052,11.9756,2.482871246,,0.088,0.092,21.1876,3.053416105,,0.068,0.072,16.5816,2.808293647,,0.037,0.041,9.4423,2.245199595,,0.041,0.045,10.3635,2.338290018,,0.033,0.037,8.5211,2.14254544,,0.043,0.047,10.8241,2.38177513,
248,-0.004,0.092,0.096,22.1088,3.095975719,,0.048,0.052,11.9756,2.482871246,,0.087,0.091,20.9573,3.042487034,,0.067,0.071,16.3513,2.794307405,,0.037,0.041,9.4423,2.245199595,,0.04,0.044,10.1332,2.315817162,,0.033,0.037,8.5211,2.14254544,,0.042,0.046,10.5938,2.360268924,
