,Blank,F8Jul19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F1Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F8Jul19_SurfR2,A(CDOM),a(CDOM),ln(a),Sr,F8Jul19_SurfR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F1Jul19_5R1,A(CDOM),a(CDOM),ln(a),Sr
247,0,0.062,0.062,14.2786,2.658761913,,0.063,0.063,14.5089,2.674762254,,0.057,0.057,13.1271,2.574678796,,0.091,0.091,20.9573,3.042487034,,0.023,0.023,10.5938,2.360268924,,0.064,0.064,14.7392,2.690510611,,0.03,0.03,13.818,2.62597209,,0.044,0.044,10.1332,2.315817162,
248,0,0.062,0.062,14.2786,2.658761913,,0.063,0.063,14.5089,2.674762254,,0.056,0.056,12.8968,2.556979219,,0.09,0.09,20.727,3.031437198,,0.023,0.023,10.5938,2.360268924,,0.063,0.063,14.5089,2.674762254,,0.03,0.03,13.818,2.62597209,,0.044,0.044,10.1332,2.315817162,
249,0,0.061,0.061,14.0483,2.642501392,,0.062,0.062,14.2786,2.658761913,,0.056,0.056,12.8968,2.556979219,,0.09,0.09,20.727,3.031437198,,0.022,0.022,10.1332,2.315817162,,0.063,0.063,14.5089,2.674762254,,0.03,0.03,13.818,2.62597209,,0.043,0.043,9.9029,2.292827644,
250,0,0.061,0.061,14.0483,2.642501392,,0.062,0.062,14.2786,2.658761913,,0.056,0.056,12.8968,2.556979219,,0.089,0.089,20.4967,3.020263898,,0.022,0.022,10.1332,2.315817162,,0.062,0.062,14.2786,2.658761913,,0.03,0.03,13.818,2.62597209,,0.043,0.043,9.9029,2.292827644,
251,0,0.061,0.061,14.0483,2.642501392,,0.062,0.062,14.2786,2.658761913,,0.056,0.056,12.8968,2.556979219,,0.088,0.088,20.2664,3.008964342,,0.022,0.022,10.1332,2.315817162,,0.062,0.062,14.2786,2.658761913,,0.03,0.03,13.818,2.62597209,,0.043,0.043,9.9029,2.292827644,
252,0,0.06,0.06,13.818,2.62597209,,0.061,0.061,14.0483,2.642501392,,0.055,0.055,12.6665,2.538960713,,0.088,0.088,20.2664,3.008964342,,0.022,0.022,10.1332,2.315817162,,0.062,0.062,14.2786,2.658761913,,0.029,0.029,13.3574,2.592070538,,0.042,0.042,9.6726,2.269297146,
253,0,0.06,0.06,13.818,2.62597209,,0.061,0.061,14.0483,2.642501392,,0.055,0.055,12.6665,2.538960713,,0.087,0.087,20.0361,2.997535646,,0.022,0.022,10.1332,2.315817162,,0.061,0.061,14.0483,2.642501392,,0.029,0.029,13.3574,2.592070538,,0.042,0.042,9.6726,2.269297146,
254,0,0.059,0.059,13.5877,2.609164972,,0.06,0.06,13.818,2.62597209,,0.054,0.054,12.4362,2.520611574,,0.087,0.087,20.0361,2.997535646,,0.022,0.022,10.1332,2.315817162,,0.061,0.061,14.0483,2.642501392,,0.029,0.029,13.3574,2.592070538,,0.042,0.042,9.6726,2.269297146,
255,0,0.059,0.059,13.5877,2.609164972,,0.06,0.06,13.818,2.62597209,,0.054,0.054,12.4362,2.520611574,,0.087,0.087,20.0361,2.997535646,,0.022,0.022,10.1332,2.315817162,,0.06,0.06,13.818,2.62597209,,0.029,0.029,13.3574,2.592070538,,0.042,0.042,9.6726,2.269297146,
256,0,0.059,0.059,13.5877,2.609164972,,0.06,0.06,13.818,2.62597209,,0.054,0.054,12.4362,2.520611574,,0.086,0.086,19.8058,2.985974824,,0.022,0.022,10.1332,2.315817162,,0.06,0.06,13.818,2.62597209,,0.029,0.029,13.3574,2.592070538,,0.041,0.041,9.4423,2.245199595,
