,Blank,F20Sep19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_Surf_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_9_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1,A(CDOM),a(CDOM),ln(a),Sr,F20Sep19_5R1_Dil2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F20Sep19_5_R1_Dil4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F22Jul19_WET_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Jul19_WET_R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
224,0,0.146,0.146,33.6238,3.51523415,,0.062,0.062,28.5572,3.351909093,,0.039,0.039,8.9817,2.195189174,,0.018,0.018,8.2908,2.115146466,,0.217,0.217,49.9751,3.911524881,,0.11,0.11,50.666,3.925255074,,0.046,0.046,199.9004,5.297819243,,0.149,0.149,34.3147,3.535573834,,0.075,0.075,34.545,3.542262822,
225,0,0.141,0.141,32.4723,3.480387418,,0.061,0.061,28.0966,3.335648573,,0.039,0.039,8.9817,2.195189174,,0.017,0.017,7.8302,2.057988052,,0.216,0.216,49.7448,3.906905936,,0.109,0.109,50.2054,3.916122591,,0.045,0.045,198.9792,5.293200297,,0.146,0.146,33.6238,3.51523415,,0.073,0.073,33.6238,3.51523415,
226,0,0.138,0.138,31.7814,3.458881213,,0.06,0.06,27.636,3.319119271,,0.038,0.038,8.7514,2.169213688,,0.017,0.017,7.8302,2.057988052,,0.214,0.214,49.2842,3.897603543,,0.108,0.108,49.7448,3.906905936,,0.045,0.045,197.1368,5.283897904,,0.143,0.143,32.9329,3.494472158,,0.072,0.072,33.1632,3.501440827,
227,0,0.134,0.134,30.8602,3.429467328,,0.059,0.059,27.1754,3.302312152,,0.037,0.037,8.5211,2.14254544,,0.017,0.017,7.8302,2.057988052,,0.213,0.213,49.0539,3.892919694,,0.108,0.108,49.7448,3.906905936,,0.045,0.045,196.2156,5.279214055,,0.141,0.141,32.4723,3.480387418,,0.071,0.071,32.7026,3.487454585,
228,0,0.13,0.13,29.939,3.399161978,,0.058,0.058,26.7148,3.285217719,,0.036,0.036,8.2908,2.115146466,,0.016,0.016,7.3696,1.997363431,,0.212,0.212,48.8236,3.888213803,,0.107,0.107,49.2842,3.897603543,,0.044,0.044,195.2944,5.274508164,,0.139,0.139,32.0117,3.466101461,,0.069,0.069,31.7814,3.458881213,
229,0,0.127,0.127,29.2481,3.375814614,,0.057,0.057,26.2542,3.267825976,,0.036,0.036,8.2908,2.115146466,,0.016,0.016,7.3696,1.997363431,,0.21,0.21,48.363,3.878735059,,0.107,0.107,49.2842,3.897603543,,0.044,0.044,193.452,5.26502942,,0.137,0.137,31.5511,3.451608454,,0.068,0.068,31.3208,3.444282414,
230,0,0.124,0.124,28.5572,3.351909093,,0.056,0.056,25.7936,3.250126399,,0.035,0.035,8.0605,2.086975589,,0.016,0.016,7.3696,1.997363431,,0.209,0.209,48.1327,3.87396178,,0.106,0.106,48.8236,3.888213803,,0.044,0.044,192.5308,5.260256141,,0.134,0.134,30.8602,3.429467328,,0.067,0.067,30.8602,3.429467328,
231,0,0.121,0.121,27.8663,3.327418073,,0.055,0.055,25.333,3.232107894,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.208,0.208,47.9024,3.869165608,,0.105,0.105,48.363,3.878735059,,0.043,0.043,191.6096,5.255459969,,0.132,0.132,30.3996,3.41442945,,0.066,0.066,30.3996,3.41442945,
232,0,0.118,0.118,27.1754,3.302312152,,0.054,0.054,24.8724,3.213758755,,0.034,0.034,7.8302,2.057988052,,0.016,0.016,7.3696,1.997363431,,0.206,0.206,47.4418,3.859503697,,0.105,0.105,48.363,3.878735059,,0.043,0.043,189.7672,5.245798058,,0.13,0.13,29.939,3.399161978,,0.065,0.065,29.939,3.399161978,
233,0,0.115,0.115,26.4845,3.276559656,,0.054,0.054,24.8724,3.213758755,,0.033,0.033,7.5999,2.028135089,,0.016,0.016,7.3696,1.997363431,,0.205,0.205,47.2115,3.854637507,,0.104,0.104,47.9024,3.869165608,,0.043,0.043,188.846,5.240931868,,0.129,0.129,29.7087,3.391439932,,0.064,0.064,29.4784,3.383657792,
