,MilliQ,F04Oct19_101_R2,A(CDOM),a(CDOM),ln(a),Sr,B18Jul19_100_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_99_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_50_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_200_R1,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_30_R2,A(CDOM),a(CDOM),ln(a),Sr,F04Oct19_102_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_45_R2,A(CDOM),a(CDOM),ln(a),Sr,B04Oct19_01_R2,A(CDOM),a(CDOM),ln(a),Sr
220,0.003,0.138,0.135,31.0905,3.436902306,,0.108,0.105,24.1815,3.185587878,,0.099,0.096,22.1088,3.095975719,,0.116,0.113,26.0239,3.259015347,,0.187,0.184,42.3752,3.746563285,,0.164,0.161,37.0783,3.613031893,,0.091,0.088,20.2664,3.008964342,,0.17,0.167,38.4601,3.64962134,,0.086,0.083,19.1149,2.950468136,,0.118,0.115,26.4845,3.276559656,,0.117,0.114,26.2542,3.267825976,
221,0.003,0.133,0.13,29.939,3.399161978,,0.106,0.103,23.7209,3.166356516,,0.096,0.093,21.4179,3.064227021,,0.114,0.111,25.5633,3.241157729,,0.185,0.182,41.9146,3.735634215,,0.162,0.159,36.6177,3.60053173,,0.088,0.085,19.5755,2.974278784,,0.167,0.164,37.7692,3.631493956,,0.081,0.078,17.9634,2.888336355,,0.116,0.113,26.0239,3.259015347,,0.115,0.112,25.7936,3.250126399,
222,0.003,0.128,0.125,28.7875,3.359941265,,0.104,0.101,23.2603,3.146748045,,0.093,0.09,20.727,3.031437198,,0.112,0.109,25.1027,3.22297541,,0.184,0.181,41.6843,3.730124559,,0.159,0.156,35.9268,3.581483535,,0.084,0.081,18.6543,2.926076683,,0.163,0.16,36.848,3.606801343,,0.076,0.073,16.8119,2.822086969,,0.114,0.111,25.5633,3.241157729,,0.113,0.11,25.333,3.232107894,
223,0.002,0.123,0.121,27.8663,3.327418073,,0.103,0.101,23.2603,3.146748045,,0.09,0.088,20.2664,3.008964342,,0.11,0.108,24.8724,3.213758755,,0.183,0.181,41.6843,3.730124559,,0.156,0.154,35.4662,3.56858013,,0.081,0.079,18.1937,2.90107538,,0.16,0.158,36.3874,3.594222561,,0.071,0.069,15.8907,2.765734032,,0.111,0.109,25.1027,3.22297541,,0.111,0.109,25.1027,3.22297541,
224,0.002,0.119,0.117,26.9451,3.293801463,,0.101,0.099,22.7997,3.126747378,,0.087,0.085,19.5755,2.974278784,,0.108,0.106,24.4118,3.195066622,,0.181,0.179,41.2237,3.719013334,,0.153,0.151,34.7753,3.548907365,,0.078,0.076,17.5028,2.862360868,,0.157,0.155,35.6965,3.575052645,,0.067,0.065,14.9695,2.706014798,,0.11,0.108,24.8724,3.213758755,,0.109,0.107,24.6421,3.204456362,
225,0.002,0.115,0.113,26.0239,3.259015347,,0.099,0.097,22.3391,3.106338506,,0.084,0.082,18.8846,2.938346775,,0.106,0.104,23.9512,3.176018427,,0.18,0.178,40.9934,3.713411078,,0.15,0.148,34.0844,3.528839802,,0.075,0.073,16.8119,2.822086969,,0.154,0.152,35.0056,3.555508049,,0.062,0.06,13.818,2.62597209,,0.107,0.105,24.1815,3.185587878,,0.107,0.105,24.1815,3.185587878,
226,0.002,0.111,0.109,25.1027,3.22297541,,0.098,0.096,22.1088,3.095975719,,0.082,0.08,18.424,2.913654163,,0.104,0.102,23.4906,3.156600341,,0.179,0.177,40.7631,3.70777726,,0.147,0.145,33.3935,3.50836127,,0.073,0.071,16.3513,2.794307405,,0.151,0.149,34.3147,3.535573834,,0.059,0.057,13.1271,2.574678796,,0.105,0.103,23.7209,3.166356516,,0.106,0.104,23.9512,3.176018427,
227,0.002,0.108,0.106,24.4118,3.195066622,,0.096,0.094,21.6482,3.07492231,,0.079,0.077,17.7331,2.87543295,,0.102,0.1,23.03,3.136797714,,0.177,0.175,40.3025,3.696413502,,0.145,0.143,32.9329,3.494472158,,0.07,0.068,15.6604,2.751135233,,0.148,0.146,33.6238,3.51523415,,0.055,0.053,12.2059,2.501919441,,0.103,0.101,23.2603,3.146748045,,0.104,0.102,23.4906,3.156600341,
228,0.002,0.104,0.102,23.4906,3.156600341,,0.095,0.093,21.4179,3.064227021,,0.077,0.075,17.2725,2.849115641,,0.1,0.098,22.5694,3.116595007,,0.176,0.174,40.0722,3.690682827,,0.142,0.14,32.242,3.47326995,,0.068,0.066,15.1998,2.72128227,,0.145,0.143,32.9329,3.494472158,,0.052,0.05,11.515,2.443650533,,0.102,0.1,23.03,3.136797714,,0.102,0.1,23.03,3.136797714,
229,0.002,0.101,0.099,22.7997,3.126747378,,0.093,0.091,20.9573,3.042487034,,0.075,0.073,16.8119,2.822086969,,0.099,0.097,22.3391,3.106338506,,0.174,0.172,39.6116,3.679122005,,0.14,0.138,31.7814,3.458881213,,0.066,0.064,14.7392,2.690510611,,0.142,0.14,32.242,3.47326995,,0.049,0.047,10.8241,2.38177513,,0.1,0.098,22.5694,3.116595007,,0.1,0.098,22.5694,3.116595007,
230,0.002,0.098,0.096,22.1088,3.095975719,,0.092,0.09,20.727,3.031437198,,0.073,0.071,16.3513,2.794307405,,0.097,0.095,21.8785,3.085504419,,0.173,0.171,39.3813,3.673291084,,0.137,0.135,31.0905,3.436902306,,0.064,0.062,14.2786,2.658761913,,0.139,0.137,31.5511,3.451608454,,0.046,0.044,10.1332,2.315817162,,0.098,0.096,22.1088,3.095975719,,0.099,0.097,22.3391,3.106338506,
