,MilliQ,F22Aug19_20_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_200_R2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_30_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_45_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_100_R1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5m_R2,A(CDOM),a(CDOM),ln(a),Sr,F27May19_9m_R1,A(CDOM),a(CDOM),ln(a),Sr,F6Jun19_Surf_R1,A(CDOM),a(CDOM),ln(a),Sr
237,-0.001,0.133,0.134,30.8602,3.429467328,,0.111,0.112,25.7936,3.250126399,,0.113,0.114,26.2542,3.267825976,,0.115,0.116,26.7148,3.285217719,,0.055,0.056,12.8968,2.556979219,,0.152,0.153,35.2359,3.562065449,,0.046,0.047,10.8241,2.38177513,,0.063,0.064,14.7392,2.690510611,
238,-0.001,0.131,0.132,30.3996,3.41442945,,0.11,0.111,25.5633,3.241157729,,0.112,0.113,26.0239,3.259015347,,0.114,0.115,26.4845,3.276559656,,0.054,0.055,12.6665,2.538960713,,0.151,0.152,35.0056,3.555508049,,0.045,0.046,10.5938,2.360268924,,0.062,0.063,14.5089,2.674762254,
239,-0.001,0.13,0.131,30.1693,3.406824851,,0.108,0.109,25.1027,3.22297541,,0.111,0.112,25.7936,3.250126399,,0.112,0.113,26.0239,3.259015347,,0.053,0.054,12.4362,2.520611574,,0.15,0.151,34.7753,3.548907365,,0.044,0.045,10.3635,2.338290018,,0.061,0.062,14.2786,2.658761913,
240,-0.001,0.128,0.129,29.7087,3.391439932,,0.107,0.108,24.8724,3.213758755,,0.11,0.111,25.5633,3.241157729,,0.111,0.112,25.7936,3.250126399,,0.052,0.053,12.2059,2.501919441,,0.15,0.151,34.7753,3.548907365,,0.044,0.045,10.3635,2.338290018,,0.06,0.061,14.0483,2.642501392,
241,-0.001,0.127,0.128,29.4784,3.383657792,,0.106,0.107,24.6421,3.204456362,,0.109,0.11,25.333,3.232107894,,0.11,0.111,25.5633,3.241157729,,0.051,0.052,11.9756,2.482871246,,0.149,0.15,34.545,3.542262822,,0.043,0.044,10.1332,2.315817162,,0.059,0.06,13.818,2.62597209,
242,-0.001,0.126,0.127,29.2481,3.375814614,,0.105,0.106,24.4118,3.195066622,,0.108,0.109,25.1027,3.22297541,,0.109,0.11,25.333,3.232107894,,0.05,0.051,11.7453,2.463453161,,0.149,0.15,34.545,3.542262822,,0.043,0.044,10.1332,2.315817162,,0.059,0.06,13.818,2.62597209,
243,-0.001,0.125,0.126,29.0178,3.367909435,,0.105,0.106,24.4118,3.195066622,,0.107,0.108,24.8724,3.213758755,,0.108,0.109,25.1027,3.22297541,,0.05,0.051,11.7453,2.463453161,,0.148,0.149,34.3147,3.535573834,,0.043,0.044,10.1332,2.315817162,,0.058,0.059,13.5877,2.609164972,
244,-0.001,0.123,0.124,28.5572,3.351909093,,0.104,0.105,24.1815,3.185587878,,0.106,0.107,24.6421,3.204456362,,0.107,0.108,24.8724,3.213758755,,0.049,0.05,11.515,2.443650533,,0.148,0.149,34.3147,3.535573834,,0.042,0.043,9.9029,2.292827644,,0.058,0.059,13.5877,2.609164972,
245,-0.001,0.122,0.123,28.3269,3.343811883,,0.103,0.104,23.9512,3.176018427,,0.105,0.106,24.4118,3.195066622,,0.106,0.107,24.6421,3.204456362,,0.048,0.049,11.2847,2.423447826,,0.148,0.149,34.3147,3.535573834,,0.042,0.043,9.9029,2.292827644,,0.057,0.058,13.3574,2.592070538,
246,-0.001,0.121,0.122,28.0966,3.335648573,,0.102,0.103,23.7209,3.166356516,,0.105,0.106,24.4118,3.195066622,,0.105,0.106,24.4118,3.195066622,,0.048,0.049,11.2847,2.423447826,,0.147,0.148,34.0844,3.528839802,,0.041,0.042,9.6726,2.269297146,,0.056,0.057,13.1271,2.574678796,
