,Blank,F17Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F24Jun19_SurfR1,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_SurfR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F24Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_9R2_dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F17Jun19_5R2,A(CDOM),a(CDOM),ln(a),Sr,F17Jun19_9R2,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_5R1,A(CDOM),a(CDOM),ln(a),Sr,F24Jun19_5R1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
229,-0.002,0.072,0.074,17.0422,2.835692621,,0.033,0.035,16.121,2.78012277,,0.072,0.074,17.0422,2.835692621,,0.037,0.039,17.9634,2.888336355,,0.056,0.058,13.3574,2.592070538,,0.025,0.027,12.4362,2.520611574,,0.049,0.051,11.7453,2.463453161,,0.044,0.046,10.5938,2.360268924,,0.071,0.073,16.8119,2.822086969,,0.036,0.038,17.5028,2.862360868,
230,-0.002,0.07,0.072,16.5816,2.808293647,,0.033,0.035,16.121,2.78012277,,0.071,0.073,16.8119,2.822086969,,0.036,0.038,17.5028,2.862360868,,0.055,0.057,13.1271,2.574678796,,0.024,0.026,11.9756,2.482871246,,0.048,0.05,11.515,2.443650533,,0.044,0.046,10.5938,2.360268924,,0.069,0.071,16.3513,2.794307405,,0.035,0.037,17.0422,2.835692621,
231,-0.002,0.069,0.071,16.3513,2.794307405,,0.032,0.034,15.6604,2.751135233,,0.07,0.072,16.5816,2.808293647,,0.036,0.038,17.5028,2.862360868,,0.054,0.056,12.8968,2.556979219,,0.024,0.026,11.9756,2.482871246,,0.047,0.049,11.2847,2.423447826,,0.043,0.045,10.3635,2.338290018,,0.066,0.068,15.6604,2.751135233,,0.034,0.036,16.5816,2.808293647,
232,-0.002,0.068,0.07,16.121,2.78012277,,0.032,0.034,15.6604,2.751135233,,0.069,0.071,16.3513,2.794307405,,0.035,0.037,17.0422,2.835692621,,0.053,0.055,12.6665,2.538960713,,0.024,0.026,11.9756,2.482871246,,0.047,0.049,11.2847,2.423447826,,0.043,0.045,10.3635,2.338290018,,0.064,0.066,15.1998,2.72128227,,0.032,0.034,15.6604,2.751135233,
233,-0.001,0.067,0.068,15.6604,2.751135233,,0.032,0.033,15.1998,2.72128227,,0.068,0.069,15.8907,2.765734032,,0.035,0.036,16.5816,2.808293647,,0.052,0.053,12.2059,2.501919441,,0.024,0.025,11.515,2.443650533,,0.047,0.048,11.0544,2.402828539,,0.042,0.043,9.9029,2.292827644,,0.062,0.063,14.5089,2.674762254,,0.031,0.032,14.7392,2.690510611,
234,-0.001,0.067,0.068,15.6604,2.751135233,,0.032,0.033,15.1998,2.72128227,,0.067,0.068,15.6604,2.751135233,,0.035,0.036,16.5816,2.808293647,,0.052,0.053,12.2059,2.501919441,,0.024,0.025,11.515,2.443650533,,0.046,0.047,10.8241,2.38177513,,0.042,0.043,9.9029,2.292827644,,0.06,0.061,14.0483,2.642501392,,0.031,0.032,14.7392,2.690510611,
235,-0.001,0.065,0.066,15.1998,2.72128227,,0.031,0.032,14.7392,2.690510611,,0.066,0.067,15.4301,2.736320147,,0.034,0.035,16.121,2.78012277,,0.051,0.052,11.9756,2.482871246,,0.024,0.025,11.515,2.443650533,,0.046,0.047,10.8241,2.38177513,,0.042,0.043,9.9029,2.292827644,,0.057,0.058,13.3574,2.592070538,,0.029,0.03,13.818,2.62597209,
236,-0.001,0.065,0.066,15.1998,2.72128227,,0.031,0.032,14.7392,2.690510611,,0.065,0.066,15.1998,2.72128227,,0.034,0.035,16.121,2.78012277,,0.05,0.051,11.7453,2.463453161,,0.023,0.024,11.0544,2.402828539,,0.045,0.046,10.5938,2.360268924,,0.041,0.042,9.6726,2.269297146,,0.056,0.057,13.1271,2.574678796,,0.028,0.029,13.3574,2.592070538,
237,-0.001,0.064,0.065,14.9695,2.706014798,,0.03,0.031,14.2786,2.658761913,,0.064,0.065,14.9695,2.706014798,,0.034,0.035,16.121,2.78012277,,0.049,0.05,11.515,2.443650533,,0.023,0.024,11.0544,2.402828539,,0.045,0.046,10.5938,2.360268924,,0.041,0.042,9.6726,2.269297146,,0.054,0.055,12.6665,2.538960713,,0.028,0.029,13.3574,2.592070538,
238,-0.001,0.063,0.064,14.7392,2.690510611,,0.03,0.031,14.2786,2.658761913,,0.064,0.065,14.9695,2.706014798,,0.033,0.034,15.6604,2.751135233,,0.049,0.05,11.515,2.443650533,,0.023,0.024,11.0544,2.402828539,,0.044,0.045,10.3635,2.338290018,,0.04,0.041,9.4423,2.245199595,,0.053,0.054,12.4362,2.520611574,,0.027,0.028,12.8968,2.556979219,
