,Blank,F13Jun19_0.1mR2,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_0.1mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F22Aug19_5mR1,A(CDOM),a(CDOM),ln(a),Sr,F22Aug19_5mR1_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_0.1R2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_0.1R2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_5mR2,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_5mR2_Dil,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep19_9mR2,A(CDOM),a(CDOM),ln(a),Sr
222,-0.006,0.086,0.092,21.1876,3.053416105,,0.139,0.145,33.3935,3.50836127,,0.073,0.079,36.3874,3.594222561,,0.134,0.14,32.242,3.47326995,,0.054,0.06,27.636,3.319119271,,0.147,0.153,35.2359,3.562065449,,0.072,0.078,35.9268,3.581483535,,0.117,0.123,28.3269,3.343811883,,0.055,0.061,28.0966,3.335648573,,0.047,0.053,12.2059,2.501919441,
223,-0.006,0.085,0.091,20.9573,3.042487034,,0.137,0.143,32.9329,3.494472158,,0.072,0.078,35.9268,3.581483535,,0.133,0.139,32.0117,3.466101461,,0.053,0.059,27.1754,3.302312152,,0.145,0.151,34.7753,3.548907365,,0.071,0.077,35.4662,3.56858013,,0.116,0.122,28.0966,3.335648573,,0.054,0.06,27.636,3.319119271,,0.046,0.052,11.9756,2.482871246,
224,-0.006,0.083,0.089,20.4967,3.020263898,,0.135,0.141,32.4723,3.480387418,,0.07,0.076,35.0056,3.555508049,,0.131,0.137,31.5511,3.451608454,,0.053,0.059,27.1754,3.302312152,,0.143,0.149,34.3147,3.535573834,,0.069,0.075,34.545,3.542262822,,0.115,0.121,27.8663,3.327418073,,0.054,0.06,27.636,3.319119271,,0.045,0.051,11.7453,2.463453161,
225,-0.006,0.082,0.088,20.2664,3.008964342,,0.133,0.139,32.0117,3.466101461,,0.069,0.075,34.545,3.542262822,,0.13,0.136,31.3208,3.444282414,,0.052,0.058,26.7148,3.285217719,,0.141,0.147,33.8541,3.522060115,,0.069,0.075,34.545,3.542262822,,0.114,0.12,27.636,3.319119271,,0.053,0.059,27.1754,3.302312152,,0.044,0.05,11.515,2.443650533,
226,-0.006,0.081,0.087,20.0361,2.997535646,,0.131,0.137,31.5511,3.451608454,,0.068,0.074,34.0844,3.528839802,,0.129,0.135,31.0905,3.436902306,,0.052,0.058,26.7148,3.285217719,,0.139,0.145,33.3935,3.50836127,,0.068,0.074,34.0844,3.528839802,,0.113,0.119,27.4057,3.310751021,,0.053,0.059,27.1754,3.302312152,,0.044,0.05,11.515,2.443650533,
227,-0.006,0.08,0.086,19.8058,2.985974824,,0.129,0.135,31.0905,3.436902306,,0.067,0.073,33.6238,3.51523415,,0.128,0.134,30.8602,3.429467328,,0.051,0.057,26.2542,3.267825976,,0.137,0.143,32.9329,3.494472158,,0.067,0.073,33.6238,3.51523415,,0.112,0.118,27.1754,3.302312152,,0.052,0.058,26.7148,3.285217719,,0.043,0.049,11.2847,2.423447826,
228,-0.005,0.079,0.084,19.3452,2.962444327,,0.127,0.132,30.3996,3.41442945,,0.066,0.071,32.7026,3.487454585,,0.127,0.132,30.3996,3.41442945,,0.05,0.055,25.333,3.232107894,,0.135,0.14,32.242,3.47326995,,0.066,0.071,32.7026,3.487454585,,0.111,0.116,26.7148,3.285217719,,0.052,0.057,26.2542,3.267825976,,0.042,0.047,10.8241,2.38177513,
229,-0.005,0.078,0.083,19.1149,2.950468136,,0.125,0.13,29.939,3.399161978,,0.065,0.07,32.242,3.47326995,,0.126,0.131,30.1693,3.406824851,,0.05,0.055,25.333,3.232107894,,0.133,0.138,31.7814,3.458881213,,0.065,0.07,32.242,3.47326995,,0.11,0.115,26.4845,3.276559656,,0.052,0.057,26.2542,3.267825976,,0.041,0.046,10.5938,2.360268924,
230,-0.005,0.077,0.082,18.8846,2.938346775,,0.123,0.128,29.4784,3.383657792,,0.064,0.069,31.7814,3.458881213,,0.124,0.129,29.7087,3.391439932,,0.049,0.054,24.8724,3.213758755,,0.131,0.136,31.3208,3.444282414,,0.064,0.069,31.7814,3.458881213,,0.109,0.114,26.2542,3.267825976,,0.051,0.056,25.7936,3.250126399,,0.041,0.046,10.5938,2.360268924,
231,-0.005,0.076,0.081,18.6543,2.926076683,,0.121,0.126,29.0178,3.367909435,,0.063,0.068,31.3208,3.444282414,,0.123,0.128,29.4784,3.383657792,,0.048,0.053,24.4118,3.195066622,,0.129,0.134,30.8602,3.429467328,,0.063,0.068,31.3208,3.444282414,,0.108,0.113,26.0239,3.259015347,,0.05,0.055,25.333,3.232107894,,0.04,0.045,10.3635,2.338290018,
