,MilliQ,F13Jun19_0.1R5,A(CDOM),a(CDOM),ln(a),Sr,F13Jun19_0.1R5_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F13Jun19_0.1R5_Dil1:2_ReRun,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F28Aug19_3.8R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_3.8R1_Dil1:4,A(CDOM),Dilution 1:4 a(CDOM),Dilution 1:4 ln(a),Sr,F28Aug19_3.8R1_Dil1:8,A(CDOM),Dilution 1:8 a(CDOM),Dilution 1:8 ln(a),Sr,F28Aug19_9R1,A(CDOM),a(CDOM),ln(a),Sr,F28Aug19_9mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr,F11Sep190.1mR1,A(CDOM),a(CDOM),ln(a),Sr,F11Sep19_0.1mR1_Dil1:2,A(CDOM),Dilution 1:2 a(CDOM),Dilution 1:2 ln(a),Sr
227,-0.005,0.082,0.087,20.0361,2.997535646,,0.068,0.073,33.6238,3.51523415,,0.07,0.075,34.545,3.542262822,,0.19,0.195,44.9085,3.804627086,,0.053,0.058,53.4296,3.9783649,,0.022,0.027,49.7448,3.906905936,,0.085,0.09,20.727,3.031437198,,0.041,0.046,21.1876,3.053416105,,0.102,0.107,24.6421,3.204456362,,0.047,0.052,23.9512,3.176018427,
228,-0.005,0.079,0.084,19.3452,2.962444327,,0.063,0.068,31.3208,3.444282414,,0.065,0.07,32.242,3.47326995,,0.175,0.18,41.454,3.724584379,,0.048,0.053,48.8236,3.888213803,,0.02,0.025,46.06,3.829944894,,0.083,0.088,20.2664,3.008964342,,0.041,0.046,21.1876,3.053416105,,0.1,0.105,24.1815,3.185587878,,0.046,0.051,23.4906,3.156600341,
229,-0.005,0.076,0.081,18.6543,2.926076683,,0.059,0.064,29.4784,3.383657792,,0.061,0.066,30.3996,3.41442945,,0.161,0.166,38.2298,3.643615316,,0.043,0.048,44.2176,3.7891229,,0.018,0.023,42.3752,3.746563285,,0.082,0.087,20.0361,2.997535646,,0.04,0.045,20.727,3.031437198,,0.098,0.103,23.7209,3.166356516,,0.045,0.05,23.03,3.136797714,
230,-0.005,0.074,0.079,18.1937,2.90107538,,0.055,0.06,27.636,3.319119271,,0.057,0.062,28.5572,3.351909093,,0.148,0.153,35.2359,3.562065449,,0.039,0.044,40.5328,3.702111523,,0.016,0.021,38.6904,3.655591507,,0.081,0.086,19.8058,2.985974824,,0.039,0.044,20.2664,3.008964342,,0.096,0.101,23.2603,3.146748045,,0.044,0.049,22.5694,3.116595007,
231,-0.005,0.072,0.077,17.7331,2.87543295,,0.052,0.057,26.2542,3.267825976,,0.053,0.058,26.7148,3.285217719,,0.137,0.142,32.7026,3.487454585,,0.036,0.041,37.7692,3.631493956,,0.014,0.019,35.0056,3.555508049,,0.08,0.085,19.5755,2.974278784,,0.039,0.044,20.2664,3.008964342,,0.094,0.099,22.7997,3.126747378,,0.043,0.048,22.1088,3.095975719,
232,-0.005,0.069,0.074,17.0422,2.835692621,,0.048,0.053,24.4118,3.195066622,,0.049,0.054,24.8724,3.213758755,,0.126,0.131,30.1693,3.406824851,,0.032,0.037,34.0844,3.528839802,,0.012,0.017,31.3208,3.444282414,,0.079,0.084,19.3452,2.962444327,,0.038,0.043,19.8058,2.985974824,,0.092,0.097,22.3391,3.106338506,,0.042,0.047,21.6482,3.07492231,
233,-0.004,0.067,0.071,16.3513,2.794307405,,0.044,0.048,22.1088,3.095975719,,0.045,0.049,22.5694,3.116595007,,0.115,0.119,27.4057,3.310751021,,0.029,0.033,30.3996,3.41442945,,0.011,0.015,27.636,3.319119271,,0.078,0.082,18.8846,2.938346775,,0.038,0.042,19.3452,2.962444327,,0.09,0.094,21.6482,3.07492231,,0.041,0.045,20.727,3.031437198,
234,-0.004,0.065,0.069,15.8907,2.765734032,,0.041,0.045,20.727,3.031437198,,0.041,0.045,20.727,3.031437198,,0.106,0.11,25.333,3.232107894,,0.026,0.03,27.636,3.319119271,,0.009,0.013,23.9512,3.176018427,,0.077,0.081,18.6543,2.926076683,,0.038,0.042,19.3452,2.962444327,,0.088,0.092,21.1876,3.053416105,,0.04,0.044,20.2664,3.008964342,
235,-0.004,0.063,0.067,15.4301,2.736320147,,0.037,0.041,18.8846,2.938346775,,0.037,0.041,18.8846,2.938346775,,0.098,0.102,23.4906,3.156600341,,0.023,0.027,24.8724,3.213758755,,0.008,0.012,22.1088,3.095975719,,0.076,0.08,18.424,2.913654163,,0.037,0.041,18.8846,2.938346775,,0.086,0.09,20.727,3.031437198,,0.039,0.043,19.8058,2.985974824,
236,-0.004,0.061,0.065,14.9695,2.706014798,,0.035,0.039,17.9634,2.888336355,,0.035,0.039,17.9634,2.888336355,,0.091,0.095,21.8785,3.085504419,,0.021,0.025,23.03,3.136797714,,0.007,0.011,20.2664,3.008964342,,0.075,0.079,18.1937,2.90107538,,0.037,0.041,18.8846,2.938346775,,0.085,0.089,20.4967,3.020263898,,0.039,0.043,19.8058,2.985974824,
