Wavelength,MilliQ,MilliQ_2,MilliQ_3,C19nov21_CCT_r1,MilliQ_4_newcuvette,C19nov21_1.5m,C19nov21_21m,C19nov21_SMB,C19nov21_9m,C19nov21_TCT,C19nov21_0.1m,C19nov21_HPB,C19nov21_6m
267,0.003,0.003,0.003,0.054,-0.001,0.041,0.039,0.039,0.039,0.019,0.042,0.047,0.043
268,0.003,0.003,0.003,0.054,-0.001,0.041,0.039,0.039,0.038,0.019,0.041,0.047,0.042
269,0.003,0.003,0.003,0.055,-0.001,0.04,0.038,0.038,0.038,0.019,0.041,0.047,0.041
270,0.003,0.003,0.003,0.055,-0.001,0.039,0.037,0.038,0.037,0.019,0.04,0.046,0.041
271,0.003,0.003,0.003,0.055,-0.001,0.039,0.037,0.037,0.037,0.019,0.04,0.046,0.04
272,0.003,0.003,0.003,0.055,-0.001,0.039,0.037,0.037,0.036,0.019,0.039,0.046,0.04
273,0.003,0.003,0.003,0.055,-0.001,0.038,0.036,0.037,0.036,0.018,0.039,0.045,0.039
274,0.003,0.003,0.003,0.055,-0.001,0.037,0.035,0.037,0.035,0.018,0.038,0.045,0.039
275,0.003,0.003,0.003,0.055,-0.001,0.037,0.035,0.036,0.034,0.018,0.038,0.044,0.038
276,0.003,0.003,0.003,0.055,-0.001,0.036,0.034,0.036,0.034,0.018,0.037,0.044,0.037
277,0.003,0.003,0.003,0.054,-0.001,0.035,0.033,0.035,0.033,0.018,0.036,0.043,0.037
278,0.003,0.003,0.003,0.054,-0.001,0.035,0.033,0.035,0.032,0.018,0.035,0.043,0.036
279,0.003,0.003,0.003,0.053,-0.002,0.034,0.032,0.034,0.032,0.017,0.035,0.042,0.035
280,0.003,0.003,0.003,0.053,-0.001,0.033,0.031,0.034,0.031,0.017,0.034,0.042,0.035
281,0.003,0.003,0.003,0.053,-0.001,0.033,0.031,0.034,0.031,0.017,0.034,0.042,0.034
282,0.003,0.003,0.003,0.052,-0.001,0.033,0.031,0.034,0.03,0.017,0.033,0.042,0.034
283,0.003,0.003,0.003,0.051,-0.001,0.032,0.03,0.033,0.03,0.017,0.032,0.041,0.033
284,0.003,0.003,0.003,0.051,-0.001,0.031,0.029,0.033,0.029,0.017,0.032,0.04,0.032
285,0.003,0.003,0.003,0.05,-0.001,0.031,0.028,0.032,0.028,0.017,0.031,0.04,0.032
286,0.003,0.003,0.003,0.049,-0.001,0.03,0.028,0.032,0.028,0.016,0.031,0.04,0.031
287,0.003,0.003,0.003,0.049,-0.001,0.03,0.028,0.032,0.028,0.016,0.03,0.039,0.031
288,0.003,0.003,0.003,0.048,-0.001,0.029,0.027,0.031,0.027,0.016,0.03,0.039,0.03
289,0.003,0.003,0.003,0.047,-0.001,0.029,0.026,0.031,0.026,0.016,0.029,0.038,0.029
290,0.003,0.003,0.003,0.046,-0.001,0.028,0.026,0.03,0.026,0.016,0.028,0.038,0.029
291,0.003,0.003,0.003,0.045,-0.001,0.028,0.025,0.03,0.025,0.015,0.028,0.037,0.028
292,0.003,0.003,0.003,0.044,-0.001,0.027,0.025,0.03,0.025,0.015,0.027,0.037,0.028
293,0.003,0.003,0.003,0.043,-0.001,0.027,0.024,0.029,0.024,0.015,0.027,0.036,0.027
294,0.003,0.002,0.002,0.042,-0.001,0.026,0.023,0.028,0.023,0.015,0.026,0.036,0.026
295,0.003,0.003,0.003,0.041,-0.001,0.026,0.023,0.028,0.023,0.015,0.026,0.036,0.026
296,0.003,0.003,0.003,0.041,-0.001,0.025,0.023,0.028,0.023,0.015,0.025,0.035,0.026
297,0.003,0.003,0.003,0.04,-0.001,0.025,0.022,0.028,0.022,0.015,0.025,0.035,0.025
298,0.003,0.003,0.003,0.039,-0.001,0.025,0.022,0.027,0.022,0.015,0.024,0.035,0.025
299,0.003,0.003,0.003,0.038,-0.001,0.024,0.021,0.027,0.021,0.014,0.024,0.034,0.024
300,0.003,0.003,0.002,0.037,-0.001,0.024,0.021,0.027,0.021,0.014,0.024,0.034,0.024
301,0.003,0.003,0.003,0.036,-0.001,0.024,0.02,0.027,0.021,0.014,0.023,0.034,0.024
302,0.003,0.002,0.002,0.035,-0.001,0.023,0.02,0.026,0.02,0.014,0.023,0.033,0.023
303,0.002,0.002,0.003,0.034,-0.001,0.023,0.02,0.026,0.02,0.014,0.022,0.033,0.023
304,0.003,0.002,0.002,0.034,-0.001,0.022,0.019,0.026,0.019,0.014,0.022,0.033,0.022
305,0.002,0.002,0.002,0.033,-0.001,0.022,0.019,0.025,0.019,0.013,0.022,0.032,0.022
306,0.002,0.002,0.002,0.032,-0.001,0.021,0.018,0.025,0.019,0.013,0.021,0.033,0.021
307,0.002,0.002,0.002,0.031,-0.001,0.02,0.018,0.025,0.018,0.012,0.021,0.032,0.021
308,0.002,0.002,0.002,0.031,-0.001,0.02,0.018,0.025,0.018,0.012,0.021,0.032,0.02
309,0.002,0.002,0.002,0.03,-0.001,0.02,0.017,0.024,0.018,0.012,0.02,0.031,0.02
310,0.002,0.002,0.002,0.029,-0.001,0.019,0.017,0.024,0.017,0.012,0.02,0.031,0.02
311,0.002,0.002,0.002,0.029,-0.001,0.019,0.017,0.024,0.017,0.012,0.02,0.031,0.019
312,0.002,0.002,0.002,0.028,-0.001,0.019,0.016,0.024,0.016,0.012,0.019,0.03,0.019
313,0.002,0.002,0.002,0.028,-0.001,0.018,0.016,0.023,0.017,0.012,0.019,0.03,0.019
314,0.002,0.002,0.002,0.027,-0.001,0.018,0.016,0.023,0.016,0.012,0.019,0.03,0.018
315,0.002,0.002,0.002,0.027,-0.001,0.018,0.016,0.023,0.016,0.011,0.019,0.03,0.018
316,0.002,0.002,0.002,0.027,-0.001,0.018,0.015,0.022,0.016,0.011,0.018,0.029,0.018
317,0.002,0.002,0.002,0.026,-0.001,0.017,0.015,0.022,0.015,0.011,0.018,0.029,0.018
318,0.002,0.002,0.002,0.026,-0.001,0.017,0.015,0.022,0.015,0.011,0.018,0.029,0.018
319,0.002,0.002,0.002,0.026,-0.001,0.017,0.014,0.022,0.015,0.011,0.017,0.028,0.017
320,0.002,0.002,0.002,0.025,-0.001,0.016,0.014,0.022,0.015,0.011,0.017,0.028,0.017
321,0.002,0.002,0.002,0.025,-0.001,0.016,0.014,0.021,0.015,0.011,0.016,0.028,0.017
322,0.002,0.002,0.002,0.025,-0.001,0.016,0.014,0.021,0.015,0.01,0.016,0.028,0.017
323,0.002,0.002,0.002,0.025,-0.001,0.016,0.014,0.021,0.014,0.011,0.016,0.028,0.017
324,0.002,0.002,0.002,0.025,-0.001,0.016,0.013,0.021,0.014,0.01,0.016,0.027,0.016
325,0.003,0.002,0.002,0.024,-0.001,0.016,0.013,0.02,0.014,0.01,0.016,0.027,0.016
326,0.002,0.002,0.002,0.024,-0.001,0.015,0.013,0.02,0.014,0.01,0.015,0.027,0.016
327,0.002,0.002,0.002,0.024,-0.001,0.015,0.013,0.02,0.013,0.01,0.015,0.026,0.015
328,0.002,0.002,0.002,0.024,-0.001,0.015,0.013,0.02,0.013,0.01,0.015,0.026,0.015
329,0.002,0.002,0.002,0.023,-0.001,0.015,0.012,0.019,0.013,0.01,0.015,0.026,0.015
330,0.002,0.002,0.002,0.023,-0.001,0.014,0.012,0.019,0.013,0.01,0.015,0.025,0.015
331,0.002,0.002,0.002,0.023,-0.001,0.014,0.012,0.019,0.013,0.01,0.015,0.025,0.015
332,0.002,0.002,0.002,0.023,-0.001,0.014,0.012,0.019,0.012,0.01,0.014,0.025,0.014
333,0.002,0.002,0.002,0.023,-0.001,0.014,0.012,0.018,0.012,0.009,0.014,0.025,0.014
334,0.002,0.002,0.002,0.023,-0.001,0.014,0.011,0.018,0.012,0.01,0.014,0.024,0.014
335,0.002,0.002,0.002,0.023,-0.001,0.014,0.011,0.018,0.012,0.01,0.014,0.024,0.014
336,0.002,0.002,0.002,0.022,-0.001,0.014,0.011,0.018,0.012,0.009,0.013,0.024,0.013
337,0.002,0.002,0.002,0.022,0,0.014,0.011,0.018,0.012,0.009,0.013,0.024,0.013
338,0.002,0.002,0.002,0.022,-0.001,0.013,0.01,0.017,0.011,0.009,0.013,0.023,0.013
339,0.003,0.002,0.002,0.022,0,0.013,0.011,0.018,0.012,0.009,0.013,0.023,0.013
340,0.004,0.004,0.004,0.023,0.001,0.015,0.012,0.019,0.013,0.011,0.014,0.025,0.014
341,0.002,0.002,0.003,0.022,-0.001,0.014,0.01,0.017,0.011,0.009,0.013,0.023,0.013
342,0.002,0.002,0.002,0.021,-0.001,0.013,0.01,0.017,0.011,0.009,0.012,0.023,0.012
343,0.002,0.002,0.002,0.021,-0.001,0.013,0.01,0.016,0.011,0.009,0.012,0.022,0.013
344,0.002,0.002,0.002,0.021,-0.001,0.012,0.009,0.016,0.01,0.009,0.012,0.022,0.012
345,0.002,0.002,0.002,0.021,-0.001,0.012,0.009,0.016,0.01,0.008,0.011,0.022,0.012
346,0.002,0.002,0.002,0.021,-0.001,0.012,0.009,0.016,0.01,0.008,0.011,0.022,0.012
347,0.002,0.002,0.002,0.02,-0.001,0.012,0.009,0.016,0.01,0.008,0.011,0.021,0.012
348,0.002,0.002,0.002,0.021,0,0.012,0.009,0.015,0.01,0.008,0.011,0.021,0.012
349,0.002,0.002,0.002,0.02,-0.001,0.012,0.009,0.015,0.01,0.008,0.011,0.021,0.012
350,0.002,0.002,0.002,0.02,-0.001,0.012,0.009,0.015,0.01,0.009,0.011,0.021,0.012
351,0.002,0.002,0.002,0.02,-0.001,0.012,0.008,0.015,0.009,0.008,0.011,0.02,0.011
352,0.002,0.002,0.002,0.02,-0.001,0.012,0.008,0.015,0.009,0.008,0.011,0.02,0.011
353,0.002,0.002,0.002,0.02,-0.001,0.011,0.008,0.015,0.009,0.008,0.01,0.02,0.011
