Wavelength,MilliQ,C23sep21_CCT_r1,C23sep21_20m_r2,C23sep21_SMB_r1,C23sep21_0.1m_r2,C23sep21_HPB_r2,C23sep21_9m_r1,C23sep21_TCT_r2
392,0.002,0.041,0.014,0.007,0.005,0.024,0.005,0.033
393,0.002,0.04,0.014,0.007,0.005,0.024,0.004,0.033
394,0.002,0.04,0.014,0.007,0.004,0.023,0.005,0.033
395,0.002,0.04,0.014,0.007,0.004,0.023,0.004,0.033
396,0.002,0.04,0.014,0.007,0.004,0.023,0.004,0.033
397,0.002,0.04,0.014,0.007,0.004,0.023,0.004,0.032
398,0.002,0.039,0.013,0.007,0.004,0.022,0.004,0.032
399,0.002,0.039,0.013,0.007,0.004,0.022,0.004,0.032
400,0.002,0.039,0.013,0.007,0.004,0.022,0.004,0.032
401,0.002,0.039,0.013,0.006,0.004,0.022,0.004,0.032
402,0.002,0.039,0.013,0.006,0.004,0.022,0.004,0.031
403,0.002,0.039,0.013,0.006,0.004,0.022,0.004,0.031
404,0.002,0.039,0.013,0.006,0.004,0.021,0.004,0.031
405,0.002,0.039,0.013,0.006,0.004,0.021,0.004,0.031
406,0.002,0.038,0.012,0.006,0.004,0.021,0.004,0.031
407,0.002,0.038,0.012,0.006,0.003,0.021,0.004,0.031
408,0.002,0.038,0.012,0.006,0.003,0.02,0.004,0.03
409,0.002,0.038,0.012,0.006,0.003,0.02,0.003,0.03
410,0.002,0.038,0.012,0.006,0.003,0.02,0.003,0.03
411,0.002,0.038,0.012,0.006,0.003,0.02,0.003,0.03
412,0.002,0.038,0.012,0.006,0.003,0.02,0.003,0.03
413,0.002,0.037,0.011,0.006,0.003,0.019,0.003,0.03
414,0.002,0.037,0.011,0.006,0.003,0.019,0.003,0.029
415,0.002,0.037,0.011,0.006,0.003,0.019,0.003,0.029
416,0.002,0.037,0.011,0.006,0.003,0.019,0.003,0.029
417,0.001,0.037,0.011,0.006,0.003,0.019,0.003,0.029
418,0.001,0.037,0.011,0.006,0.003,0.019,0.003,0.029
419,0.001,0.037,0.011,0.006,0.003,0.018,0.003,0.029
420,0.001,0.037,0.011,0.006,0.003,0.018,0.003,0.028
421,0.001,0.036,0.011,0.005,0.003,0.018,0.003,0.028
422,0.001,0.036,0.011,0.005,0.003,0.018,0.003,0.028
423,0.001,0.036,0.01,0.005,0.003,0.018,0.003,0.028
424,0.001,0.036,0.01,0.005,0.003,0.018,0.003,0.028
425,0.002,0.036,0.01,0.006,0.003,0.018,0.003,0.028
426,0.001,0.036,0.01,0.005,0.003,0.017,0.003,0.028
427,0.001,0.036,0.01,0.005,0.003,0.017,0.003,0.028
428,0.001,0.036,0.01,0.005,0.002,0.017,0.003,0.027
429,0.001,0.036,0.01,0.005,0.002,0.017,0.003,0.027
430,0.001,0.036,0.01,0.005,0.002,0.017,0.003,0.027
431,0.001,0.036,0.01,0.005,0.002,0.017,0.003,0.027
432,0.001,0.036,0.01,0.005,0.002,0.017,0.003,0.027
433,0.001,0.035,0.009,0.005,0.002,0.016,0.003,0.027
434,0.001,0.035,0.009,0.005,0.002,0.016,0.003,0.027
435,0.001,0.035,0.009,0.005,0.002,0.016,0.003,0.026
436,0.001,0.035,0.009,0.005,0.002,0.016,0.003,0.026
437,0.001,0.035,0.009,0.005,0.002,0.016,0.003,0.026
438,0.001,0.035,0.009,0.005,0.002,0.016,0.002,0.026
439,0.001,0.035,0.009,0.005,0.002,0.016,0.002,0.026
440,0.001,0.035,0.009,0.005,0.002,0.015,0.002,0.026
441,0.001,0.035,0.008,0.005,0.002,0.015,0.002,0.026
442,0.001,0.035,0.008,0.005,0.002,0.015,0.002,0.026
443,0.001,0.034,0.008,0.005,0.002,0.015,0.002,0.026
444,0.001,0.034,0.008,0.005,0.002,0.015,0.002,0.026
445,0.001,0.034,0.008,0.005,0.002,0.015,0.002,0.025
446,0.001,0.034,0.008,0.004,0.001,0.015,0.002,0.025
447,0.001,0.034,0.008,0.004,0.001,0.014,0.002,0.025
448,0.001,0.034,0.008,0.004,0.001,0.014,0.002,0.025
449,0.001,0.034,0.008,0.004,0.002,0.014,0.002,0.025
450,0.001,0.034,0.008,0.004,0.002,0.014,0.002,0.025
451,0.001,0.034,0.008,0.004,0.002,0.014,0.002,0.025
452,0.001,0.034,0.008,0.004,0.001,0.014,0.002,0.025
453,0.001,0.034,0.007,0.004,0.001,0.014,0.002,0.025
454,0.001,0.034,0.007,0.004,0.001,0.014,0.002,0.025
455,0.001,0.034,0.007,0.004,0.001,0.014,0.002,0.025
456,0.001,0.034,0.007,0.004,0.001,0.014,0.002,0.025
457,0.001,0.034,0.007,0.004,0.001,0.014,0.002,0.025
458,0.001,0.034,0.007,0.004,0.001,0.013,0.002,0.024
459,0.001,0.034,0.007,0.004,0.001,0.013,0.002,0.024
460,0.001,0.033,0.007,0.004,0.001,0.013,0.002,0.024
461,0.001,0.033,0.007,0.004,0.001,0.013,0.002,0.024
462,0.001,0.033,0.007,0.004,0.001,0.013,0.002,0.024
463,0.001,0.033,0.007,0.004,0.001,0.013,0.002,0.024
464,0.001,0.033,0.007,0.004,0.001,0.013,0.001,0.024
465,0.001,0.033,0.007,0.004,0.001,0.013,0.001,0.024
466,0.001,0.033,0.007,0.004,0.001,0.013,0.001,0.024
467,0.001,0.033,0.007,0.004,0.001,0.013,0.001,0.024
468,0.001,0.033,0.007,0.004,0.001,0.013,0.001,0.024
469,0.001,0.033,0.007,0.004,0.001,0.013,0.002,0.024
470,0.001,0.033,0.007,0.004,0.001,0.012,0.001,0.024
471,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.024
472,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.024
473,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.024
474,0.001,0.033,0.006,0.004,0.001,0.012,0.001,0.023
