Wavelength,MilliQ,C28feb22_9mr1,C28feb22_CCTr1,C28feb22_21mr2,C28feb22_SMBr2,C28feb22_1.5mr2,C28feb22_HPBr2,C28feb22_0.1mr2,C28feb22_6mr1,C28feb22_TCTr1,C28feb22_HPBr1
426,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.005
427,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.005
428,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.004
429,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.005,0.004
430,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
431,-0.001,0.002,0.007,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
432,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
433,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
434,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
435,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
436,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
437,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
438,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
439,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
440,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
441,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
442,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
443,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
444,-0.001,0.002,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
445,-0.001,0.001,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
446,-0.001,0.001,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
447,-0.001,0.001,0.006,0.002,0.002,0.002,0.005,0.004,0.002,0.004,0.004
448,-0.001,0.001,0.006,0.002,0.002,0.002,0.004,0.004,0.002,0.004,0.004
449,-0.001,0.001,0.006,0.002,0.002,0.002,0.004,0.004,0.002,0.004,0.004
450,-0.001,0.001,0.006,0.002,0.002,0.002,0.004,0.004,0.002,0.004,0.004
451,-0.001,0.001,0.006,0.002,0.002,0.002,0.004,0.004,0.002,0.004,0.004
452,-0.001,0.001,0.006,0.002,0.002,0.002,0.004,0.004,0.002,0.004,0.004
453,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
454,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
455,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
456,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
457,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
458,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
459,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
460,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
461,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
462,-0.001,0.001,0.005,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
463,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.002,0.004,0.004
464,-0.001,0.001,0.006,0.001,0.002,0.002,0.004,0.004,0.001,0.004,0.004
