Wavelength,MilliQ,C17Nov22_0_1m_r2,C14oct22_0_1m_r1,C17nov22_SMB_r2,C17nov22_21m_r1,C17nov22_1_5m_r2,C17nov22_6m_r2,C14oct22_CCS_r2,C17nov22_1_5m_r1,C17nov22_9m_r2,C17nov22_CCS_r2,C17nov22_CCT_r1,C14oct22_TCT_r2,C17nov22_TCT_r1
393,-0.003,0.004,0.002,0.001,0.01,0.004,0.005,0.004,0.006,0.004,0.015,0.003,0.001,0.005
394,-0.003,0.004,0.002,0.002,0.01,0.004,0.005,0.004,0.007,0.004,0.015,0.003,0.001,0.005
395,-0.002,0.004,0.002,0.002,0.01,0.004,0.005,0.004,0.007,0.004,0.015,0.003,0.001,0.005
396,-0.002,0.004,0.002,0.002,0.01,0.004,0.005,0.004,0.007,0.004,0.015,0.003,0.001,0.005
397,-0.002,0.004,0.002,0.001,0.01,0.004,0.004,0.004,0.006,0.004,0.015,0.003,0.001,0.005
398,-0.002,0.004,0.002,0.001,0.01,0.004,0.004,0.004,0.006,0.004,0.015,0.003,0.001,0.005
399,-0.002,0.004,0.002,0.001,0.01,0.004,0.004,0.004,0.006,0.004,0.014,0.003,0.001,0.005
400,-0.002,0.004,0.002,0.001,0.009,0.004,0.004,0.004,0.006,0.003,0.014,0.003,0.001,0.005
401,-0.002,0.004,0.002,0.001,0.009,0.004,0.004,0.004,0.006,0.004,0.014,0.003,0.001,0.005
402,-0.002,0.004,0.002,0.002,0.009,0.004,0.004,0.004,0.006,0.004,0.014,0.003,0.001,0.005
403,-0.002,0.004,0.002,0.002,0.009,0.004,0.004,0.004,0.006,0.003,0.014,0.003,0.001,0.005
404,-0.002,0.004,0.002,0.002,0.009,0.004,0.004,0.004,0.006,0.004,0.014,0.002,0.001,0.005
405,-0.002,0.004,0.002,0.001,0.009,0.004,0.004,0.004,0.006,0.003,0.014,0.002,0.001,0.004
406,-0.002,0.004,0.002,0.002,0.009,0.003,0.004,0.004,0.006,0.003,0.014,0.002,0.001,0.004
407,-0.002,0.004,0.002,0.001,0.009,0.003,0.004,0.004,0.006,0.003,0.014,0.002,0.001,0.004
408,-0.002,0.004,0.002,0.002,0.009,0.003,0.004,0.004,0.006,0.003,0.014,0.002,0.001,0.004
409,-0.002,0.003,0.002,0.001,0.008,0.003,0.004,0.004,0.006,0.003,0.014,0.002,0.001,0.004
410,-0.002,0.003,0.002,0.002,0.008,0.003,0.004,0.004,0.006,0.003,0.014,0.002,0.001,0.004
411,-0.002,0.003,0.002,0.001,0.008,0.003,0.004,0.003,0.006,0.003,0.014,0.002,0.001,0.004
412,-0.002,0.003,0.002,0.001,0.008,0.003,0.004,0.004,0.006,0.003,0.014,0.002,0.001,0.004
413,-0.002,0.003,0.002,0.002,0.008,0.003,0.004,0.004,0.006,0.003,0.014,0.002,0.001,0.004
