Wavelength nm.,MilliQ,CP2_11jul24_BOTr2,CC4_11jul24_9r2,CC3_11jul24_01r2,CC4_11jul24_6r1,CP2_11jul24_01r1,CC4_11jul24_01r1,CS1_11jul24_01r1,CC1_11jul24_01r1,CC4_11jul24_15r1,CC4_11jul24_BOTr2,CC1_11jul24_BOTr2,CC3_11jul24_15r2,CC2_11jul24_01r1,CP1_11jul24_01r2
355,-0.001,0.016,0.012,0.007,0.017,0.017,0.006,0.019,0.012,0.006,0.008,0.01,0.007,0.008,0.022
356,-0.001,0.016,0.011,0.007,0.017,0.017,0.006,0.019,0.011,0.006,0.008,0.01,0.007,0.008,0.022
357,-0.001,0.015,0.011,0.007,0.017,0.017,0.006,0.018,0.011,0.006,0.008,0.009,0.006,0.008,0.021
358,-0.001,0.015,0.011,0.007,0.016,0.016,0.006,0.018,0.011,0.005,0.007,0.009,0.006,0.008,0.021
359,-0.001,0.015,0.011,0.007,0.016,0.016,0.006,0.018,0.011,0.006,0.007,0.009,0.006,0.008,0.021
360,0,0.015,0.011,0.006,0.016,0.017,0.006,0.018,0.011,0.006,0.007,0.009,0.006,0.008,0.021
361,-0.001,0.015,0.01,0.006,0.016,0.016,0.005,0.017,0.01,0.006,0.007,0.009,0.006,0.008,0.02
362,-0.001,0.014,0.01,0.006,0.016,0.016,0.005,0.017,0.011,0.006,0.007,0.009,0.006,0.007,0.02
363,-0.001,0.014,0.01,0.006,0.015,0.016,0.005,0.017,0.01,0.005,0.006,0.008,0.006,0.007,0.019
364,-0.001,0.014,0.01,0.006,0.015,0.015,0.005,0.016,0.01,0.005,0.006,0.008,0.005,0.007,0.019
365,-0.001,0.013,0.01,0.006,0.015,0.015,0.005,0.016,0.01,0.005,0.006,0.008,0.005,0.007,0.019
366,-0.001,0.014,0.01,0.006,0.015,0.015,0.005,0.016,0.01,0.005,0.006,0.008,0.006,0.007,0.019
367,-0.001,0.013,0.01,0.006,0.015,0.015,0.005,0.016,0.01,0.005,0.006,0.008,0.005,0.007,0.018
368,-0.001,0.013,0.009,0.006,0.015,0.015,0.005,0.015,0.01,0.005,0.006,0.008,0.005,0.007,0.018
369,-0.001,0.013,0.009,0.006,0.015,0.015,0.005,0.015,0.01,0.005,0.006,0.008,0.005,0.007,0.018
370,-0.001,0.013,0.009,0.005,0.014,0.014,0.005,0.015,0.009,0.005,0.006,0.008,0.005,0.006,0.017
371,-0.001,0.012,0.009,0.005,0.014,0.014,0.005,0.015,0.009,0.005,0.006,0.007,0.005,0.006,0.017
