Wavelength,MilliQ,C9jun22_1_5m_r2,C9jun22_9m_r2,C9jun22_SMB_r1,C9jun22_0_1m_r2,C9jun22_TCT_r2,C9jun22_CCS_r2,C9jun22_CCT_r2,C9jun22_21m_r2,C9jun22_6m_r2,C9jun22_1_5m_r1
383,-0.002,0.008,0.004,0.005,0.003,0.006,0.004,0.009,0.011,0.006,0.014
384,-0.002,0.008,0.003,0.005,0.003,0.006,0.004,0.009,0.011,0.006,0.014
385,-0.002,0.008,0.003,0.005,0.003,0.006,0.004,0.009,0.011,0.006,0.014
386,-0.002,0.008,0.004,0.005,0.003,0.006,0.004,0.009,0.011,0.006,0.014
387,-0.002,0.008,0.003,0.005,0.003,0.005,0.004,0.008,0.011,0.006,0.014
388,-0.002,0.008,0.003,0.005,0.003,0.005,0.004,0.008,0.011,0.006,0.014
389,-0.002,0.008,0.003,0.005,0.003,0.005,0.004,0.008,0.011,0.006,0.014
390,-0.002,0.008,0.003,0.005,0.003,0.005,0.004,0.008,0.011,0.005,0.014
391,-0.002,0.008,0.003,0.005,0.003,0.005,0.004,0.008,0.01,0.005,0.014
392,-0.002,0.008,0.003,0.005,0.003,0.005,0.003,0.008,0.01,0.005,0.014
393,-0.002,0.007,0.003,0.005,0.002,0.005,0.003,0.008,0.01,0.005,0.014
394,-0.002,0.008,0.003,0.005,0.003,0.005,0.003,0.008,0.01,0.005,0.014
395,-0.002,0.007,0.003,0.005,0.003,0.005,0.003,0.008,0.01,0.005,0.014
396,-0.002,0.008,0.003,0.005,0.003,0.005,0.003,0.008,0.01,0.005,0.014
397,-0.002,0.007,0.003,0.005,0.002,0.005,0.003,0.008,0.01,0.005,0.013
398,-0.002,0.007,0.003,0.004,0.002,0.005,0.003,0.008,0.01,0.005,0.013
399,-0.002,0.007,0.003,0.004,0.002,0.005,0.003,0.008,0.01,0.005,0.013
400,-0.002,0.007,0.003,0.004,0.002,0.005,0.003,0.008,0.01,0.005,0.013
401,-0.002,0.007,0.003,0.004,0.002,0.005,0.003,0.008,0.01,0.005,0.013
402,-0.002,0.007,0.003,0.004,0.002,0.005,0.003,0.008,0.01,0.005,0.013
403,-0.002,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.01,0.005,0.013
404,-0.002,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.01,0.005,0.013
405,-0.002,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.01,0.004,0.013
406,-0.002,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.01,0.004,0.013
407,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.01,0.004,0.013
408,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.01,0.004,0.013
409,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.01,0.004,0.013
410,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.01,0.004,0.013
411,-0.002,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.013
412,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.013
413,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.013
414,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.013
415,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.013
416,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.013
417,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.012
418,-0.001,0.007,0.003,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.012
419,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.012
420,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.012
421,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.012
422,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.007,0.009,0.004,0.012
423,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.007,0.009,0.004,0.012
424,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.012
425,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.012
426,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.008,0.009,0.004,0.012
427,-0.001,0.007,0.002,0.004,0.002,0.004,0.003,0.007,0.009,0.004,0.012
428,-0.001,0.006,0.002,0.003,0.002,0.004,0.002,0.007,0.009,0.003,0.012
429,-0.001,0.006,0.002,0.003,0.002,0.004,0.002,0.007,0.009,0.003,0.012
430,-0.001,0.006,0.002,0.003,0.002,0.004,0.002,0.007,0.009,0.003,0.012
431,-0.001,0.006,0.002,0.004,0.002,0.004,0.002,0.007,0.009,0.003,0.012
432,-0.001,0.006,0.002,0.004,0.002,0.004,0.003,0.007,0.009,0.003,0.012
433,-0.001,0.006,0.002,0.003,0.002,0.004,0.002,0.007,0.008,0.003,0.012
434,-0.001,0.006,0.002,0.003,0.002,0.004,0.002,0.007,0.008,0.003,0.012
435,-0.001,0.006,0.002,0.003,0.002,0.004,0.002,0.007,0.008,0.003,0.012
436,-0.001,0.006,0.002,0.003,0.002,0.004,0.002,0.007,0.008,0.003,0.012
437,-0.001,0.006,0.002,0.003,0.002,0.003,0.002,0.007,0.008,0.003,0.012
438,-0.001,0.006,0.002,0.003,0.002,0.003,0.002,0.007,0.008,0.003,0.012
439,-0.001,0.006,0.002,0.003,0.002,0.003,0.002,0.007,0.008,0.003,0.012
440,-0.001,0.006,0.002,0.003,0.002,0.003,0.002,0.007,0.008,0.003,0.012
441,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
442,-0.001,0.006,0.002,0.003,0.002,0.003,0.002,0.007,0.008,0.003,0.012
443,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
444,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
445,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
446,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
447,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
448,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
449,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
450,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
451,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
452,-0.001,0.006,0.002,0.003,0.001,0.003,0.002,0.007,0.008,0.003,0.011
