Wavelength nm.,MilliQ,C50_30sep24_01R1,C50_17feb25_15R1,CP2_15aug24_01R1,C50_28oct24_01R1,CP1_17feb25_01R1,C50_28oct24_6R1,C50_30sep24_15R1,CP1_17feb25_BOTR1,C50_30sep24_9R1,C50_30sep24_6R1,C50_28oct24_15R1,CC3_17feb25_01R2,C50_30sep24_20R1,C50_17feb25_01R1
321,0,0.016,0.026,0.025,0.018,0.017,0.019,0.012,0.019,0.021,0.019,0.018,0.018,0.014,0.02
322,0,0.015,0.026,0.024,0.017,0.016,0.019,0.012,0.019,0.02,0.019,0.018,0.018,0.014,0.019
323,0,0.015,0.025,0.024,0.017,0.016,0.018,0.012,0.019,0.02,0.018,0.017,0.018,0.014,0.018
324,0,0.015,0.025,0.024,0.017,0.016,0.018,0.012,0.018,0.02,0.018,0.017,0.018,0.014,0.018
325,0,0.015,0.025,0.024,0.017,0.016,0.018,0.012,0.018,0.02,0.018,0.017,0.017,0.014,0.018
326,0,0.014,0.025,0.023,0.016,0.016,0.018,0.011,0.018,0.019,0.018,0.017,0.017,0.014,0.018
327,0,0.014,0.025,0.023,0.016,0.016,0.017,0.011,0.018,0.019,0.017,0.016,0.017,0.013,0.018
328,0,0.014,0.024,0.023,0.016,0.015,0.017,0.011,0.017,0.019,0.017,0.016,0.017,0.013,0.017
329,0,0.014,0.024,0.022,0.016,0.015,0.017,0.011,0.017,0.019,0.016,0.016,0.016,0.013,0.017
330,0,0.013,0.023,0.022,0.015,0.015,0.016,0.01,0.017,0.018,0.016,0.015,0.016,0.012,0.016
331,0,0.013,0.023,0.022,0.015,0.014,0.016,0.01,0.017,0.018,0.016,0.015,0.016,0.012,0.016
332,0,0.013,0.023,0.021,0.015,0.014,0.016,0.01,0.016,0.018,0.016,0.015,0.015,0.012,0.016
333,0,0.013,0.022,0.021,0.014,0.014,0.015,0.01,0.016,0.017,0.015,0.014,0.015,0.011,0.016
334,0,0.013,0.022,0.021,0.014,0.014,0.015,0.01,0.016,0.017,0.015,0.014,0.015,0.011,0.016
335,0,0.013,0.022,0.021,0.014,0.014,0.015,0.01,0.016,0.016,0.015,0.014,0.015,0.011,0.015
336,0,0.012,0.022,0.02,0.014,0.014,0.015,0.009,0.016,0.016,0.015,0.014,0.014,0.011,0.015
337,0,0.012,0.021,0.02,0.013,0.013,0.015,0.009,0.015,0.016,0.015,0.013,0.014,0.011,0.015
338,0,0.012,0.021,0.02,0.013,0.013,0.014,0.009,0.015,0.016,0.014,0.013,0.014,0.01,0.014
339,0,0.012,0.021,0.02,0.014,0.013,0.014,0.009,0.015,0.016,0.014,0.013,0.014,0.011,0.014
340,0.002,0.013,0.023,0.021,0.014,0.015,0.016,0.011,0.016,0.017,0.015,0.015,0.015,0.012,0.015
341,0.001,0.012,0.021,0.02,0.013,0.013,0.014,0.009,0.015,0.016,0.014,0.013,0.014,0.011,0.014
342,0,0.011,0.02,0.019,0.012,0.013,0.014,0.009,0.014,0.015,0.014,0.012,0.013,0.01,0.014
343,0,0.011,0.02,0.019,0.012,0.012,0.013,0.008,0.014,0.015,0.014,0.012,0.013,0.01,0.013
344,0,0.011,0.02,0.018,0.012,0.012,0.013,0.008,0.014,0.014,0.013,0.012,0.013,0.01,0.013
345,0,0.011,0.02,0.018,0.012,0.012,0.013,0.008,0.014,0.014,0.013,0.012,0.013,0.009,0.013
346,0,0.011,0.02,0.018,0.011,0.011,0.013,0.008,0.013,0.014,0.013,0.012,0.012,0.009,0.013
347,0,0.01,0.019,0.018,0.011,0.011,0.012,0.008,0.013,0.014,0.012,0.011,0.012,0.009,0.012
