Wavelenght,MilliQ,C14oct22_6m_r1,C14oct22_1_5m_r1,C29sep22_1_5m_r2,C14oct22_6m_r2,C29sep22_SMB_r1,C14oct22_SMB_r1,C14oct22_9m_r1,C29sep22_CCS_r2,C29sep22_0_1m_r2
395,0.002,0.007,0.008,0.006,0.008,0.007,0.012,0.035,0.007,0.006
396,0.002,0.007,0.008,0.006,0.008,0.007,0.012,0.034,0.007,0.006
397,0.002,0.007,0.008,0.006,0.008,0.007,0.011,0.034,0.007,0.006
398,0.002,0.006,0.007,0.006,0.008,0.007,0.011,0.034,0.007,0.006
399,0.002,0.006,0.008,0.006,0.008,0.007,0.011,0.034,0.007,0.006
400,0.002,0.006,0.007,0.005,0.008,0.007,0.011,0.034,0.007,0.005
401,0.002,0.006,0.007,0.005,0.008,0.007,0.011,0.034,0.006,0.005
402,0.002,0.006,0.007,0.005,0.008,0.007,0.011,0.034,0.007,0.006
403,0.002,0.006,0.007,0.005,0.008,0.007,0.011,0.034,0.007,0.006
404,0.002,0.006,0.007,0.005,0.008,0.007,0.011,0.033,0.006,0.005
405,0.002,0.006,0.007,0.005,0.008,0.006,0.011,0.033,0.006,0.005
406,0.002,0.006,0.007,0.005,0.008,0.006,0.011,0.033,0.006,0.005
407,0.002,0.006,0.007,0.005,0.008,0.006,0.01,0.033,0.006,0.005
408,0.002,0.006,0.007,0.005,0.008,0.006,0.01,0.033,0.006,0.005
409,0.001,0.006,0.007,0.005,0.008,0.006,0.01,0.033,0.006,0.005
410,0.001,0.005,0.007,0.005,0.008,0.006,0.01,0.033,0.006,0.005
411,0.002,0.005,0.007,0.005,0.007,0.006,0.01,0.033,0.006,0.005
412,0.001,0.005,0.007,0.005,0.007,0.006,0.01,0.033,0.006,0.005
413,0.001,0.005,0.007,0.005,0.007,0.006,0.01,0.033,0.006,0.005
414,0.001,0.005,0.006,0.005,0.007,0.006,0.01,0.032,0.006,0.005
415,0.001,0.005,0.006,0.004,0.007,0.006,0.01,0.032,0.006,0.005
416,0.001,0.005,0.006,0.004,0.007,0.006,0.01,0.032,0.006,0.005
417,0.001,0.005,0.006,0.004,0.007,0.006,0.01,0.032,0.006,0.004
418,0.001,0.005,0.006,0.004,0.007,0.006,0.009,0.032,0.006,0.004
419,0.001,0.005,0.006,0.004,0.007,0.006,0.009,0.032,0.006,0.004
420,0.001,0.005,0.006,0.004,0.007,0.006,0.009,0.032,0.006,0.004
421,0.001,0.005,0.006,0.004,0.007,0.006,0.009,0.032,0.006,0.004
422,0.001,0.005,0.006,0.004,0.007,0.006,0.009,0.032,0.006,0.004
423,0.001,0.005,0.006,0.004,0.007,0.006,0.009,0.032,0.006,0.004
424,0.001,0.005,0.006,0.004,0.007,0.006,0.009,0.031,0.006,0.004
425,0.001,0.005,0.006,0.004,0.007,0.005,0.009,0.031,0.006,0.004
426,0.001,0.005,0.006,0.004,0.006,0.005,0.009,0.031,0.005,0.004
427,0.001,0.005,0.006,0.004,0.007,0.005,0.009,0.031,0.006,0.004
428,0.001,0.005,0.006,0.004,0.006,0.005,0.009,0.031,0.005,0.004
429,0.001,0.004,0.005,0.004,0.006,0.005,0.009,0.031,0.005,0.004
430,0.001,0.004,0.005,0.003,0.006,0.005,0.009,0.031,0.005,0.004
431,0.001,0.004,0.005,0.003,0.006,0.005,0.009,0.031,0.005,0.004
432,0.001,0.004,0.005,0.004,0.006,0.005,0.008,0.031,0.005,0.004
433,0.001,0.004,0.005,0.004,0.006,0.005,0.008,0.031,0.005,0.004
434,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
435,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
436,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
437,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
438,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
439,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
440,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
441,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
442,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
443,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
444,0.001,0.004,0.005,0.003,0.006,0.005,0.008,0.03,0.005,0.003
445,0.001,0.004,0.005,0.003,0.005,0.004,0.008,0.03,0.005,0.003
446,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
447,0.001,0.004,0.005,0.003,0.005,0.004,0.008,0.029,0.005,0.003
448,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
449,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
450,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
451,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
452,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
453,0.001,0.004,0.004,0.003,0.005,0.004,0.007,0.029,0.005,0.003
454,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
455,0.001,0.003,0.004,0.003,0.005,0.004,0.007,0.029,0.005,0.003
456,0.001,0.004,0.005,0.003,0.005,0.004,0.007,0.029,0.005,0.003
