wavelenght,MilliQ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
395,0.002,0.009,0.006,0.008,0.006,0.006,0.01,0.013,0.007,0.009,0.009,0.013
396,0.003,0.009,0.006,0.008,0.006,0.006,0.009,0.013,0.007,0.009,0.009,0.013
397,0.002,0.009,0.006,0.008,0.006,0.006,0.009,0.013,0.007,0.009,0.009,0.013
398,0.002,0.009,0.006,0.007,0.005,0.006,0.009,0.013,0.007,0.008,0.009,0.013
399,0.002,0.008,0.005,0.007,0.005,0.006,0.009,0.013,0.007,0.008,0.009,0.013
400,0.002,0.008,0.005,0.007,0.005,0.006,0.009,0.013,0.007,0.008,0.009,0.013
401,0.002,0.008,0.005,0.007,0.005,0.006,0.009,0.012,0.007,0.008,0.009,0.012
402,0.002,0.008,0.005,0.007,0.005,0.006,0.009,0.012,0.007,0.008,0.009,0.012
403,0.002,0.008,0.005,0.007,0.005,0.006,0.009,0.012,0.007,0.008,0.009,0.012
404,0.002,0.008,0.005,0.007,0.005,0.005,0.009,0.012,0.007,0.008,0.008,0.012
405,0.002,0.008,0.005,0.007,0.005,0.005,0.008,0.012,0.007,0.008,0.008,0.012
406,0.002,0.008,0.005,0.007,0.005,0.005,0.008,0.012,0.006,0.008,0.008,0.012
407,0.002,0.008,0.005,0.007,0.005,0.005,0.008,0.012,0.006,0.008,0.008,0.011
408,0.002,0.008,0.005,0.007,0.005,0.005,0.008,0.012,0.006,0.008,0.008,0.011
409,0.002,0.008,0.005,0.006,0.005,0.005,0.008,0.011,0.006,0.007,0.008,0.011
410,0.002,0.007,0.005,0.006,0.005,0.005,0.008,0.011,0.006,0.007,0.008,0.011
411,0.002,0.007,0.005,0.006,0.005,0.005,0.008,0.011,0.006,0.007,0.008,0.011
412,0.002,0.007,0.004,0.006,0.005,0.005,0.008,0.011,0.006,0.007,0.008,0.011
413,0.002,0.007,0.004,0.006,0.004,0.005,0.008,0.011,0.006,0.007,0.007,0.011
414,0.002,0.007,0.004,0.006,0.005,0.005,0.008,0.011,0.006,0.007,0.007,0.01
415,0.002,0.007,0.004,0.006,0.005,0.005,0.008,0.011,0.006,0.007,0.007,0.01
416,0.002,0.007,0.004,0.006,0.004,0.005,0.007,0.011,0.006,0.007,0.007,0.01
417,0.002,0.007,0.004,0.006,0.004,0.004,0.007,0.01,0.005,0.007,0.007,0.01
418,0.002,0.007,0.004,0.006,0.004,0.004,0.007,0.01,0.005,0.007,0.007,0.01
419,0.002,0.007,0.004,0.005,0.004,0.004,0.007,0.01,0.005,0.007,0.007,0.01
420,0.002,0.007,0.004,0.005,0.004,0.004,0.007,0.01,0.005,0.007,0.007,0.01
421,0.002,0.007,0.004,0.005,0.004,0.004,0.007,0.01,0.005,0.006,0.007,0.009
422,0.001,0.006,0.004,0.005,0.004,0.004,0.007,0.01,0.005,0.006,0.006,0.009
423,0.001,0.006,0.004,0.005,0.004,0.004,0.007,0.01,0.005,0.006,0.006,0.009
424,0.001,0.006,0.004,0.005,0.004,0.004,0.007,0.01,0.005,0.006,0.006,0.009
425,0.001,0.006,0.003,0.005,0.004,0.004,0.007,0.009,0.005,0.006,0.006,0.009
426,0.001,0.006,0.003,0.005,0.004,0.004,0.006,0.009,0.005,0.006,0.006,0.009
427,0.001,0.006,0.003,0.005,0.004,0.004,0.006,0.009,0.005,0.006,0.006,0.009
428,0.001,0.006,0.003,0.005,0.004,0.004,0.006,0.009,0.005,0.006,0.006,0.009
429,0.001,0.006,0.003,0.005,0.004,0.004,0.006,0.009,0.004,0.006,0.006,0.008
430,0.001,0.006,0.003,0.005,0.004,0.004,0.006,0.009,0.005,0.006,0.006,0.008
431,0.001,0.006,0.003,0.005,0.004,0.004,0.006,0.009,0.004,0.006,0.006,0.008
432,0.001,0.006,0.003,0.005,0.004,0.003,0.006,0.009,0.004,0.006,0.006,0.008
433,0.001,0.006,0.003,0.004,0.004,0.003,0.006,0.009,0.004,0.006,0.006,0.008
434,0.001,0.006,0.003,0.004,0.004,0.003,0.006,0.009,0.004,0.006,0.006,0.008
435,0.001,0.006,0.003,0.004,0.004,0.003,0.006,0.009,0.004,0.006,0.006,0.008
436,0.001,0.006,0.003,0.004,0.004,0.003,0.006,0.009,0.004,0.006,0.006,0.008
437,0.001,0.005,0.003,0.004,0.003,0.003,0.006,0.008,0.004,0.006,0.005,0.008
438,0.001,0.005,0.003,0.004,0.003,0.003,0.006,0.008,0.004,0.006,0.005,0.008
439,0.001,0.005,0.003,0.004,0.003,0.003,0.006,0.008,0.004,0.005,0.005,0.007
440,0.001,0.005,0.003,0.004,0.004,0.003,0.006,0.008,0.004,0.005,0.005,0.007
441,0.001,0.005,0.003,0.004,0.004,0.003,0.006,0.008,0.004,0.006,0.005,0.007
442,0.001,0.005,0.003,0.004,0.003,0.003,0.006,0.008,0.004,0.005,0.005,0.007
443,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.004,0.005,0.005,0.007
444,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.004,0.005,0.005,0.007
445,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.004,0.005,0.005,0.007
446,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.004,0.005,0.005,0.007
447,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.004,0.005,0.005,0.007
448,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.004,0.005,0.005,0.007
449,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.004,0.005,0.005,0.007
450,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.003,0.005,0.005,0.007
451,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.003,0.005,0.005,0.007
452,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.008,0.003,0.005,0.005,0.007
453,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.007,0.003,0.005,0.005,0.006
454,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.007,0.003,0.005,0.005,0.006
455,0.001,0.005,0.003,0.004,0.003,0.003,0.005,0.007,0.003,0.005,0.005,0.006
456,0.001,0.005,0.002,0.004,0.003,0.003,0.005,0.007,0.003,0.005,0.004,0.006
457,0.001,0.005,0.002,0.003,0.003,0.003,0.005,0.007,0.003,0.005,0.004,0.006
458,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
459,0.001,0.004,0.003,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
460,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
461,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
462,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
463,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
464,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
465,0.001,0.004,0.002,0.003,0.003,0.002,0.005,0.007,0.003,0.005,0.004,0.006
