Wavelength nm.,MilliQ,CS1_15aug24_01r1,CC3_15aug24_15r2,CC4_15aug24_6r2,CC4_15aug24_01r2,CP2_15aug24_01r2,CC3_15aug24_BOTr1,CC2_15aug24_BOTr1,CC4_15aug24_6r1,CS2_15aug24_01r1,CC4_15aug24_15r1,CC3_15aug24_01r2,CC2_15aug24_01r2,CS1_15aug24_01r2
286,0.001,0.053,0.029,0.029,0.024,0.047,0.032,0.027,0.035,0.044,0.026,0.029,0.026,0.046
287,0.001,0.053,0.028,0.028,0.023,0.046,0.031,0.026,0.034,0.044,0.026,0.028,0.025,0.045
288,0.001,0.052,0.027,0.028,0.022,0.045,0.03,0.025,0.033,0.043,0.025,0.027,0.024,0.045
289,0.001,0.051,0.027,0.027,0.022,0.044,0.03,0.025,0.032,0.043,0.024,0.027,0.024,0.044
290,0.001,0.05,0.026,0.026,0.021,0.043,0.029,0.024,0.031,0.042,0.024,0.026,0.023,0.043
291,0.001,0.05,0.025,0.026,0.021,0.043,0.028,0.023,0.03,0.041,0.023,0.025,0.022,0.043
292,0.001,0.049,0.024,0.025,0.02,0.042,0.028,0.023,0.03,0.041,0.023,0.024,0.022,0.042
293,0.001,0.049,0.024,0.024,0.019,0.041,0.027,0.022,0.029,0.04,0.022,0.024,0.021,0.041
294,0.001,0.048,0.023,0.024,0.019,0.041,0.027,0.022,0.028,0.039,0.021,0.023,0.021,0.041
295,0.001,0.047,0.023,0.023,0.018,0.04,0.026,0.021,0.027,0.039,0.021,0.022,0.02,0.04
296,0.001,0.046,0.022,0.023,0.018,0.039,0.026,0.021,0.026,0.038,0.02,0.022,0.02,0.04
297,0.001,0.046,0.022,0.022,0.018,0.039,0.025,0.02,0.026,0.038,0.02,0.021,0.019,0.039
298,0.001,0.045,0.021,0.022,0.017,0.038,0.025,0.02,0.025,0.037,0.019,0.021,0.019,0.039
299,0.001,0.044,0.02,0.021,0.017,0.037,0.024,0.019,0.024,0.037,0.019,0.02,0.018,0.038
300,0.001,0.044,0.02,0.021,0.016,0.037,0.024,0.019,0.024,0.036,0.018,0.02,0.018,0.038
301,0.001,0.044,0.02,0.02,0.016,0.036,0.023,0.018,0.023,0.036,0.018,0.019,0.018,0.037
302,0.001,0.043,0.019,0.02,0.015,0.036,0.023,0.018,0.023,0.035,0.018,0.019,0.017,0.036
303,0.001,0.042,0.019,0.019,0.015,0.035,0.022,0.017,0.022,0.035,0.017,0.018,0.017,0.036
304,0.001,0.041,0.018,0.019,0.015,0.034,0.022,0.017,0.021,0.034,0.016,0.017,0.016,0.035
305,0.001,0.041,0.018,0.018,0.014,0.034,0.022,0.017,0.021,0.034,0.016,0.017,0.016,0.035
306,0.001,0.04,0.017,0.018,0.014,0.033,0.021,0.016,0.02,0.033,0.016,0.017,0.015,0.034
307,0.001,0.04,0.017,0.018,0.013,0.033,0.021,0.016,0.02,0.033,0.015,0.016,0.015,0.034
308,0.001,0.039,0.017,0.018,0.013,0.033,0.021,0.016,0.019,0.032,0.015,0.016,0.015,0.033
309,0.001,0.039,0.017,0.017,0.013,0.032,0.02,0.015,0.019,0.032,0.015,0.016,0.015,0.033
310,0.001,0.038,0.016,0.016,0.012,0.031,0.02,0.015,0.018,0.031,0.014,0.015,0.014,0.032
311,0.001,0.037,0.016,0.016,0.012,0.031,0.02,0.015,0.018,0.031,0.014,0.015,0.014,0.032
312,0.001,0.037,0.016,0.016,0.012,0.031,0.019,0.014,0.018,0.03,0.014,0.015,0.014,0.031
313,0.001,0.036,0.015,0.016,0.012,0.03,0.019,0.014,0.017,0.03,0.013,0.014,0.014,0.031
314,0.001,0.036,0.015,0.015,0.012,0.03,0.019,0.014,0.017,0.03,0.013,0.014,0.013,0.031
315,0.001,0.035,0.015,0.015,0.011,0.03,0.018,0.014,0.017,0.029,0.013,0.013,0.013,0.03
316,0.001,0.035,0.014,0.015,0.011,0.029,0.018,0.013,0.016,0.029,0.013,0.013,0.013,0.03
317,0.001,0.035,0.014,0.015,0.011,0.029,0.018,0.013,0.016,0.028,0.012,0.013,0.012,0.029
318,0.001,0.034,0.014,0.014,0.011,0.029,0.018,0.013,0.016,0.028,0.012,0.012,0.012,0.029
319,0.001,0.034,0.014,0.014,0.01,0.028,0.018,0.013,0.015,0.027,0.012,0.012,0.012,0.028
320,0.001,0.033,0.013,0.014,0.01,0.028,0.017,0.012,0.015,0.027,0.012,0.012,0.012,0.028
321,0.001,0.033,0.013,0.014,0.01,0.027,0.017,0.012,0.015,0.027,0.011,0.012,0.012,0.027
322,0.001,0.032,0.013,0.013,0.01,0.027,0.017,0.012,0.014,0.026,0.011,0.012,0.011,0.027
323,0.001,0.032,0.013,0.013,0.01,0.027,0.016,0.012,0.014,0.026,0.011,0.011,0.011,0.027
324,0.001,0.032,0.013,0.013,0.01,0.026,0.016,0.012,0.014,0.026,0.011,0.011,0.011,0.026
325,0.001,0.031,0.013,0.013,0.01,0.026,0.016,0.012,0.014,0.025,0.011,0.011,0.011,0.026
326,0.001,0.031,0.012,0.012,0.009,0.026,0.016,0.011,0.013,0.025,0.011,0.011,0.011,0.025
327,0.001,0.031,0.012,0.012,0.009,0.026,0.016,0.011,0.013,0.024,0.01,0.011,0.01,0.025
328,0.001,0.03,0.012,0.012,0.009,0.025,0.016,0.011,0.013,0.024,0.01,0.01,0.01,0.025
329,0.001,0.03,0.012,0.012,0.009,0.025,0.015,0.011,0.013,0.024,0.01,0.01,0.01,0.025
330,0.001,0.029,0.011,0.012,0.009,0.025,0.015,0.011,0.012,0.024,0.01,0.01,0.01,0.024
331,0.001,0.029,0.011,0.011,0.008,0.024,0.015,0.01,0.012,0.023,0.01,0.01,0.01,0.024
332,0.001,0.029,0.011,0.011,0.008,0.024,0.015,0.01,0.012,0.023,0.01,0.01,0.01,0.023
333,0.001,0.028,0.011,0.011,0.008,0.024,0.014,0.01,0.012,0.023,0.009,0.01,0.01,0.023
334,0.001,0.028,0.011,0.011,0.008,0.024,0.014,0.01,0.012,0.022,0.009,0.009,0.009,0.023
335,0.001,0.028,0.01,0.011,0.008,0.023,0.014,0.01,0.012,0.022,0.009,0.009,0.009,0.022
336,0.001,0.027,0.011,0.01,0.008,0.023,0.014,0.01,0.011,0.022,0.009,0.009,0.009,0.022
337,0.001,0.027,0.01,0.011,0.007,0.023,0.014,0.009,0.011,0.021,0.009,0.009,0.009,0.022
338,0.001,0.026,0.01,0.01,0.007,0.022,0.014,0.009,0.011,0.021,0.009,0.009,0.009,0.022
