Wavelength nm.,MilliQ,CP2_16apr25_BOTR1,CP1_16apr25_01R2,CP1_16apr25_01R1,CC3_16apr25_01R1,CS1_16apr25_01R1,CC3_16apr25_BOTR1,CP2_16apr25_01R1,CS2_16apr25_01R1,CC4_16apr25_6R2,CC3_16apr25_15R1,CC4_16apr25_BOTR2,CC2_16apr25_01R1
285,0,0.04,0.031,0.032,0.038,0.028,0.042,0.039,0.027,0.037,0.039,0.036,0.036
286,0,0.039,0.031,0.031,0.037,0.028,0.041,0.039,0.027,0.036,0.038,0.035,0.035
287,0,0.038,0.031,0.031,0.036,0.028,0.04,0.038,0.027,0.035,0.037,0.034,0.034
288,0,0.037,0.03,0.031,0.036,0.027,0.04,0.037,0.026,0.034,0.036,0.034,0.034
289,0,0.037,0.03,0.03,0.035,0.027,0.039,0.036,0.026,0.034,0.036,0.033,0.033
290,0,0.036,0.029,0.03,0.034,0.027,0.038,0.035,0.025,0.033,0.035,0.032,0.033
291,0,0.035,0.029,0.029,0.034,0.026,0.037,0.035,0.025,0.032,0.034,0.032,0.032
292,0,0.035,0.028,0.029,0.033,0.026,0.037,0.034,0.025,0.032,0.033,0.031,0.031
293,0,0.034,0.028,0.028,0.032,0.025,0.036,0.033,0.024,0.031,0.032,0.03,0.03
294,0,0.033,0.028,0.028,0.031,0.025,0.035,0.033,0.024,0.03,0.032,0.03,0.03
295,0,0.033,0.027,0.027,0.031,0.025,0.034,0.032,0.023,0.029,0.031,0.029,0.029
296,0,0.032,0.027,0.027,0.03,0.024,0.033,0.031,0.023,0.029,0.03,0.029,0.028
297,0,0.032,0.027,0.027,0.029,0.024,0.033,0.03,0.023,0.028,0.03,0.028,0.028
298,0,0.031,0.026,0.026,0.028,0.024,0.032,0.03,0.023,0.028,0.029,0.027,0.027
299,0,0.031,0.026,0.026,0.028,0.023,0.032,0.029,0.022,0.027,0.029,0.027,0.026
300,0,0.03,0.025,0.025,0.027,0.023,0.031,0.029,0.022,0.027,0.028,0.026,0.026
301,0,0.03,0.025,0.025,0.027,0.023,0.03,0.028,0.021,0.026,0.028,0.026,0.025
302,0,0.029,0.025,0.025,0.026,0.022,0.03,0.028,0.021,0.026,0.027,0.025,0.025
303,0,0.028,0.024,0.025,0.026,0.022,0.029,0.027,0.021,0.025,0.026,0.025,0.024
304,0,0.028,0.024,0.024,0.025,0.022,0.029,0.026,0.02,0.024,0.026,0.024,0.024
305,0,0.028,0.024,0.024,0.025,0.021,0.028,0.026,0.02,0.024,0.025,0.024,0.023
306,0,0.027,0.024,0.023,0.024,0.021,0.028,0.025,0.02,0.023,0.025,0.023,0.023
307,0,0.026,0.023,0.023,0.023,0.021,0.027,0.024,0.02,0.023,0.024,0.022,0.022
308,0,0.026,0.023,0.023,0.023,0.02,0.026,0.024,0.019,0.022,0.024,0.022,0.022
309,0,0.025,0.022,0.023,0.022,0.02,0.026,0.024,0.019,0.022,0.023,0.022,0.021
310,0,0.025,0.022,0.022,0.022,0.02,0.025,0.023,0.019,0.022,0.023,0.021,0.021
311,0,0.025,0.022,0.022,0.022,0.02,0.025,0.023,0.018,0.021,0.022,0.021,0.02
312,0.001,0.025,0.022,0.022,0.021,0.019,0.025,0.022,0.018,0.021,0.022,0.021,0.02
313,0,0.024,0.021,0.021,0.021,0.019,0.024,0.022,0.018,0.02,0.021,0.02,0.02
314,0,0.024,0.021,0.021,0.02,0.019,0.024,0.021,0.018,0.02,0.021,0.02,0.019
315,0,0.023,0.021,0.021,0.02,0.018,0.023,0.021,0.017,0.019,0.021,0.02,0.019
316,0,0.023,0.02,0.02,0.019,0.018,0.023,0.02,0.017,0.019,0.02,0.019,0.019
317,0,0.023,0.02,0.02,0.019,0.018,0.022,0.02,0.017,0.019,0.02,0.019,0.018
