Wavelength,MilliQ,C19aug22_6m_r1,C19aug22_20m_r2,C19aug22_1_5m_r1,C29sep22_21m_r1,C19aug22_9m_r1,C19aug22_CCS_r2,C29sep22_9m_r2,C19aug22_0_1m_r2,C19aug22_SMB_r1,C29sep22_6m_r2
314,-0.005,0.01,0.026,0.009,0.016,0.012,0.014,0.008,0.009,0.015,0.008
315,-0.005,0.009,0.025,0.009,0.015,0.011,0.013,0.008,0.008,0.014,0.008
316,-0.005,0.009,0.025,0.008,0.015,0.011,0.013,0.008,0.008,0.014,0.007
317,-0.005,0.009,0.025,0.008,0.015,0.011,0.013,0.008,0.008,0.014,0.007
318,-0.005,0.009,0.024,0.008,0.015,0.011,0.013,0.007,0.008,0.014,0.007
319,-0.005,0.008,0.024,0.008,0.014,0.011,0.012,0.007,0.008,0.013,0.007
320,-0.005,0.008,0.024,0.008,0.014,0.01,0.012,0.007,0.008,0.013,0.007
321,-0.005,0.008,0.023,0.007,0.014,0.01,0.012,0.007,0.008,0.013,0.006
322,-0.005,0.008,0.023,0.007,0.014,0.01,0.012,0.007,0.007,0.013,0.006
323,-0.005,0.008,0.023,0.007,0.013,0.01,0.011,0.007,0.007,0.013,0.006
324,-0.005,0.008,0.023,0.007,0.013,0.01,0.012,0.006,0.007,0.013,0.006
325,-0.005,0.008,0.022,0.007,0.013,0.01,0.011,0.007,0.007,0.013,0.006
326,-0.005,0.008,0.022,0.006,0.013,0.009,0.011,0.006,0.007,0.013,0.006
327,-0.005,0.007,0.022,0.006,0.013,0.009,0.011,0.006,0.007,0.012,0.006
328,-0.005,0.007,0.022,0.006,0.012,0.009,0.011,0.006,0.007,0.012,0.005
329,-0.005,0.007,0.021,0.006,0.012,0.009,0.011,0.006,0.006,0.012,0.005
330,-0.005,0.007,0.021,0.006,0.012,0.009,0.01,0.005,0.006,0.012,0.005
331,-0.005,0.007,0.021,0.006,0.012,0.009,0.011,0.005,0.006,0.012,0.005
332,-0.005,0.006,0.021,0.006,0.012,0.008,0.01,0.005,0.006,0.012,0.005
333,-0.004,0.006,0.02,0.005,0.012,0.008,0.01,0.005,0.006,0.011,0.004
334,-0.004,0.006,0.02,0.006,0.011,0.008,0.01,0.005,0.006,0.012,0.005
335,-0.004,0.006,0.02,0.005,0.012,0.008,0.01,0.005,0.005,0.011,0.004
336,-0.004,0.006,0.02,0.005,0.011,0.008,0.01,0.005,0.005,0.011,0.004
337,-0.004,0.006,0.019,0.005,0.011,0.007,0.009,0.004,0.005,0.011,0.004
338,-0.004,0.006,0.019,0.005,0.011,0.008,0.009,0.004,0.005,0.011,0.004
