Wavelength nm.,MilliQ,C50_17dec24_15R1,CC4_17dec24_BOTR1,CC3_17dec24_BOTR1,CC3_17dec24_15R1,CP2_17dec24_01R1,CS1_17dec24_01R2,CS2_17dec24_01R1,CS1_17dec24_01R1,CC2_17dec24_01R1,CC4_17dec24_01R1,CC4_17dec24_6R1,CS1_17feb25_01R1
334,0.001,0.013,0.012,0.016,0.016,0.033,0.031,0.031,0.029,0.031,0.013,0.012,0.013
335,0.001,0.013,0.012,0.016,0.016,0.033,0.03,0.03,0.028,0.031,0.013,0.011,0.013
336,0.001,0.012,0.012,0.016,0.016,0.032,0.03,0.03,0.028,0.03,0.013,0.011,0.012
337,0.001,0.012,0.012,0.016,0.016,0.031,0.029,0.029,0.027,0.029,0.013,0.011,0.013
338,0.001,0.012,0.011,0.016,0.016,0.031,0.029,0.029,0.027,0.029,0.012,0.011,0.013
339,0.001,0.012,0.012,0.015,0.015,0.031,0.029,0.029,0.027,0.029,0.013,0.011,0.013
340,0.002,0.013,0.012,0.016,0.016,0.031,0.029,0.029,0.027,0.029,0.013,0.012,0.013
341,0.001,0.012,0.011,0.015,0.015,0.029,0.028,0.028,0.026,0.028,0.012,0.011,0.012
342,0.001,0.012,0.01,0.015,0.014,0.029,0.027,0.027,0.025,0.027,0.012,0.01,0.012
343,0,0.011,0.01,0.014,0.014,0.028,0.027,0.027,0.025,0.027,0.011,0.01,0.012
344,0.001,0.011,0.01,0.014,0.014,0.028,0.027,0.026,0.025,0.027,0.011,0.01,0.011
345,0.001,0.011,0.01,0.014,0.014,0.028,0.026,0.026,0.024,0.026,0.011,0.01,0.011
346,0.001,0.011,0.01,0.014,0.013,0.027,0.026,0.025,0.024,0.026,0.011,0.009,0.011
347,0.001,0.011,0.01,0.014,0.014,0.027,0.026,0.025,0.024,0.026,0.011,0.009,0.011
348,0.001,0.01,0.009,0.014,0.013,0.027,0.025,0.025,0.023,0.025,0.011,0.009,0.011
349,0,0.01,0.009,0.013,0.013,0.026,0.024,0.024,0.023,0.025,0.01,0.009,0.01
