Wavelength nm.,MilliQ,CC5_22may24_9r2,CC4_19jun24_01r1,CC5_22may24_01r1,CC2_19jun24_01r2,CC3_11jul24_15r1,CC4_19jun24_BOTr2,CC5_22may24_13r1,CC5_22may24_6r2,CC5_22may24_15r2,CS2_11jul24_01r2,CC4_19jun24_9r2,CC3_11jul24_BOTr1,CC2_11jul24_BOTr1,CC4_19jun24_6r1
335,0,0.015,0.011,0.013,0.012,0.01,0.012,0.012,0.013,0.012,0.021,0.014,0.011,0.017,0.013
336,0,0.015,0.011,0.013,0.011,0.01,0.012,0.012,0.013,0.011,0.021,0.014,0.01,0.017,0.012
337,0,0.015,0.01,0.012,0.011,0.009,0.012,0.012,0.013,0.011,0.02,0.014,0.01,0.017,0.012
338,0,0.014,0.01,0.013,0.011,0.009,0.012,0.012,0.012,0.011,0.02,0.013,0.01,0.016,0.012
339,0,0.015,0.01,0.013,0.011,0.01,0.012,0.012,0.013,0.011,0.02,0.014,0.01,0.016,0.012
340,0.001,0.015,0.011,0.013,0.012,0.01,0.012,0.013,0.013,0.012,0.021,0.014,0.011,0.017,0.013
341,0,0.014,0.01,0.012,0.01,0.009,0.011,0.011,0.012,0.011,0.019,0.013,0.01,0.016,0.012
342,0,0.013,0.01,0.012,0.01,0.009,0.011,0.011,0.012,0.01,0.019,0.013,0.009,0.016,0.011
343,0,0.013,0.01,0.011,0.01,0.009,0.011,0.011,0.011,0.01,0.019,0.013,0.009,0.015,0.011
344,0,0.013,0.01,0.011,0.01,0.008,0.011,0.011,0.011,0.01,0.019,0.013,0.009,0.016,0.011
345,0,0.013,0.009,0.011,0.01,0.008,0.01,0.01,0.011,0.01,0.018,0.012,0.009,0.015,0.01
346,0,0.012,0.009,0.011,0.009,0.008,0.01,0.01,0.01,0.009,0.018,0.012,0.009,0.015,0.01
347,0,0.013,0.009,0.011,0.01,0.008,0.01,0.01,0.011,0.009,0.018,0.012,0.009,0.015,0.01
348,0,0.012,0.009,0.01,0.009,0.008,0.01,0.01,0.01,0.009,0.017,0.012,0.008,0.015,0.01
349,0,0.012,0.008,0.01,0.009,0.008,0.009,0.01,0.01,0.009,0.017,0.012,0.008,0.015,0.01
350,0,0.012,0.009,0.01,0.009,0.008,0.009,0.01,0.01,0.009,0.017,0.012,0.008,0.015,0.01
351,0,0.012,0.008,0.01,0.009,0.008,0.01,0.009,0.01,0.009,0.017,0.011,0.008,0.014,0.009
352,0,0.012,0.008,0.01,0.009,0.007,0.009,0.01,0.009,0.009,0.017,0.011,0.008,0.014,0.01
353,0,0.011,0.008,0.01,0.009,0.007,0.009,0.009,0.009,0.009,0.016,0.011,0.008,0.015,0.009
354,0,0.011,0.008,0.009,0.009,0.007,0.009,0.009,0.009,0.008,0.016,0.011,0.008,0.014,0.009
355,0,0.011,0.008,0.009,0.009,0.007,0.009,0.009,0.009,0.008,0.016,0.011,0.008,0.014,0.009
356,0,0.01,0.008,0.009,0.008,0.007,0.009,0.009,0.009,0.008,0.015,0.01,0.007,0.014,0.009
357,0,0.01,0.007,0.009,0.008,0.007,0.008,0.008,0.009,0.008,0.015,0.01,0.007,0.014,0.008
358,0,0.01,0.007,0.009,0.008,0.006,0.008,0.008,0.008,0.008,0.015,0.01,0.007,0.013,0.008
359,0,0.01,0.008,0.009,0.008,0.007,0.008,0.008,0.008,0.008,0.015,0.01,0.007,0.014,0.008
360,0,0.01,0.007,0.009,0.008,0.006,0.008,0.008,0.008,0.008,0.014,0.01,0.007,0.013,0.008
361,-0.001,0.01,0.007,0.009,0.008,0.006,0.008,0.008,0.008,0.007,0.014,0.01,0.007,0.013,0.008
362,0,0.01,0.007,0.009,0.008,0.006,0.008,0.008,0.008,0.007,0.014,0.01,0.007,0.013,0.008
363,0,0.01,0.007,0.008,0.007,0.006,0.008,0.008,0.008,0.007,0.014,0.009,0.007,0.013,0.008
364,0,0.009,0.007,0.008,0.007,0.006,0.008,0.007,0.008,0.007,0.014,0.009,0.006,0.013,0.008
365,0,0.009,0.007,0.008,0.007,0.006,0.007,0.007,0.008,0.007,0.013,0.009,0.006,0.013,0.007
366,0,0.009,0.007,0.008,0.007,0.006,0.007,0.007,0.007,0.007,0.013,0.009,0.006,0.012,0.007
367,0,0.009,0.007,0.008,0.007,0.006,0.007,0.007,0.007,0.007,0.013,0.009,0.006,0.012,0.007
368,0,0.009,0.006,0.008,0.007,0.005,0.007,0.007,0.007,0.007,0.013,0.009,0.006,0.012,0.007
369,0,0.009,0.006,0.007,0.007,0.005,0.007,0.007,0.007,0.006,0.012,0.008,0.006,0.012,0.007
370,0,0.008,0.006,0.007,0.006,0.005,0.007,0.006,0.007,0.006,0.012,0.008,0.006,0.012,0.006
371,0,0.008,0.006,0.007,0.006,0.005,0.007,0.006,0.007,0.006,0.012,0.008,0.005,0.012,0.006
372,0,0.008,0.006,0.007,0.006,0.005,0.006,0.006,0.007,0.006,0.012,0.008,0.005,0.012,0.006
373,0,0.008,0.006,0.007,0.006,0.005,0.006,0.006,0.006,0.006,0.012,0.008,0.006,0.012,0.006
374,0,0.008,0.006,0.007,0.006,0.005,0.006,0.006,0.006,0.006,0.012,0.008,0.005,0.012,0.006
375,0,0.008,0.006,0.007,0.006,0.005,0.006,0.006,0.006,0.006,0.011,0.008,0.005,0.012,0.006
376,0,0.008,0.006,0.007,0.006,0.005,0.006,0.006,0.006,0.006,0.011,0.008,0.005,0.012,0.006
377,0,0.008,0.006,0.007,0.006,0.005,0.006,0.006,0.006,0.006,0.011,0.008,0.005,0.012,0.006
378,0,0.008,0.006,0.006,0.006,0.005,0.006,0.006,0.006,0.006,0.011,0.007,0.005,0.011,0.006
379,0,0.008,0.005,0.007,0.006,0.005,0.006,0.006,0.006,0.006,0.011,0.007,0.005,0.011,0.006
380,0,0.007,0.005,0.006,0.006,0.004,0.006,0.005,0.006,0.005,0.011,0.007,0.005,0.011,0.005
381,0,0.007,0.005,0.006,0.006,0.005,0.006,0.005,0.006,0.005,0.01,0.007,0.005,0.011,0.005
382,0,0.007,0.005,0.006,0.006,0.005,0.006,0.005,0.006,0.005,0.01,0.007,0.005,0.011,0.005
383,0,0.007,0.005,0.006,0.005,0.004,0.005,0.005,0.005,0.005,0.01,0.007,0.005,0.011,0.005
384,0,0.007,0.005,0.006,0.006,0.004,0.005,0.005,0.005,0.005,0.01,0.007,0.005,0.011,0.005
385,0,0.007,0.005,0.006,0.005,0.004,0.005,0.005,0.005,0.005,0.01,0.007,0.004,0.011,0.005
386,0,0.007,0.005,0.006,0.005,0.004,0.005,0.005,0.005,0.005,0.01,0.007,0.005,0.011,0.005
387,0,0.006,0.005,0.005,0.005,0.004,0.005,0.005,0.005,0.005,0.009,0.006,0.004,0.011,0.005
388,0,0.007,0.005,0.006,0.005,0.004,0.005,0.005,0.005,0.005,0.009,0.006,0.004,0.011,0.005
389,0,0.006,0.005,0.005,0.005,0.004,0.005,0.005,0.005,0.005,0.009,0.006,0.004,0.01,0.005
390,0,0.006,0.005,0.005,0.005,0.004,0.005,0.005,0.005,0.004,0.009,0.006,0.004,0.01,0.004
391,0,0.006,0.005,0.005,0.005,0.004,0.005,0.004,0.005,0.004,0.009,0.006,0.004,0.01,0.004
392,0,0.006,0.005,0.005,0.005,0.004,0.005,0.004,0.005,0.004,0.009,0.006,0.004,0.01,0.004
393,0,0.006,0.004,0.005,0.005,0.004,0.004,0.004,0.005,0.004,0.009,0.006,0.004,0.01,0.004
394,0,0.006,0.005,0.005,0.005,0.004,0.005,0.004,0.004,0.004,0.008,0.006,0.004,0.01,0.004
395,0,0.006,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.008,0.006,0.004,0.01,0.004
396,0,0.006,0.004,0.005,0.005,0.003,0.004,0.004,0.004,0.004,0.008,0.006,0.004,0.01,0.004
397,0,0.006,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.008,0.006,0.004,0.01,0.004
398,0,0.006,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.008,0.006,0.004,0.01,0.004
399,0,0.006,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.008,0.006,0.004,0.01,0.004
400,0,0.005,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.008,0.005,0.003,0.01,0.004
401,0,0.005,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.008,0.005,0.003,0.01,0.004
402,0,0.005,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.007,0.005,0.003,0.01,0.004
403,0,0.005,0.004,0.005,0.004,0.003,0.004,0.004,0.004,0.004,0.007,0.005,0.003,0.009,0.003
404,0,0.005,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.007,0.005,0.003,0.009,0.003
405,0,0.005,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.007,0.005,0.003,0.009,0.003
406,0,0.005,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.004,0.007,0.005,0.003,0.009,0.003
407,0,0.005,0.004,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.007,0.005,0.003,0.009,0.003
