Wavelength nm.,MilliQ,CC2_16apr25_BOTR1,C50_16apr25_9R1,C50_16apr25_15R1,CC4_16apr25_15R1,CC4_16apr25_01R1,C50_16apr25_01R1,CC2_16apr25_BOTR2,CC4_16apr25_9R1,CC4_16apr25_6R1,CC4_16apr25_BOTR1
413,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
414,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
415,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
416,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
417,0,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003
418,0,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003
419,0,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.003
420,0,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.003
421,0,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002
422,0,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002
423,0,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.003,0.002
424,0,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002
425,0,0.003,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002
426,0,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002
427,0,0.002,0.003,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002
428,0,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002
429,0,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002
430,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
431,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
432,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
433,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
434,0,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002
435,0,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002
436,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
437,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
438,0,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002
439,0,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002
440,0,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.002,0.002
441,0,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001
442,0,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001
443,0,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001
444,0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
445,0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
446,0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
447,0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
448,0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
449,0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
450,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
451,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
452,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
453,0,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
454,0,0.001,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001
