Wavelength nm.,MilliQ,C50_11jul24_6R2,C50_11jul24_20R2,C50_15aug24_15R2,C50_11jul24_01R1,C50_16sep24_6R2,C50_16sep24_01R1,C50_11jul24_15R1,C50_16sep24_15R1,C50_15aug24_6R2,C50_16sep24_9R1,C50_15aug24_01R2,C50_15aug24_20R2,C50_16sep24_20R1,C50_11jul24_9R1,C50_15aug24_9R2
267,0.001,0.046,0.054,0.037,0.042,0.035,0.039,0.038,0.035,0.039,0.032,0.034,0.056,0.06,0.041,0.04
268,0.001,0.046,0.053,0.036,0.041,0.034,0.039,0.038,0.034,0.039,0.032,0.033,0.056,0.059,0.04,0.039
269,0.001,0.045,0.052,0.036,0.041,0.033,0.038,0.037,0.034,0.038,0.031,0.033,0.055,0.058,0.039,0.038
270,0.001,0.044,0.052,0.035,0.04,0.033,0.038,0.037,0.034,0.038,0.031,0.033,0.054,0.057,0.039,0.038
271,0.001,0.044,0.051,0.035,0.04,0.032,0.037,0.036,0.033,0.037,0.03,0.032,0.053,0.056,0.038,0.037
272,0.001,0.043,0.05,0.034,0.039,0.032,0.036,0.035,0.032,0.037,0.03,0.031,0.053,0.055,0.038,0.037
273,0.001,0.042,0.05,0.034,0.038,0.031,0.036,0.034,0.032,0.036,0.029,0.031,0.052,0.054,0.037,0.036
274,0.001,0.042,0.049,0.033,0.038,0.031,0.035,0.034,0.031,0.035,0.029,0.03,0.051,0.053,0.037,0.035
275,0.001,0.041,0.048,0.032,0.037,0.03,0.034,0.033,0.03,0.034,0.028,0.029,0.05,0.052,0.036,0.035
276,0.001,0.04,0.047,0.031,0.036,0.029,0.034,0.032,0.03,0.034,0.028,0.028,0.049,0.052,0.035,0.034
277,0.001,0.04,0.047,0.031,0.036,0.029,0.033,0.032,0.029,0.033,0.027,0.028,0.049,0.051,0.035,0.034
278,0.001,0.039,0.046,0.03,0.035,0.028,0.032,0.031,0.028,0.032,0.027,0.027,0.048,0.05,0.034,0.033
279,0.001,0.038,0.045,0.03,0.034,0.027,0.032,0.03,0.027,0.032,0.026,0.027,0.047,0.049,0.033,0.032
280,0.001,0.037,0.044,0.029,0.033,0.027,0.031,0.03,0.027,0.031,0.026,0.026,0.046,0.048,0.033,0.031
281,0.001,0.037,0.044,0.028,0.033,0.026,0.03,0.029,0.026,0.03,0.025,0.025,0.045,0.047,0.032,0.031
282,0.001,0.036,0.043,0.027,0.032,0.025,0.03,0.028,0.026,0.03,0.025,0.024,0.044,0.046,0.031,0.03
283,0.001,0.035,0.042,0.027,0.031,0.025,0.029,0.028,0.025,0.029,0.024,0.024,0.043,0.045,0.031,0.03
284,0.001,0.035,0.041,0.026,0.03,0.024,0.028,0.027,0.024,0.028,0.023,0.023,0.042,0.044,0.03,0.029
285,0.001,0.034,0.041,0.025,0.03,0.023,0.027,0.026,0.024,0.027,0.023,0.023,0.042,0.043,0.03,0.029
286,0.001,0.033,0.04,0.025,0.029,0.023,0.027,0.025,0.023,0.027,0.023,0.022,0.041,0.042,0.029,0.028
287,0.001,0.032,0.039,0.024,0.028,0.022,0.026,0.025,0.023,0.026,0.022,0.021,0.04,0.042,0.028,0.027
288,0.001,0.032,0.039,0.023,0.028,0.022,0.025,0.024,0.022,0.025,0.022,0.021,0.039,0.041,0.028,0.027
289,0.001,0.031,0.038,0.023,0.027,0.021,0.025,0.023,0.021,0.025,0.021,0.02,0.038,0.04,0.027,0.026
