Wavelength nm.,MilliQ,CC4_17dec24_9R2,CC3_17dec24_01R1,C50_17dec24_6R1,C50_17dec24_01R1,CC4_17dec24_9R1,CC2_17feb25_BOTR1,CP2_17feb25_BOTR1,CC4_17feb25_BOTR2,CS2_17feb25_01R1
387,0,0.005,0.01,0.005,0.006,0.005,0.007,0.01,0.007,0.006
388,0,0.005,0.01,0.004,0.005,0.005,0.007,0.01,0.007,0.006
389,0,0.005,0.01,0.004,0.005,0.005,0.007,0.01,0.007,0.006
390,0,0.004,0.009,0.004,0.005,0.005,0.007,0.01,0.007,0.006
391,0,0.004,0.009,0.004,0.005,0.005,0.006,0.01,0.007,0.005
392,0,0.004,0.009,0.004,0.005,0.005,0.006,0.009,0.007,0.005
393,0,0.004,0.009,0.004,0.005,0.005,0.006,0.009,0.007,0.005
394,0,0.004,0.009,0.004,0.005,0.005,0.006,0.009,0.007,0.005
395,0,0.004,0.009,0.004,0.005,0.005,0.006,0.009,0.007,0.005
396,0,0.004,0.009,0.004,0.005,0.005,0.006,0.009,0.007,0.005
397,0,0.004,0.009,0.004,0.005,0.004,0.006,0.009,0.006,0.005
398,0,0.004,0.008,0.004,0.004,0.004,0.006,0.009,0.006,0.005
399,0,0.004,0.009,0.004,0.005,0.004,0.005,0.009,0.006,0.005
400,0,0.004,0.008,0.003,0.004,0.004,0.005,0.009,0.006,0.005
401,0,0.004,0.008,0.003,0.004,0.004,0.005,0.009,0.006,0.005
402,0,0.004,0.008,0.003,0.004,0.004,0.005,0.009,0.006,0.005
403,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.006,0.005
404,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.006,0.005
405,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.006,0.004
406,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.006,0.004
407,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.006,0.004
408,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.006,0.004
409,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.005,0.004
410,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.005,0.004
411,0,0.003,0.008,0.003,0.004,0.004,0.005,0.008,0.005,0.004
412,0,0.003,0.007,0.003,0.004,0.004,0.005,0.008,0.005,0.004
413,0,0.003,0.007,0.003,0.004,0.003,0.004,0.008,0.005,0.004
414,0,0.003,0.007,0.003,0.004,0.004,0.004,0.008,0.005,0.004
415,0,0.003,0.007,0.003,0.004,0.003,0.004,0.008,0.005,0.004
416,0,0.003,0.007,0.003,0.004,0.004,0.004,0.008,0.005,0.004
417,0,0.003,0.007,0.003,0.004,0.004,0.004,0.007,0.005,0.004
418,0,0.003,0.007,0.003,0.004,0.003,0.004,0.007,0.005,0.004
419,0,0.003,0.007,0.003,0.004,0.003,0.004,0.007,0.005,0.004
420,0,0.003,0.007,0.003,0.004,0.003,0.004,0.007,0.005,0.004
421,0,0.003,0.007,0.002,0.004,0.003,0.004,0.007,0.005,0.004
422,0,0.002,0.007,0.002,0.004,0.003,0.004,0.007,0.005,0.004
423,0,0.003,0.007,0.002,0.003,0.003,0.004,0.007,0.005,0.004
424,0,0.002,0.007,0.002,0.003,0.003,0.004,0.007,0.005,0.004
425,0,0.002,0.007,0.002,0.003,0.003,0.004,0.007,0.005,0.004
426,0,0.002,0.007,0.002,0.003,0.003,0.004,0.007,0.004,0.003
427,0,0.002,0.007,0.002,0.003,0.003,0.004,0.007,0.004,0.004
428,0,0.002,0.007,0.002,0.003,0.003,0.004,0.007,0.004,0.003
429,0,0.002,0.007,0.002,0.003,0.003,0.004,0.007,0.004,0.003
430,0,0.002,0.007,0.002,0.003,0.003,0.004,0.007,0.004,0.003
431,0,0.002,0.007,0.002,0.003,0.003,0.003,0.007,0.004,0.003
432,0,0.002,0.006,0.002,0.003,0.003,0.003,0.006,0.004,0.003
433,0,0.002,0.006,0.002,0.003,0.003,0.003,0.006,0.004,0.003
434,0,0.002,0.006,0.002,0.003,0.003,0.003,0.006,0.004,0.003
435,0,0.002,0.006,0.002,0.003,0.003,0.003,0.006,0.004,0.003
436,0,0.002,0.006,0.002,0.003,0.002,0.003,0.006,0.004,0.003
437,0,0.002,0.006,0.002,0.003,0.002,0.003,0.006,0.004,0.003
438,0,0.002,0.006,0.002,0.003,0.002,0.003,0.006,0.004,0.003
439,0,0.002,0.006,0.002,0.003,0.003,0.003,0.006,0.004,0.003
440,0,0.002,0.006,0.002,0.003,0.002,0.003,0.006,0.004,0.003
441,0,0.002,0.006,0.002,0.003,0.002,0.003,0.006,0.004,0.003
