Wavelength,MilliQ,C50_1jun23_9m_r1,C100_1jun23_0_1m_r1,C50_1jun23_6m_r1,C300cove_1jun23_bot_r1,C300_1jun23_0_1m_r2,C300pool_1jun23_0_1m_r2,C300cove_1jun23_surf_r1,C50_1jun23_20m_r2,C50_1jun23_6m_r2
487,-0.001,0.001,0.005,0.002,0.002,0.004,0.002,0.001,0.002,0.001
488,-0.001,0.001,0.005,0.002,0.002,0.004,0.002,0.001,0.002,0.001
489,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0,0.002,0.001
490,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
491,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
492,-0.001,0.001,0.005,0.002,0.002,0.003,0.002,0.001,0.002,0.001
493,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
494,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
495,-0.001,0.001,0.005,0.002,0.002,0.004,0.002,0.001,0.002,0.001
496,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
497,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
498,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
499,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
500,-0.001,0.001,0.005,0.002,0.002,0.003,0.001,0.001,0.002,0.001
