Wavelenght,MilliQ,C100cove_1jun23_surf_r2,C50_1jun23_1_5m_r1,C50_1jun23_0_1m_r2,C301_4may23_0_1m_r1,C301cove_4may23_PD_r1,C50_4may23_0_1m_r1,C50_1jun23_0_1m_r1,C50_4may23_9m_r2,C100_1jun23_bot_r2,C301cove_4may23_0_1m_r2
302,-0.004,0.018,0.032,0.019,0.012,0.031,0.025,0.02,0.023,0.02,0.028
303,-0.004,0.017,0.03,0.018,0.012,0.031,0.024,0.02,0.022,0.019,0.027
304,-0.004,0.017,0.028,0.018,0.011,0.03,0.024,0.019,0.022,0.019,0.026
305,-0.004,0.017,0.027,0.017,0.011,0.03,0.023,0.019,0.022,0.018,0.026
306,-0.004,0.016,0.025,0.017,0.011,0.029,0.023,0.018,0.021,0.018,0.025
307,-0.004,0.016,0.024,0.016,0.011,0.028,0.022,0.017,0.021,0.017,0.025
308,-0.004,0.015,0.022,0.016,0.011,0.028,0.022,0.017,0.02,0.017,0.024
309,-0.004,0.015,0.021,0.015,0.01,0.028,0.021,0.016,0.02,0.016,0.024
310,-0.003,0.015,0.02,0.015,0.011,0.027,0.021,0.016,0.02,0.016,0.024
311,-0.003,0.015,0.019,0.015,0.011,0.027,0.02,0.016,0.02,0.016,0.023
312,-0.003,0.014,0.018,0.014,0.01,0.027,0.02,0.015,0.019,0.015,0.022
313,-0.003,0.014,0.017,0.014,0.01,0.026,0.02,0.015,0.019,0.015,0.022
314,-0.003,0.014,0.016,0.014,0.01,0.026,0.019,0.014,0.019,0.014,0.022
315,-0.003,0.013,0.016,0.013,0.01,0.026,0.019,0.014,0.018,0.014,0.021
316,-0.003,0.013,0.015,0.013,0.009,0.025,0.018,0.013,0.018,0.014,0.021
317,-0.003,0.013,0.015,0.013,0.009,0.025,0.018,0.013,0.018,0.013,0.02
318,-0.003,0.012,0.014,0.012,0.009,0.025,0.017,0.013,0.017,0.013,0.02
319,-0.003,0.012,0.014,0.012,0.009,0.025,0.017,0.012,0.017,0.013,0.02
320,-0.003,0.012,0.013,0.012,0.009,0.024,0.017,0.012,0.017,0.012,0.019
321,-0.003,0.012,0.013,0.012,0.009,0.024,0.017,0.012,0.016,0.012,0.019
322,-0.003,0.011,0.013,0.011,0.009,0.024,0.016,0.012,0.016,0.012,0.019
323,-0.003,0.011,0.012,0.011,0.008,0.024,0.016,0.011,0.016,0.012,0.018
324,-0.003,0.011,0.012,0.011,0.009,0.023,0.016,0.011,0.016,0.012,0.018
325,-0.003,0.011,0.011,0.011,0.008,0.023,0.015,0.011,0.015,0.011,0.018
326,-0.003,0.01,0.011,0.01,0.008,0.023,0.015,0.01,0.015,0.011,0.017
327,-0.003,0.01,0.011,0.01,0.008,0.023,0.015,0.01,0.015,0.011,0.017
328,-0.003,0.01,0.011,0.01,0.008,0.022,0.015,0.01,0.014,0.01,0.017
329,-0.003,0.01,0.011,0.01,0.008,0.022,0.014,0.01,0.014,0.01,0.016
330,-0.003,0.009,0.01,0.01,0.008,0.022,0.014,0.01,0.014,0.01,0.016
331,-0.003,0.009,0.01,0.009,0.007,0.021,0.014,0.009,0.014,0.009,0.016
