Wavelength nm.,MilliQ,CC3_1aug24_01_midnight,CC3_1aug24_BOT_6am,CC3_1aug24_01_6am,CC4_11jul24_9r1,CC3_1aug24_BOT_midnight,CC4_15aug24_BOTr2,CC3_19jun24_01r1,CS2_19jun24_01r2,CC4_15aug24_9r2,CC2_22may24_BOTr2,CC3_31jul24_01_noon,CC3_31jul24_BOT_noon,CP1_15aug24_01r1
428,0,0.003,0.003,0.001,0.005,0.008,0.005,0.004,0.004,0.004,0.004,0.001,0.009,0.009
429,0,0.003,0.003,0.001,0.004,0.008,0.005,0.004,0.004,0.003,0.003,0.001,0.009,0.008
430,0,0.003,0.003,0.001,0.004,0.008,0.005,0.004,0.004,0.003,0.003,0.001,0.009,0.008
431,0,0.003,0.003,0.001,0.004,0.008,0.005,0.004,0.004,0.003,0.003,0.001,0.009,0.008
432,0,0.003,0.003,0.001,0.004,0.008,0.004,0.004,0.004,0.003,0.003,0.001,0.009,0.008
433,0,0.003,0.003,0.001,0.004,0.008,0.004,0.004,0.004,0.003,0.003,0.001,0.009,0.008
434,0,0.003,0.003,0.001,0.004,0.008,0.004,0.004,0.004,0.003,0.003,0.001,0.009,0.008
435,0,0.003,0.003,0.001,0.004,0.008,0.004,0.004,0.004,0.003,0.003,0.001,0.009,0.008
436,0,0.003,0.003,0.001,0.004,0.008,0.004,0.004,0.003,0.003,0.003,0.001,0.009,0.008
437,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.009,0.008
438,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.009,0.008
439,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.009,0.008
440,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.009,0.007
441,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
442,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
443,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
444,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
445,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
446,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
447,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
448,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
449,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
450,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.007
451,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.006
452,0,0.003,0.003,0.001,0.004,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.006
453,0,0.003,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.002,0.003,0.001,0.008,0.006
454,0,0.003,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.006
455,0,0.003,0.003,0.001,0.003,0.007,0.004,0.003,0.003,0.003,0.003,0.001,0.008,0.006
456,0,0.003,0.003,0.001,0.003,0.007,0.004,0.003,0.003,0.003,0.002,0.001,0.008,0.006
457,0,0.003,0.003,0.001,0.003,0.007,0.004,0.003,0.003,0.003,0.002,0.001,0.008,0.006
458,0,0.003,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.003,0.002,0.001,0.008,0.006
459,0,0.003,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.003,0.002,0.001,0.008,0.006
460,0,0.002,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.003,0.002,0.001,0.008,0.006
461,0,0.003,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.002,0.002,0.001,0.008,0.006
462,0,0.003,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.002,0.002,0.001,0.008,0.006
463,0,0.003,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.002,0.002,0.001,0.008,0.006
464,0,0.002,0.002,0.001,0.003,0.007,0.003,0.003,0.003,0.002,0.002,0.001,0.008,0.005
465,0,0.003,0.002,0.001,0.003,0.007,0.003,0.003,0.003,0.002,0.002,0.001,0.008,0.005
466,0,0.003,0.002,0.001,0.003,0.007,0.003,0.003,0.003,0.002,0.002,0.001,0.008,0.005
467,0,0.002,0.002,0.001,0.003,0.007,0.004,0.003,0.003,0.002,0.002,0.001,0.008,0.005
468,0,0.002,0.002,0.001,0.003,0.007,0.003,0.003,0.003,0.002,0.002,0.001,0.008,0.005
469,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.003,0.002,0.002,0.001,0.008,0.005
470,0,0.002,0.002,0.001,0.003,0.007,0.003,0.003,0.003,0.002,0.002,0.001,0.007,0.005
471,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.003,0.002,0.002,0.001,0.008,0.005
472,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.003,0.002,0.002,0.001,0.007,0.005
473,0,0.002,0.002,0.001,0.003,0.007,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
474,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
475,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
476,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
477,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
478,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
479,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
480,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
481,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
482,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0.001,0.007,0.005
483,0,0.002,0.002,0.001,0.003,0.006,0.003,0.003,0.002,0.002,0.002,0,0.007,0.005
484,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
485,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0.001,0.007,0.004
486,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0.001,0.007,0.004
487,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
488,0,0.002,0.002,0,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
489,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
490,0,0.002,0.002,0,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
491,0,0.002,0.002,0,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
492,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0.001,0.007,0.004
493,0,0.002,0.002,0,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
494,0,0.002,0.002,0,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
495,0,0.002,0.002,0,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
496,0,0.002,0.002,0,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
497,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
498,0,0.002,0.002,0,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0.001,0.007,0.004
499,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
500,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
501,0,0.002,0.002,0.001,0.003,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
502,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
503,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
504,0,0.002,0.002,0.001,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
505,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
506,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
507,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.001,0,0.007,0.004
508,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
509,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.004
510,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.001,0,0.007,0.003
511,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.001,0,0.007,0.004
512,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.001,0,0.007,0.004
513,0,0.002,0.002,0,0.002,0.006,0.003,0.002,0.002,0.002,0.002,0,0.007,0.003
514,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.007,0.003
515,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.007,0.003
516,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.006,0.003
517,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.006,0.003
518,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.006,0.003
519,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.006,0.003
520,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.006,0.003
521,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.001,0.001,0,0.006,0.003
522,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
523,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
524,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
525,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
526,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.006,0.003
527,0,0.002,0.002,0,0.002,0.005,0.003,0.002,0.002,0.001,0.001,0,0.006,0.003
528,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
529,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
530,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
531,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
532,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
533,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
534,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
535,0,0.002,0.002,0.001,0.002,0.005,0.003,0.002,0.002,0.002,0.001,0,0.006,0.003
536,0.001,0.003,0.003,0.001,0.003,0.006,0.003,0.003,0.003,0.002,0.002,0.001,0.007,0.004
537,0,0.002,0.002,0.001,0.002,0.005,0.003,0.002,0.002,0.001,0.001,0,0.006,0.003
538,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
539,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
540,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
541,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
542,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
543,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
544,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
545,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.002,0.001,0.001,0,0.006,0.003
546,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
547,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
548,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
549,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
550,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
551,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
552,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
553,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
554,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
555,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
556,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
557,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
558,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
559,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
560,0,0.001,0.001,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
561,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
562,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
563,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
564,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
565,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
566,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.003
567,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
568,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
569,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
570,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
571,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
572,0,0.001,0.001,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
573,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
574,0,0.002,0.001,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
575,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
576,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
577,0,0.002,0.002,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
578,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
579,0,0.002,0.002,0,0.002,0.005,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
580,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
581,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
582,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
583,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
584,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
585,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
586,0,0.002,0.002,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
587,0,0.002,0.002,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.006,0.002
588,0,0.002,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
589,0,0.002,0.002,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
590,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
591,0,0.001,0.001,0,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
592,0,0.001,0.001,0,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
593,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
594,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
595,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
596,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
597,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
598,0,0.001,0.001,0,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
599,0,0.001,0.001,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
600,0,0.001,0.002,0,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
601,0,0.001,0.001,0,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
602,0,0.001,0.001,0,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
603,0,0.001,0.001,0,0.001,0.004,0.002,0.002,0.001,0.001,0.001,0,0.005,0.002
604,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
605,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
606,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
607,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
608,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
609,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
610,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
611,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
612,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
613,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
614,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
615,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
616,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
617,0,0.001,0.001,0,0.002,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
618,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
619,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
620,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
621,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
622,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
623,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
624,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
625,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
626,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
627,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
628,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
629,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
630,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
631,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
632,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
633,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
634,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
635,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
636,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
637,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
638,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
639,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
640,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
641,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
642,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
643,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
644,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
645,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
646,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
647,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
648,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
649,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
650,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
651,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
652,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
653,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
654,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
655,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
656,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
657,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
658,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
659,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
660,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.001
661,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
662,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
663,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
664,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
665,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
666,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
667,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
668,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
669,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.001
670,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
671,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
672,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
673,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
674,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
675,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
676,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
677,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
678,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
679,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
680,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
681,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
682,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.001
683,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.001
684,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
685,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
686,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.002
687,0,0.001,0.001,0,0.001,0.004,0.002,0.001,0.001,0.001,0.001,0,0.005,0.001
