Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
397.00	-0.000	0.005	0.005	0.005	0.005	0.008	0.006	0.005
398.00	-0.000	0.005	0.005	0.004	0.004	0.008	0.006	0.005
399.00	-0.000	0.005	0.005	0.004	0.004	0.008	0.006	0.005
400.00	-0.000	0.005	0.005	0.004	0.004	0.008	0.005	0.005
401.00	-0.000	0.004	0.005	0.004	0.004	0.008	0.005	0.005
402.00	-0.000	0.004	0.005	0.004	0.004	0.008	0.005	0.005
403.00	-0.000	0.004	0.005	0.004	0.004	0.008	0.005	0.005
404.00	-0.000	0.004	0.005	0.004	0.004	0.008	0.005	0.005
405.00	0.000	0.004	0.005	0.004	0.004	0.008	0.005	0.005
406.00	-0.000	0.004	0.004	0.004	0.004	0.008	0.005	0.005
407.00	-0.000	0.004	0.004	0.004	0.004	0.008	0.005	0.005
408.00	0.000	0.004	0.004	0.004	0.004	0.008	0.005	0.005
409.00	0.000	0.004	0.004	0.004	0.004	0.007	0.005	0.005
410.00	0.000	0.004	0.004	0.004	0.004	0.007	0.005	0.004
411.00	0.000	0.004	0.004	0.004	0.004	0.007	0.005	0.004
412.00	0.000	0.004	0.004	0.003	0.004	0.007	0.005	0.004
413.00	0.000	0.004	0.004	0.003	0.003	0.007	0.005	0.004
414.00	0.000	0.004	0.004	0.004	0.003	0.007	0.005	0.004
415.00	0.000	0.004	0.004	0.003	0.003	0.007	0.004	0.004
416.00	0.000	0.004	0.004	0.003	0.003	0.007	0.004	0.004
417.00	0.000	0.003	0.004	0.003	0.003	0.007	0.004	0.004
418.00	0.000	0.003	0.004	0.003	0.003	0.007	0.004	0.004
419.00	0.000	0.003	0.004	0.003	0.003	0.007	0.004	0.004
420.00	0.000	0.003	0.003	0.003	0.003	0.007	0.004	0.004
421.00	0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.004
422.00	0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.004
423.00	0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.004
424.00	0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.004
425.00	0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.004
426.00	0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.004
427.00	0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.003
428.00	0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.003
429.00	-0.000	0.003	0.003	0.003	0.003	0.006	0.004	0.003
430.00	-0.000	0.003	0.003	0.003	0.003	0.006	0.003	0.003
431.00	-0.000	0.003	0.003	0.002	0.002	0.006	0.003	0.003
432.00	0.000	0.003	0.003	0.002	0.003	0.006	0.003	0.003
433.00	-0.000	0.003	0.003	0.002	0.002	0.006	0.003	0.003
434.00	-0.000	0.002	0.003	0.002	0.002	0.005	0.003	0.003
435.00	-0.000	0.002	0.003	0.002	0.002	0.005	0.003	0.003
436.00	-0.000	0.002	0.003	0.002	0.002	0.005	0.003	0.003
437.00	-0.000	0.002	0.003	0.002	0.002	0.005	0.003	0.003
438.00	-0.000	0.002	0.003	0.002	0.002	0.005	0.003	0.003
439.00	-0.000	0.002	0.003	0.002	0.002	0.005	0.003	0.003
440.00	-0.000	0.002	0.003	0.002	0.002	0.005	0.003	0.003
441.00	-0.000	0.002	0.003	0.002	0.002	0.005	0.003	0.003
442.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.003	0.003
443.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.003	0.003
444.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.003	0.003
445.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.003	0.003
446.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.002	0.003
447.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.003	0.003
448.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.002	0.002
449.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.002	0.002
450.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.002	0.002
451.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.002	0.002
452.00	-0.000	0.002	0.002	0.002	0.002	0.005	0.002	0.002
453.00	-0.000	0.002	0.002	0.002	0.002	0.004	0.002	0.002
454.00	0.000	0.002	0.002	0.002	0.002	0.004	0.002	0.002
455.00	-0.000	0.002	0.002	0.002	0.002	0.004	0.002	0.002
456.00	0.000	0.002	0.002	0.002	0.002	0.004	0.002	0.002
457.00	-0.000	0.002	0.002	0.002	0.002	0.004	0.002	0.002
458.00	-0.000	0.002	0.002	0.002	0.002	0.004	0.002	0.002
459.00	0.000	0.002	0.002	0.002	0.002	0.004	0.002	0.002
460.00	-0.000	0.002	0.002	0.002	0.001	0.004	0.002	0.002
461.00	-0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
462.00	0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
463.00	0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
464.00	0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
465.00	-0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
466.00	-0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
467.00	-0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
468.00	0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
469.00	0.000	0.002	0.002	0.001	0.001	0.004	0.002	0.002
470.00	-0.000	0.001	0.002	0.001	0.001	0.004	0.002	0.002
471.00	-0.000	0.001	0.002	0.001	0.001	0.004	0.002	0.002
472.00	-0.000	0.001	0.002	0.001	0.001	0.004	0.002	0.002
473.00	-0.000	0.001	0.002	0.001	0.001	0.004	0.002	0.002
474.00	-0.000	0.001	0.002	0.001	0.001	0.004	0.002	0.002
475.00	-0.000	0.001	0.002	0.001	0.001	0.004	0.002	0.002
476.00	-0.000	0.001	0.002	0.001	0.001	0.004	0.002	0.002
477.00	-0.000	0.001	0.002	0.001	0.001	0.003	0.002	0.001
478.00	-0.000	0.001	0.002	0.001	0.001	0.003	0.002	0.001
479.00	-0.000	0.001	0.002	0.001	0.001	0.003	0.002	0.001
480.00	0.000	0.001	0.002	0.001	0.001	0.003	0.001	0.001
481.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
482.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
483.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
484.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
485.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
486.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
487.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
488.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
489.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
490.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
491.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
492.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
493.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
494.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
495.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
496.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
497.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
498.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
499.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
500.00	-0.000	0.001	0.001	0.001	0.001	0.003	0.001	0.001
