Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...
398.00	0.002	0.004	0.004	0.009
399.00	0.002	0.003	0.004	0.009
400.00	0.002	0.003	0.004	0.009
401.00	0.002	0.003	0.004	0.009
402.00	0.002	0.003	0.004	0.008
403.00	0.002	0.003	0.004	0.008
404.00	0.002	0.003	0.004	0.008
405.00	0.002	0.003	0.003	0.008
406.00	0.002	0.003	0.003	0.008
407.00	0.002	0.003	0.003	0.008
408.00	0.002	0.003	0.003	0.008
409.00	0.002	0.003	0.003	0.008
410.00	0.002	0.003	0.003	0.008
411.00	0.002	0.003	0.003	0.008
412.00	0.002	0.003	0.003	0.008
413.00	0.002	0.003	0.003	0.007
414.00	0.002	0.003	0.003	0.007
415.00	0.002	0.003	0.003	0.007
416.00	0.002	0.003	0.003	0.007
417.00	0.002	0.003	0.003	0.007
418.00	0.002	0.003	0.003	0.007
419.00	0.002	0.003	0.003	0.007
420.00	0.001	0.003	0.003	0.007
421.00	0.001	0.003	0.003	0.007
422.00	0.001	0.002	0.003	0.007
423.00	0.002	0.002	0.003	0.007
424.00	0.001	0.002	0.003	0.007
425.00	0.001	0.002	0.003	0.007
426.00	0.001	0.002	0.003	0.006
427.00	0.001	0.002	0.003	0.006
428.00	0.001	0.002	0.003	0.006
429.00	0.001	0.002	0.003	0.006
430.00	0.001	0.002	0.003	0.006
431.00	0.001	0.002	0.003	0.006
432.00	0.001	0.002	0.003	0.006
433.00	0.001	0.002	0.003	0.006
434.00	0.001	0.002	0.003	0.006
435.00	0.001	0.002	0.002	0.006
436.00	0.001	0.002	0.002	0.006
437.00	0.001	0.002	0.002	0.006
438.00	0.001	0.002	0.002	0.006
439.00	0.001	0.002	0.002	0.006
440.00	0.001	0.002	0.002	0.006
441.00	0.001	0.002	0.002	0.006
442.00	0.001	0.002	0.002	0.006
443.00	0.001	0.002	0.002	0.006
444.00	0.001	0.002	0.002	0.006
445.00	0.001	0.002	0.002	0.005
446.00	0.001	0.002	0.002	0.005
447.00	0.001	0.002	0.002	0.005
448.00	0.001	0.002	0.002	0.005
449.00	0.001	0.002	0.002	0.005
450.00	0.001	0.002	0.002	0.005
451.00	0.001	0.002	0.002	0.005
452.00	0.001	0.002	0.002	0.005
453.00	0.001	0.002	0.002	0.005
454.00	0.001	0.002	0.002	0.005
455.00	0.001	0.002	0.002	0.005
456.00	0.001	0.001	0.002	0.005
457.00	0.001	0.001	0.002	0.005
458.00	0.001	0.001	0.002	0.005
459.00	0.001	0.001	0.002	0.005
460.00	0.001	0.001	0.002	0.005
461.00	0.001	0.001	0.002	0.005
462.00	0.001	0.001	0.002	0.005
463.00	0.001	0.001	0.002	0.005
464.00	0.001	0.001	0.002	0.005
465.00	0.001	0.001	0.002	0.005
466.00	0.001	0.001	0.002	0.005
467.00	0.001	0.001	0.002	0.004
468.00	0.001	0.001	0.002	0.004
469.00	0.001	0.001	0.001	0.004
470.00	0.001	0.001	0.001	0.004
471.00	0.001	0.001	0.001	0.004
472.00	0.001	0.001	0.001	0.004
473.00	0.001	0.001	0.001	0.004
474.00	0.001	0.001	0.001	0.004
475.00	0.001	0.001	0.001	0.004
476.00	0.001	0.001	0.001	0.004
477.00	0.001	0.001	0.001	0.004
478.00	0.001	0.001	0.001	0.004
479.00	0.001	0.001	0.001	0.004
480.00	0.001	0.001	0.001	0.004
481.00	0.001	0.001	0.001	0.004
482.00	0.001	0.001	0.001	0.004
483.00	0.001	0.001	0.001	0.004
484.00	0.000	0.001	0.001	0.004
485.00	0.000	0.001	0.001	0.004
486.00	0.000	0.001	0.001	0.004
487.00	0.000	0.001	0.001	0.004
488.00	0.000	0.001	0.001	0.004
489.00	0.000	0.001	0.001	0.004
490.00	0.000	0.001	0.001	0.004
491.00	0.000	0.001	0.001	0.004
492.00	0.000	0.001	0.001	0.004
493.00	0.000	0.001	0.001	0.004
494.00	0.000	0.001	0.001	0.004
495.00	0.001	0.001	0.001	0.004
496.00	0.001	0.001	0.001	0.004
497.00	0.000	0.001	0.001	0.004
498.00	0.000	0.001	0.001	0.004
499.00	0.000	0.001	0.001	0.004
500.00	0.000	0.001	0.001	0.004
501.00	0.000	0.001	0.001	0.004
502.00	0.000	0.001	0.001	0.004
503.00	0.000	0.001	0.001	0.004
504.00	0.001	0.001	0.001	0.004
505.00	0.001	0.001	0.001	0.004
506.00	0.000	0.001	0.001	0.004
507.00	0.000	0.001	0.001	0.003
508.00	0.000	0.001	0.001	0.004
509.00	0.000	0.001	0.001	0.003
510.00	0.000	0.000	0.001	0.003
511.00	0.000	0.001	0.001	0.003
512.00	0.000	0.001	0.001	0.003
513.00	0.000	0.001	0.001	0.003
514.00	0.000	0.000	0.001	0.003
515.00	0.000	0.001	0.001	0.003
516.00	0.000	0.001	0.001	0.003
517.00	0.000	0.001	0.001	0.003
518.00	0.000	0.000	0.001	0.003
519.00	0.000	0.000	0.001	0.003
520.00	0.000	0.001	0.001	0.003
521.00	0.000	0.000	0.001	0.003
522.00	0.000	0.000	0.001	0.003
523.00	0.000	0.000	0.001	0.003
524.00	0.000	0.000	0.001	0.003
525.00	0.000	0.000	0.001	0.003
526.00	0.000	0.000	0.001	0.003
527.00	0.000	0.000	0.001	0.003
528.00	0.000	0.000	0.001	0.003
529.00	0.000	0.000	0.001	0.003
530.00	0.000	0.000	0.001	0.003
531.00	0.000	0.000	0.001	0.003
532.00	0.000	0.000	0.001	0.003
533.00	0.000	0.000	0.001	0.003
534.00	0.000	0.000	0.001	0.003
535.00	0.000	0.001	0.001	0.003
536.00	0.001	0.001	0.002	0.004
537.00	0.000	0.001	0.001	0.003
538.00	0.000	0.000	0.001	0.003
539.00	0.000	0.000	0.001	0.003
540.00	0.000	0.000	0.001	0.003
541.00	0.000	0.000	0.001	0.003
542.00	0.000	0.000	0.001	0.003
543.00	0.000	0.000	0.001	0.003
544.00	0.000	0.000	0.001	0.003
545.00	0.000	0.000	0.001	0.003
546.00	0.000	0.000	0.001	0.003
547.00	0.000	0.000	0.001	0.003
548.00	0.000	0.000	0.001	0.003
549.00	0.000	0.000	0.001	0.003
550.00	0.000	0.000	0.001	0.003
551.00	0.000	0.000	0.001	0.003
552.00	0.000	0.000	0.001	0.003
553.00	0.000	0.000	0.001	0.003
554.00	0.000	0.000	0.001	0.003
555.00	0.000	0.000	0.001	0.003
556.00	0.000	0.000	0.001	0.003
557.00	0.000	0.000	0.001	0.003
558.00	0.000	0.000	0.001	0.003
559.00	0.000	0.000	0.001	0.003
560.00	0.000	0.000	0.001	0.003
561.00	0.000	0.000	0.001	0.003
562.00	0.000	0.000	0.001	0.003
563.00	0.000	0.000	0.001	0.003
564.00	0.000	0.000	0.001	0.003
565.00	0.000	0.000	0.001	0.003
566.00	0.000	0.000	0.001	0.003
567.00	0.000	0.000	0.001	0.003
568.00	0.000	0.000	0.001	0.003
569.00	0.000	0.000	0.001	0.003
570.00	0.000	0.000	0.001	0.003
571.00	0.000	0.000	0.001	0.003
572.00	-0.000	0.000	0.001	0.003
573.00	-0.000	0.000	0.001	0.003
574.00	-0.000	0.000	0.001	0.003
575.00	0.000	0.000	0.001	0.003
576.00	0.000	0.000	0.001	0.003
577.00	0.000	0.000	0.001	0.003
578.00	-0.000	0.000	0.001	0.003
579.00	0.000	0.000	0.001	0.003
580.00	0.000	0.000	0.001	0.003
581.00	-0.000	0.000	0.001	0.002
582.00	0.000	0.000	0.001	0.002
583.00	0.000	0.000	0.001	0.003
584.00	0.000	0.000	0.001	0.003
585.00	0.000	0.000	0.001	0.003
586.00	0.000	0.000	0.001	0.002
587.00	0.000	0.000	0.001	0.003
588.00	0.000	0.000	0.001	0.003
589.00	0.000	0.000	0.001	0.003
590.00	0.000	0.000	0.001	0.003
591.00	0.000	0.000	0.001	0.003
592.00	0.000	0.000	0.001	0.002
593.00	-0.000	0.000	0.001	0.002
594.00	-0.000	0.000	0.001	0.002
595.00	0.000	0.000	0.001	0.003
596.00	0.000	0.000	0.001	0.003
597.00	0.000	0.000	0.001	0.003
598.00	0.000	0.000	0.001	0.002
599.00	-0.000	0.000	0.001	0.002
600.00	0.000	0.000	0.001	0.002
601.00	0.000	0.000	0.001	0.002
602.00	0.000	0.000	0.001	0.002
603.00	0.000	0.000	0.001	0.002
604.00	-0.000	0.000	0.001	0.002
605.00	-0.000	0.000	0.001	0.002
606.00	-0.000	0.000	0.001	0.002
607.00	0.000	0.000	0.001	0.002
608.00	-0.000	0.000	0.001	0.002
609.00	-0.000	0.000	0.001	0.002
610.00	-0.000	0.000	0.001	0.002
611.00	0.000	0.000	0.001	0.002
612.00	0.000	0.000	0.001	0.002
613.00	0.000	0.000	0.001	0.002
614.00	-0.000	0.000	0.001	0.002
615.00	-0.000	0.000	0.001	0.002
616.00	-0.000	0.000	0.001	0.002
617.00	0.000	0.000	0.001	0.002
618.00	-0.000	0.000	0.001	0.002
619.00	-0.000	0.000	0.001	0.002
620.00	0.000	0.000	0.001	0.002
621.00	-0.000	0.000	0.001	0.002
622.00	-0.000	0.000	0.001	0.002
623.00	-0.000	0.000	0.001	0.002
624.00	-0.000	0.000	0.001	0.002
625.00	-0.000	0.000	0.001	0.002
626.00	-0.000	0.000	0.001	0.002
627.00	-0.000	0.000	0.001	0.002
628.00	0.000	0.000	0.001	0.002
629.00	0.000	0.000	0.001	0.002
630.00	-0.000	0.000	0.001	0.002
631.00	-0.000	0.000	0.001	0.002
632.00	-0.000	0.000	0.001	0.002
633.00	-0.000	0.000	0.001	0.002
634.00	-0.000	0.000	0.001	0.002
635.00	-0.000	0.000	0.001	0.002
636.00	-0.000	0.000	0.001	0.002
637.00	-0.000	0.000	0.000	0.002
638.00	-0.000	0.000	0.000	0.002
639.00	-0.000	0.000	0.000	0.002
640.00	-0.000	0.000	0.000	0.002
641.00	-0.000	0.000	0.000	0.002
642.00	-0.000	0.000	0.001	0.002
643.00	-0.000	0.000	0.001	0.002
644.00	-0.000	0.000	0.001	0.002
645.00	-0.000	0.000	0.000	0.002
646.00	-0.000	0.000	0.000	0.002
647.00	-0.000	0.000	0.000	0.002
648.00	-0.000	0.000	0.001	0.002
649.00	-0.000	0.000	0.001	0.002
650.00	-0.000	0.000	0.001	0.002
651.00	-0.000	0.000	0.000	0.002
652.00	-0.000	0.000	0.000	0.002
653.00	-0.000	0.000	0.000	0.002
654.00	-0.000	0.000	0.000	0.002
655.00	-0.000	0.000	0.000	0.002
656.00	-0.000	0.000	0.000	0.002
657.00	-0.000	0.000	0.000	0.002
658.00	-0.000	0.000	0.000	0.002
659.00	-0.000	0.000	0.000	0.002
660.00	-0.000	0.000	0.000	0.002
661.00	-0.000	0.000	0.000	0.002
662.00	-0.000	0.000	0.000	0.002
663.00	0.000	0.000	0.000	0.002
664.00	-0.000	0.000	0.001	0.002
665.00	-0.000	0.000	0.000	0.002
666.00	-0.000	0.000	0.000	0.002
667.00	-0.000	0.000	0.000	0.002
668.00	0.000	0.000	0.000	0.002
669.00	-0.000	0.000	0.000	0.002
670.00	-0.000	0.000	0.000	0.002
671.00	-0.000	0.000	0.000	0.002
672.00	0.000	0.000	0.000	0.002
673.00	-0.000	0.000	0.000	0.002
674.00	-0.000	0.000	0.000	0.002
