Reservoir,Site,Depth_m,Date,Rep,Dilution,Sample Name,Max_FL_Ex ,Max_FL_Em ,Max_FL ,B,T,A,C,M,N,FI,BIX,HIX,T_B,T_M,T_N,T_C,A_T,A_C,A_M,M_C,C_N,a254_m,a350_m,FLAG,Notes_flag,TIME
BVR,50,0.1,6/13/2022,1,1,20221205_B13jun22_01_r1.csv,300,300,24.23400247,0.18539001,0.210234513,0.212254287,0.087662365,0.090698459,0.1307806,1.450635041,0.658193336,1.556797356,1.134012093,2.317950234,1.607535933,2.398229996,1.00960724,2.421270367,2.340219338,1.034633946,0.670300987,,,,,
BVR,50,3,6/13/2022,1,1,20221205_B13jun22_3m_r1.csv,300,300,26.0402057,0.120445373,0.13136706,0.221956093,0.101167238,0.095070002,0.107094626,1.478160736,0.668778628,2.171232311,1.090677507,1.381792959,1.226644736,1.298513847,1.689587131,2.193952285,2.334659602,0.939731121,0.944652796,,,,,
BVR,50,3,6/13/2022,2,1,20221205_B13jun22_3m_r2.csv,300,300,25.32785098,0.121412359,0.135795102,0.222017351,0.102026842,0.096867497,0.109060044,1.47199313,0.67165819,2.188381421,1.118461936,1.401864475,1.245140728,1.330974284,1.634943724,2.176068054,2.291969526,0.949431495,0.935510733,,,,,
BVR,50,0.1,5/17/2022,1,1,20221205_B17may22_01_r1.csv,300,300,16.64061422,0.07492414,0.080173703,0.161945889,0.069715163,0.071282446,0.069262432,1.420982045,0.693367159,2.743907884,1.070065031,1.12473277,1.157535193,1.150018154,2.01993776,2.322965095,2.271890193,1.022481237,1.006536452,,,,,
BVR,50,3,5/17/2022,2,1,20221205_B17may22_3m_r2.csv,300,300,10.24212902,0.053729884,0.070430063,0.156191351,0.069619709,0.068679192,0.068110871,1.422442877,0.671673264,3.049866971,1.310817333,1.025493469,1.034050249,1.011639716,2.217680132,2.243493299,2.274216492,0.986490647,1.022152682,,,,,
BVR,50,0.1,6/20/2022,2,1,20221205_B20jun22_01_r2.csv,300,300,31.77009663,0.291566053,0.294070621,0.260558786,0.107074226,0.114666509,0.16966384,1.460408725,0.676032256,1.276222901,1.008590054,2.564572907,1.733254548,2.746418384,0.88604154,2.433440774,2.272318127,1.07090673,0.631096325,,,,,
BVR,50,3,6/20/2022,1,1,20221205_B20jun22_3m_r1.csv,300,300,30.18183631,0.185177938,0.188349807,0.253601915,0.109314256,0.110454443,0.13106593,1.46798121,0.677989743,1.755038035,1.017128762,1.705226168,1.437061541,1.723012296,1.346441066,2.319934513,2.295986539,1.010430363,0.834040212,,,,,
CCR,50,0.1,6/9/2022,2,1,20221208_C9jun22_0_1_r2.csv,300,300,5.499256693,0.063740537,0.096819329,0.171701942,0.074607326,0.077717516,0.079299164,1.444982516,0.696181972,2.834161829,1.518960059,1.245785168,1.220937584,1.2977188,1.773426274,2.301408615,2.209308148,1.04168747,0.940833703,,,,,
CCR,50,1.5,6/9/2022,2,1,20221208_C9jun22_1_5_r2.csv,300,300,10.6344371,0.084070296,0.097839646,0.184579704,0.079576889,0.081338258,0.086941013,1.458257271,0.677471564,2.657152358,1.16378377,1.20287363,1.125356642,1.229498248,1.886553268,2.319513938,2.269285177,1.022134177,0.915297475,,,,,
CCR,50,1.5,6/9/2022,1,1,20221208_C9jun22_1_5m_r1.csv,300,300,24.53956251,0.120843351,0.116821326,0.201574884,0.082537904,0.086669146,0.093287211,1.438586034,0.692274472,1.932256946,0.966717037,1.347899811,1.252275904,1.415365789,1.725497316,2.442209871,2.325797506,1.050052666,0.884771918,,,,,
CCR,50,6,6/9/2022,2,1,20221208_C9jun22_6m_r2.csv,300,300,7.447396899,0.060565701,0.083115943,0.238014264,0.119987649,0.099929448,0.091302455,1.524657442,0.676815767,4.393698394,1.372326935,0.831746244,0.910336348,0.692704161,2.863641493,1.983656379,2.381823057,0.832831127,1.314177681,,,,,
CCR,50,9,6/9/2022,2,1,20221208_C9jun22_9m_r2.csv,305,304,5.746351719,0.046738463,0.067470679,0.203940941,0.098347262,0.089002356,0.079200301,1.468637127,0.687419991,4.25166118,1.44357932,0.75807745,0.851899276,0.68604532,3.022660265,2.073681929,2.291410586,0.904980514,1.241753644,,,,,
CCR,50,21,6/9/2022,2,1,20221208_C9jun22_21m_r2.csv,305,304,12.86304189,0.058389829,0.08248794,0.253655917,0.120639271,0.108450383,0.09477255,1.471645401,0.656752795,4.529562789,1.412710771,0.760605336,0.870377969,0.683756946,3.075066714,2.102598226,2.33891215,0.898964173,1.272934738,,,,,
CCR,201,0.1,6/9/2022,2,1,20221208_C9jun22_CCS_r2.csv,300,300,4.448804146,0.026911228,0.04296223,0.184999656,0.107626888,0.078288771,0.061453392,1.55464227,0.598656497,6.998585942,1.596442597,0.548766184,0.699102664,0.399177481,4.306099938,1.718898126,2.36304203,0.727409037,1.751357974,,,,,
CCR,500,0.1,6/9/2022,2,1,20221208_C9jun22_CCT_r2.csv,300,300,22.11135124,0.049844596,0.060210106,0.237658591,0.127285219,0.093606259,0.080650656,1.537930806,0.612890742,3.966862201,1.207956534,0.643227346,0.746554443,0.473032973,3.947154537,1.867134244,2.538917737,0.735405569,1.578229185,,,,,
CCR,301,0.1,6/9/2022,1,1,20221208_C9jun22_SMB_r1.csv,305,304,5.358473584,0.011230827,0.02943452,0.152452374,0.093144125,0.061038763,0.046674601,1.442784886,0.53384742,7.118957846,2.62086846,0.482226683,0.630632496,0.316010486,5.179373477,1.636736328,2.49763209,0.655315222,1.995606237,,,,,
CCR,400,0.1,6/9/2022,2,1,20221208_C9jun22_TCT_r2.csv,300,300,9.812398169,0.063096375,0.077728487,0.18949015,0.084481037,0.089624961,0.079284393,1.457743061,0.680101026,2.870473139,1.231900994,0.867263828,0.980375637,0.920070226,2.437846892,2.242990341,2.114256429,1.060888504,1.065544357,,,,,
CCR,50,6,7/14/2022,1,1,20230105_C14jul22_6m_r1.csv,300,300,3.865864141,0.052677696,0.070578791,0.231352679,0.118222413,0.101827669,0.086019731,1.550337419,0.676749027,4.721065815,1.339823048,0.693119965,0.820495365,0.597000083,3.277934875,1.956927393,2.272002106,0.861322878,1.374363904,,,,,
CCR,50,9,7/14/2022,1,1,20230105_C14jul22_9m_r1.csv,300,300,4.592966946,0.060324702,0.076027786,0.217491702,0.10681646,0.103896456,0.087714354,1.533454612,0.685519825,4.028440563,1.260309349,0.731764965,0.866765624,0.711760966,2.860687017,2.036125354,2.093350534,0.972663355,1.217776283,,,,,
CCR,50,20,7/14/2022,1,1,20230105_C14jul22_20m_r1.csv,300,300,13.59764631,0.059121948,0.0782611,0.277186982,0.131882659,0.118104585,0.10093258,1.459876792,0.659453022,4.524421659,1.323723279,0.662642351,0.775379953,0.593414633,3.541823245,2.101769739,2.346962081,0.895527779,1.306641108,,,,,
CCR,201,0.1,7/14/2022,1,1,20230105_C14jul22_CCS_r1.csv,300,300,4.882939802,0.019091821,0.038244453,0.195252081,0.109997705,0.082726732,0.063151605,1.54259472,0.630871047,7.419822442,2.003185223,0.462298612,0.605597489,0.347684103,5.105369905,1.775055956,2.360205422,0.752076891,1.741803791,,,,,
CCR,50,0.1,6/30/2022,1,1,20230105_C30jun22_0_1m_r1.csv,305,304,5.004808142,0.064804329,0.077723592,0.159561845,0.066067155,0.072041982,0.073141439,1.4475052,0.747475639,2.843976086,1.199358031,1.078865265,1.062647847,1.176433168,2.052939659,2.415146306,2.21484529,1.090435669,0.903279401,,,,,
