Wavelength nm.,MilliQ,CC3_16apr25_01_fridge1,CS1_16apr25_01_fridge1,CC3_16apr25_BOTR2,CC3_16apr25_BOT_fridge1,CC3_16apr25_01R2,CS1_16apr25_01R2
647,0,0,0.001,0.001,0,0,0.002
648,0,0,0.001,0.001,0,0,0.002
649,0,0,0.001,0.001,0,0,0.002
650,0,0,0.001,0.001,0,0,0.002
651,0,0,0.001,0.001,0,0,0.002
652,0,0,0.001,0.001,0,0,0.002
653,0,0,0.001,0.001,0,0,0.002
654,0,0,0.001,0.001,0,0,0.002
655,0,0,0.001,0.001,0,0,0.002
656,0,0,0.001,0.001,0,0,0.002
657,0,0,0.001,0.001,0,0,0.002
658,0,0,0.001,0.001,0,0,0.002
659,0,0,0.001,0.001,0,0,0.002
660,0,0,0.001,0.001,0,0,0.002
661,0,0,0.001,0.001,0,0,0.002
662,0,0,0.001,0.001,0,0,0.002
663,0,0,0.001,0.001,0,0,0.002
664,0,0,0.001,0.001,0,0,0.002
665,0,0,0.001,0.001,0,0,0.002
666,0,0,0.001,0.001,0,0,0.002
667,0,0,0.001,0.001,0,0,0.002
668,0,0,0.001,0.001,0,0,0.002
669,0,0,0.001,0.001,0,0,0.002
670,0,0,0.001,0.001,0,0,0.002
671,0,0,0.001,0.001,0,0,0.002
672,0,0,0.001,0.001,0,0,0.002
673,0,0,0.001,0.001,0,0,0.002
674,0,0,0.001,0.001,0,0,0.002
675,0,0,0.001,0.001,0,0,0.002
676,0,0,0.001,0.001,0,0,0.002
677,0,0,0.001,0.001,0,0,0.002
678,0,0,0.001,0.001,0,0,0.002
679,0,0,0.001,0.001,0,0,0.002
680,0,0,0.001,0.001,0,0,0.002
681,0,0,0.001,0.001,0,0,0.002
682,0,0,0.001,0.001,0,0,0.002
683,0,0,0.001,0.001,0,0,0.002
684,0,0,0.001,0.001,0,0,0.002
685,0,0,0.001,0.001,0,0,0.002
686,0,0,0.001,0.001,0,0,0.002
687,0,0,0.001,0.001,0,0,0.002
688,0,0,0.001,0.001,0,0,0.002
689,0,0,0.001,0.001,0,0,0.002
690,0,0,0.001,0.001,0,0,0.002
691,0,0,0.001,0.001,0,0,0.002
692,0,0,0.001,0.001,0,0,0.002
