Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
351.00	0.001	0.011	0.015	0.014	0.013	0.010	0.014
352.00	0.000	0.011	0.015	0.014	0.013	0.010	0.014
353.00	0.000	0.010	0.015	0.014	0.013	0.010	0.014
354.00	0.000	0.010	0.014	0.013	0.012	0.010	0.013
355.00	0.000	0.010	0.014	0.014	0.012	0.010	0.013
356.00	0.001	0.010	0.014	0.014	0.012	0.009	0.013
357.00	0.000	0.010	0.014	0.013	0.012	0.009	0.013
358.00	0.001	0.010	0.014	0.013	0.012	0.009	0.013
359.00	0.000	0.009	0.014	0.013	0.011	0.009	0.013
360.00	0.000	0.009	0.013	0.012	0.011	0.009	0.012
361.00	0.000	0.009	0.013	0.012	0.011	0.009	0.012
362.00	0.000	0.009	0.013	0.012	0.011	0.009	0.012
363.00	0.001	0.009	0.013	0.012	0.011	0.008	0.012
364.00	0.000	0.008	0.012	0.012	0.010	0.008	0.012
365.00	0.000	0.008	0.012	0.012	0.010	0.008	0.012
366.00	0.001	0.008	0.012	0.012	0.010	0.008	0.012
367.00	0.000	0.008	0.012	0.011	0.010	0.008	0.011
368.00	0.001	0.008	0.012	0.011	0.010	0.008	0.011
369.00	0.000	0.008	0.012	0.011	0.010	0.007	0.011
370.00	0.000	0.008	0.011	0.011	0.009	0.007	0.011
371.00	0.000	0.008	0.011	0.011	0.009	0.007	0.011
372.00	0.000	0.007	0.011	0.010	0.009	0.007	0.011
373.00	0.001	0.007	0.011	0.010	0.009	0.007	0.011
374.00	0.000	0.007	0.011	0.010	0.009	0.007	0.011
375.00	0.000	0.007	0.011	0.010	0.009	0.007	0.010
376.00	0.000	0.007	0.010	0.010	0.009	0.007	0.010
377.00	0.000	0.007	0.010	0.010	0.008	0.007	0.010
378.00	0.000	0.007	0.010	0.010	0.009	0.007	0.010
379.00	0.000	0.007	0.010	0.009	0.008	0.006	0.010
380.00	0.000	0.007	0.010	0.009	0.008	0.006	0.010
381.00	0.000	0.006	0.010	0.009	0.008	0.006	0.010
382.00	0.000	0.006	0.010	0.009	0.008	0.006	0.010
383.00	0.000	0.006	0.010	0.009	0.008	0.006	0.010
384.00	0.000	0.006	0.010	0.009	0.008	0.006	0.010
385.00	0.000	0.006	0.009	0.009	0.008	0.006	0.009
386.00	0.000	0.006	0.009	0.009	0.007	0.006	0.009
387.00	0.000	0.006	0.009	0.008	0.007	0.005	0.009
388.00	0.000	0.006	0.009	0.008	0.007	0.005	0.009
389.00	0.000	0.005	0.009	0.008	0.007	0.005	0.009
390.00	0.000	0.005	0.009	0.008	0.007	0.005	0.009
391.00	0.000	0.005	0.009	0.008	0.007	0.005	0.009
392.00	0.000	0.005	0.008	0.008	0.007	0.005	0.008
393.00	0.000	0.005	0.008	0.008	0.006	0.005	0.008
394.00	0.000	0.005	0.008	0.008	0.006	0.005	0.008
395.00	0.000	0.005	0.008	0.008	0.006	0.005	0.008
396.00	0.000	0.005	0.008	0.007	0.006	0.004	0.008
397.00	0.000	0.005	0.008	0.007	0.006	0.004	0.008
398.00	0.000	0.004	0.008	0.007	0.006	0.004	0.008
399.00	0.000	0.004	0.007	0.007	0.006	0.004	0.008
400.00	0.000	0.004	0.007	0.007	0.006	0.004	0.008
401.00	0.000	0.004	0.007	0.007	0.006	0.004	0.008
402.00	0.000	0.004	0.007	0.007	0.006	0.004	0.008
403.00	0.000	0.004	0.007	0.007	0.006	0.004	0.008
404.00	0.000	0.004	0.007	0.007	0.005	0.004	0.008
405.00	0.000	0.004	0.007	0.006	0.005	0.004	0.007
406.00	0.000	0.004	0.007	0.006	0.005	0.004	0.007
407.00	0.000	0.004	0.007	0.006	0.005	0.004	0.007
408.00	0.000	0.004	0.007	0.006	0.005	0.004	0.007
409.00	0.000	0.004	0.007	0.006	0.005	0.004	0.007
410.00	0.000	0.004	0.007	0.006	0.005	0.004	0.007
411.00	0.000	0.004	0.007	0.006	0.005	0.004	0.007
412.00	0.000	0.004	0.006	0.006	0.005	0.003	0.007
413.00	0.000	0.004	0.006	0.006	0.005	0.004	0.007
414.00	0.000	0.004	0.006	0.006	0.005	0.004	0.007
415.00	0.000	0.004	0.006	0.006	0.005	0.003	0.007
416.00	0.000	0.004	0.006	0.006	0.005	0.004	0.007
417.00	0.000	0.003	0.006	0.006	0.005	0.003	0.007
418.00	0.000	0.003	0.006	0.006	0.005	0.003	0.007
419.00	0.000	0.003	0.006	0.006	0.004	0.003	0.007
420.00	0.000	0.003	0.006	0.005	0.004	0.003	0.006
421.00	0.000	0.003	0.006	0.005	0.004	0.003	0.006
422.00	0.000	0.003	0.006	0.005	0.004	0.003	0.006
423.00	0.000	0.003	0.006	0.005	0.004	0.003	0.006
424.00	0.000	0.003	0.006	0.005	0.004	0.003	0.006
425.00	0.000	0.003	0.006	0.005	0.004	0.003	0.006
426.00	0.000	0.003	0.005	0.005	0.004	0.003	0.006
427.00	0.000	0.003	0.005	0.005	0.004	0.003	0.006
428.00	0.000	0.003	0.005	0.005	0.004	0.003	0.006
429.00	0.000	0.003	0.005	0.005	0.004	0.003	0.006
430.00	0.000	0.003	0.005	0.005	0.004	0.003	0.006
431.00	0.000	0.003	0.005	0.005	0.004	0.003	0.006
432.00	0.000	0.003	0.005	0.005	0.004	0.002	0.006
433.00	0.000	0.002	0.005	0.005	0.003	0.002	0.006
434.00	0.000	0.002	0.005	0.004	0.003	0.002	0.006
435.00	0.000	0.002	0.005	0.004	0.003	0.002	0.006
436.00	0.000	0.002	0.005	0.004	0.003	0.002	0.006
437.00	0.000	0.002	0.005	0.004	0.003	0.002	0.006
438.00	0.000	0.002	0.004	0.004	0.003	0.002	0.006
439.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
440.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
441.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
442.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
443.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
444.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
445.00	-0.000	0.002	0.004	0.004	0.003	0.002	0.005
446.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
447.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
448.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
449.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
450.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
451.00	0.000	0.002	0.004	0.004	0.003	0.002	0.005
452.00	-0.000	0.002	0.004	0.004	0.003	0.002	0.005
453.00	-0.000	0.002	0.004	0.003	0.003	0.002	0.005
454.00	0.000	0.002	0.004	0.003	0.003	0.002	0.005
455.00	-0.000	0.002	0.004	0.003	0.003	0.002	0.005
456.00	-0.000	0.002	0.004	0.003	0.003	0.002	0.005
457.00	0.000	0.002	0.004	0.003	0.003	0.002	0.005
458.00	-0.000	0.002	0.004	0.003	0.003	0.002	0.005
459.00	0.000	0.002	0.004	0.003	0.002	0.002	0.005
460.00	0.000	0.002	0.004	0.003	0.002	0.002	0.005
461.00	0.000	0.002	0.004	0.003	0.002	0.002	0.005
462.00	0.000	0.002	0.004	0.003	0.002	0.002	0.005
463.00	-0.000	0.001	0.003	0.003	0.002	0.001	0.005
464.00	-0.000	0.001	0.003	0.003	0.002	0.001	0.004
465.00	0.000	0.001	0.003	0.003	0.002	0.002	0.004
466.00	0.000	0.001	0.003	0.003	0.002	0.002	0.004
467.00	0.000	0.001	0.003	0.003	0.002	0.002	0.004
468.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
469.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
470.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
471.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
472.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
473.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
474.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
475.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
476.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
477.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
478.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
479.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
480.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
481.00	-0.000	0.001	0.003	0.003	0.002	0.001	0.004
482.00	-0.000	0.001	0.003	0.003	0.002	0.001	0.004
483.00	-0.000	0.001	0.003	0.003	0.002	0.001	0.004
484.00	-0.000	0.001	0.003	0.003	0.002	0.001	0.004
485.00	0.000	0.001	0.003	0.003	0.002	0.001	0.004
486.00	0.000	0.001	0.002	0.003	0.002	0.001	0.004
487.00	0.000	0.001	0.002	0.003	0.002	0.001	0.004
488.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.004
489.00	-0.000	0.001	0.002	0.003	0.001	0.001	0.004
490.00	0.000	0.001	0.002	0.003	0.002	0.001	0.004
491.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.004
492.00	-0.000	0.001	0.003	0.002	0.002	0.001	0.004
493.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.004
494.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
495.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
496.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
497.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
498.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
499.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.004
500.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
501.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.004
502.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.004
503.00	-0.000	0.001	0.002	0.002	0.001	0.001	0.004
504.00	0.000	0.001	0.002	0.002	0.001	0.001	0.004
