Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
292.00	0.000	0.034	0.033	0.032	0.031	0.032	0.034	0.032	0.031	0.032	0.032
293.00	0.000	0.033	0.032	0.032	0.030	0.031	0.033	0.031	0.030	0.031	0.032
294.00	0.000	0.032	0.031	0.031	0.029	0.030	0.032	0.030	0.029	0.030	0.031
295.00	-0.000	0.031	0.031	0.030	0.028	0.029	0.032	0.030	0.029	0.030	0.030
296.00	-0.000	0.031	0.030	0.029	0.028	0.029	0.031	0.029	0.028	0.029	0.030
297.00	-0.000	0.030	0.029	0.029	0.027	0.028	0.030	0.029	0.027	0.028	0.029
298.00	0.000	0.030	0.029	0.028	0.027	0.028	0.030	0.028	0.027	0.028	0.029
299.00	0.000	0.029	0.028	0.027	0.026	0.027	0.029	0.027	0.026	0.027	0.028
300.00	0.000	0.028	0.027	0.027	0.026	0.026	0.028	0.027	0.026	0.027	0.027
301.00	0.000	0.028	0.027	0.026	0.025	0.026	0.028	0.026	0.025	0.026	0.027
302.00	0.000	0.027	0.026	0.025	0.025	0.025	0.027	0.026	0.025	0.026	0.026
303.00	0.000	0.027	0.026	0.025	0.024	0.025	0.026	0.025	0.024	0.025	0.026
304.00	0.000	0.026	0.025	0.024	0.023	0.024	0.026	0.024	0.024	0.024	0.025
305.00	0.000	0.025	0.025	0.023	0.023	0.024	0.026	0.024	0.023	0.024	0.024
306.00	-0.000	0.025	0.024	0.023	0.022	0.023	0.025	0.023	0.023	0.023	0.024
307.00	0.000	0.025	0.024	0.023	0.022	0.023	0.025	0.023	0.022	0.023	0.023
308.00	-0.000	0.024	0.023	0.022	0.021	0.022	0.024	0.022	0.022	0.022	0.023
309.00	-0.000	0.023	0.023	0.021	0.021	0.022	0.023	0.022	0.021	0.022	0.022
310.00	-0.000	0.023	0.022	0.021	0.020	0.021	0.023	0.022	0.021	0.021	0.022
311.00	-0.000	0.022	0.022	0.021	0.020	0.021	0.023	0.021	0.021	0.021	0.021
312.00	-0.000	0.022	0.021	0.020	0.020	0.020	0.022	0.021	0.020	0.021	0.021
313.00	-0.000	0.021	0.021	0.020	0.020	0.020	0.022	0.021	0.020	0.021	0.021
314.00	0.000	0.021	0.021	0.020	0.019	0.020	0.021	0.020	0.020	0.020	0.021
315.00	-0.000	0.021	0.020	0.019	0.019	0.019	0.021	0.020	0.019	0.020	0.020
316.00	-0.000	0.020	0.020	0.018	0.018	0.019	0.020	0.019	0.019	0.019	0.019
317.00	-0.000	0.020	0.019	0.018	0.018	0.018	0.020	0.019	0.018	0.019	0.019
318.00	-0.000	0.019	0.019	0.018	0.018	0.018	0.020	0.018	0.018	0.018	0.019
319.00	-0.000	0.019	0.019	0.017	0.017	0.018	0.019	0.018	0.018	0.018	0.019
320.00	-0.000	0.019	0.019	0.017	0.017	0.017	0.019	0.018	0.018	0.018	0.018
321.00	-0.000	0.019	0.018	0.017	0.017	0.017	0.019	0.018	0.017	0.018	0.018
322.00	-0.000	0.018	0.018	0.017	0.016	0.017	0.018	0.017	0.017	0.018	0.018
323.00	-0.000	0.018	0.017	0.016	0.016	0.017	0.018	0.017	0.016	0.017	0.017
324.00	0.000	0.018	0.017	0.016	0.016	0.017	0.018	0.017	0.016	0.017	0.017
325.00	0.000	0.018	0.017	0.016	0.016	0.016	0.018	0.017	0.016	0.016	0.017
326.00	-0.000	0.017	0.017	0.015	0.015	0.016	0.017	0.016	0.016	0.016	0.017
327.00	-0.000	0.017	0.016	0.015	0.015	0.015	0.016	0.016	0.015	0.016	0.016
328.00	-0.000	0.016	0.016	0.015	0.015	0.015	0.016	0.015	0.015	0.015	0.016
329.00	0.000	0.016	0.016	0.014	0.014	0.015	0.016	0.015	0.015	0.015	0.015
330.00	0.000	0.016	0.015	0.014	0.014	0.014	0.016	0.015	0.014	0.015	0.015
331.00	-0.000	0.015	0.015	0.014	0.014	0.014	0.016	0.015	0.014	0.015	0.015
332.00	0.000	0.015	0.015	0.013	0.013	0.014	0.015	0.014	0.014	0.014	0.014
333.00	-0.000	0.015	0.015	0.013	0.013	0.014	0.015	0.014	0.014	0.014	0.014
334.00	0.000	0.015	0.014	0.013	0.013	0.013	0.015	0.014	0.013	0.014	0.014
335.00	-0.000	0.014	0.014	0.013	0.013	0.013	0.014	0.014	0.013	0.013	0.014
336.00	-0.000	0.014	0.014	0.012	0.012	0.013	0.014	0.013	0.013	0.013	0.013
337.00	0.000	0.014	0.013	0.012	0.012	0.012	0.014	0.013	0.013	0.013	0.013
338.00	0.000	0.014	0.013	0.012	0.012	0.012	0.014	0.013	0.013	0.013	0.013
339.00	-0.000	0.013	0.013	0.012	0.012	0.012	0.014	0.013	0.012	0.013	0.013
340.00	0.001	0.014	0.014	0.013	0.013	0.014	0.015	0.014	0.014	0.014	0.014
341.00	0.000	0.013	0.013	0.012	0.012	0.012	0.013	0.013	0.012	0.012	0.012
342.00	-0.000	0.013	0.012	0.011	0.011	0.012	0.013	0.012	0.011	0.012	0.012
343.00	-0.001	0.012	0.012	0.011	0.011	0.011	0.012	0.012	0.011	0.011	0.012
344.00	-0.000	0.012	0.012	0.011	0.011	0.011	0.012	0.011	0.011	0.011	0.011
345.00	-0.000	0.012	0.012	0.010	0.010	0.011	0.012	0.011	0.011	0.011	0.011
346.00	-0.000	0.012	0.011	0.010	0.010	0.011	0.012	0.011	0.010	0.011	0.011
347.00	-0.000	0.012	0.011	0.010	0.010	0.010	0.012	0.011	0.011	0.011	0.011
348.00	-0.000	0.011	0.011	0.010	0.010	0.010	0.011	0.010	0.010	0.010	0.011
349.00	0.000	0.011	0.011	0.010	0.010	0.010	0.011	0.010	0.010	0.010	0.010
350.00	0.000	0.011	0.011	0.010	0.010	0.010	0.011	0.010	0.010	0.011	0.011
351.00	-0.000	0.010	0.010	0.009	0.009	0.009	0.011	0.010	0.010	0.010	0.010
352.00	-0.000	0.010	0.010	0.009	0.009	0.009	0.011	0.010	0.009	0.010	0.010
353.00	-0.000	0.010	0.010	0.009	0.009	0.009	0.011	0.010	0.010	0.010	0.010
354.00	-0.000	0.010	0.010	0.009	0.009	0.009	0.010	0.009	0.009	0.009	0.009
355.00	-0.000	0.010	0.010	0.009	0.008	0.009	0.010	0.009	0.009	0.009	0.009
356.00	-0.000	0.010	0.009	0.008	0.008	0.009	0.010	0.009	0.009	0.009	0.009
357.00	0.000	0.009	0.009	0.008	0.008	0.009	0.010	0.009	0.009	0.009	0.009
358.00	-0.000	0.009	0.009	0.008	0.008	0.008	0.010	0.009	0.009	0.009	0.009
359.00	0.000	0.009	0.009	0.008	0.008	0.008	0.009	0.009	0.009	0.009	0.009
360.00	-0.000	0.009	0.009	0.008	0.008	0.008	0.009	0.008	0.008	0.008	0.009
361.00	-0.000	0.009	0.009	0.008	0.008	0.008	0.009	0.008	0.008	0.008	0.008
362.00	-0.000	0.009	0.008	0.007	0.008	0.007	0.009	0.008	0.008	0.008	0.008
363.00	-0.000	0.008	0.008	0.007	0.007	0.008	0.008	0.008	0.008	0.008	0.008
364.00	-0.000	0.008	0.008	0.007	0.007	0.007	0.008	0.008	0.008	0.008	0.008
365.00	-0.000	0.008	0.008	0.007	0.007	0.007	0.009	0.008	0.007	0.008	0.008
366.00	-0.000	0.008	0.008	0.007	0.007	0.007	0.008	0.008	0.007	0.007	0.008
367.00	-0.000	0.008	0.008	0.007	0.007	0.007	0.008	0.008	0.007	0.007	0.008
368.00	-0.000	0.008	0.007	0.007	0.007	0.007	0.008	0.007	0.007	0.007	0.007
369.00	-0.000	0.007	0.007	0.006	0.007	0.007	0.008	0.007	0.007	0.007	0.007
370.00	-0.000	0.007	0.007	0.006	0.006	0.006	0.007	0.007	0.007	0.007	0.007
371.00	-0.000	0.007	0.007	0.006	0.006	0.007	0.008	0.007	0.007	0.007	0.007
372.00	-0.000	0.007	0.007	0.006	0.006	0.006	0.007	0.006	0.007	0.007	0.007
373.00	0.000	0.007	0.007	0.006	0.006	0.006	0.007	0.006	0.006	0.007	0.007
374.00	-0.000	0.007	0.007	0.006	0.006	0.006	0.007	0.006	0.006	0.006	0.006
375.00	-0.000	0.007	0.007	0.006	0.006	0.006	0.007	0.006	0.006	0.006	0.006
376.00	-0.000	0.007	0.007	0.006	0.006	0.006	0.007	0.006	0.006	0.006	0.006
377.00	-0.000	0.006	0.006	0.006	0.006	0.006	0.007	0.006	0.006	0.006	0.006
378.00	-0.000	0.006	0.006	0.005	0.005	0.006	0.007	0.006	0.006	0.006	0.006
379.00	-0.000	0.006	0.006	0.005	0.005	0.006	0.006	0.006	0.006	0.006	0.006
380.00	-0.000	0.006	0.006	0.005	0.005	0.005	0.006	0.006	0.005	0.006	0.006
381.00	-0.000	0.006	0.006	0.005	0.005	0.005	0.006	0.005	0.005	0.005	0.005
382.00	-0.000	0.006	0.006	0.005	0.005	0.005	0.006	0.005	0.005	0.005	0.005
383.00	-0.000	0.006	0.005	0.005	0.005	0.005	0.006	0.005	0.005	0.005	0.005
384.00	-0.000	0.006	0.005	0.005	0.005	0.005	0.006	0.005	0.005	0.005	0.005
385.00	-0.000	0.005	0.005	0.005	0.005	0.005	0.006	0.005	0.005	0.005	0.005
386.00	-0.000	0.005	0.005	0.005	0.005	0.005	0.006	0.005	0.005	0.005	0.005
387.00	-0.000	0.005	0.005	0.005	0.005	0.005	0.006	0.005	0.005	0.005	0.005
388.00	-0.000	0.005	0.005	0.005	0.005	0.005	0.006	0.005	0.005	0.005	0.005
389.00	-0.000	0.005	0.005	0.004	0.004	0.004	0.005	0.005	0.005	0.005	0.005
390.00	-0.000	0.005	0.005	0.004	0.004	0.004	0.005	0.005	0.005	0.005	0.005
391.00	-0.000	0.005	0.005	0.004	0.004	0.004	0.005	0.004	0.004	0.005	0.005
392.00	-0.000	0.005	0.005	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.004
393.00	-0.000	0.005	0.004	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.004
394.00	-0.000	0.004	0.004	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.004
395.00	-0.000	0.004	0.004	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.004
396.00	-0.000	0.004	0.004	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.004
397.00	-0.000	0.004	0.004	0.004	0.004	0.004	0.005	0.004	0.004	0.004	0.004
398.00	-0.000	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004
399.00	-0.000	0.004	0.004	0.003	0.003	0.003	0.004	0.004	0.004	0.004	0.004
400.00	-0.000	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004	0.004
401.00	-0.000	0.004	0.004	0.003	0.003	0.004	0.004	0.004	0.004	0.004	0.004
402.00	-0.000	0.004	0.004	0.003	0.003	0.003	0.004	0.004	0.003	0.004	0.004
403.00	-0.000	0.004	0.004	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
404.00	-0.000	0.004	0.004	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
405.00	-0.000	0.004	0.004	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
406.00	-0.000	0.003	0.004	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
407.00	-0.000	0.003	0.004	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
408.00	-0.000	0.003	0.004	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
409.00	-0.000	0.003	0.003	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
410.00	-0.000	0.003	0.003	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
411.00	-0.000	0.003	0.003	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
412.00	-0.000	0.003	0.003	0.003	0.003	0.003	0.004	0.003	0.003	0.003	0.003
413.00	-0.000	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
414.00	-0.000	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003	0.003
