Wavelength nm.,milliQ,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14
778,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
779,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
780,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
781,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
782,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
783,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
784,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
785,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
786,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
787,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
788,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
789,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
790,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
791,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0.001,0.002,0,0.001,0
792,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
793,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
794,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
795,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
796,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
797,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
798,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
799,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0.001,0.001,0
800,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
801,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
802,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
803,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
804,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0.001,0.001,0
805,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
806,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0.001,0.002,0,0.001,0
807,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
808,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
809,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
810,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
811,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
812,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
813,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
814,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
815,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
816,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
817,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
818,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
819,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
820,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
821,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0.001,0.001,0
822,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
823,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
824,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
825,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
826,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0.001,0
827,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0.001,0.001,0
828,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
829,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.001,0,0,0
830,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
831,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
832,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0.001,0
833,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
834,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
835,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
836,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.001,0,0,0
837,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.001,0,0,0
838,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.001,0,0,0
839,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
840,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.001,0,0,0
841,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.001,0,0,0
842,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
843,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.001,0,0,0
844,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
845,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
846,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.001,0,0,0
847,0,0.004,0.001,0.002,0,0,0,0,0,0.002,0,0.002,0,0,0
848,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.001,0,0,0
849,0,0.004,0.001,0.002,0,0.001,0.001,0,0,0.002,0,0.002,0,0,0
850,0,0.004,0.001,0.002,0,0,0.001,0,0,0.002,0,0.002,0,0,0
