Wavelength nm.,MilliQ,CP1_19jun24_BOTr1,CC2_19jun24_BOTr1,CP2_19jun24_BOTr2,CC1_19jun24_01r1,CC3_19jun24_15r1,CP2_19jun24_01r2,CP1_19jun24_01r2,CC3_19jun24_BOTr1,CS2_19un24_01r1,CS1_19jun24_01r1,CC3_19jun24_01r2,CC1_19jun24_BOTr1,CC4_19jun24_15r1,CC3_19jun24_15r2,CC2_19jun24_BOTr2
301,0,0.039,0.025,0.037,0.022,0.02,0.032,0.037,0.027,0.026,0.034,0.02,0.024,0.02,0.019,0.023
302,0,0.038,0.024,0.036,0.022,0.02,0.031,0.036,0.027,0.025,0.033,0.019,0.023,0.02,0.019,0.022
303,0,0.037,0.024,0.036,0.021,0.019,0.031,0.035,0.026,0.025,0.033,0.019,0.023,0.019,0.018,0.022
304,0,0.037,0.023,0.035,0.02,0.019,0.03,0.035,0.026,0.024,0.032,0.018,0.022,0.018,0.018,0.021
305,0,0.036,0.023,0.035,0.02,0.018,0.029,0.034,0.025,0.024,0.032,0.018,0.022,0.018,0.018,0.021
306,0,0.035,0.022,0.034,0.02,0.018,0.029,0.033,0.024,0.024,0.031,0.018,0.021,0.017,0.017,0.02
307,0,0.035,0.022,0.034,0.019,0.018,0.029,0.033,0.024,0.024,0.031,0.017,0.021,0.017,0.017,0.02
308,0,0.034,0.021,0.033,0.019,0.017,0.028,0.033,0.024,0.023,0.031,0.017,0.021,0.017,0.016,0.02
309,0,0.034,0.021,0.033,0.018,0.017,0.027,0.032,0.024,0.023,0.03,0.017,0.02,0.017,0.016,0.019
310,0,0.033,0.02,0.032,0.018,0.016,0.027,0.031,0.023,0.022,0.03,0.016,0.02,0.016,0.016,0.019
311,0,0.032,0.02,0.032,0.018,0.016,0.026,0.031,0.022,0.022,0.029,0.016,0.019,0.016,0.015,0.018
312,0,0.032,0.02,0.031,0.017,0.016,0.026,0.03,0.023,0.022,0.029,0.016,0.019,0.016,0.015,0.018
313,0,0.032,0.019,0.031,0.017,0.016,0.025,0.03,0.022,0.022,0.029,0.015,0.019,0.015,0.014,0.018
314,0,0.031,0.019,0.03,0.017,0.015,0.025,0.03,0.022,0.021,0.028,0.015,0.018,0.015,0.014,0.017
315,0,0.031,0.019,0.03,0.016,0.015,0.024,0.029,0.021,0.021,0.028,0.015,0.018,0.015,0.014,0.017
316,0,0.03,0.018,0.03,0.016,0.014,0.024,0.029,0.021,0.021,0.028,0.014,0.018,0.014,0.014,0.017
317,0,0.03,0.018,0.029,0.015,0.014,0.023,0.028,0.02,0.02,0.027,0.014,0.017,0.014,0.013,0.016
318,0,0.029,0.018,0.029,0.015,0.014,0.023,0.028,0.02,0.02,0.027,0.014,0.017,0.014,0.013,0.016
319,0,0.029,0.017,0.028,0.015,0.014,0.023,0.028,0.02,0.02,0.027,0.014,0.017,0.013,0.013,0.016
320,-0.001,0.029,0.017,0.028,0.015,0.013,0.022,0.027,0.019,0.019,0.026,0.013,0.016,0.013,0.013,0.016
321,0,0.028,0.017,0.028,0.015,0.013,0.022,0.027,0.019,0.019,0.026,0.013,0.016,0.013,0.012,0.015
322,0,0.028,0.017,0.027,0.014,0.013,0.022,0.027,0.019,0.019,0.026,0.013,0.016,0.012,0.012,0.015
323,0,0.027,0.016,0.027,0.014,0.013,0.021,0.026,0.018,0.019,0.025,0.013,0.016,0.012,0.012,0.015
324,0,0.027,0.016,0.027,0.014,0.013,0.021,0.026,0.019,0.019,0.025,0.013,0.015,0.012,0.012,0.015
325,0,0.027,0.016,0.026,0.014,0.012,0.021,0.025,0.018,0.018,0.025,0.012,0.015,0.012,0.011,0.014
326,0,0.026,0.016,0.026,0.014,0.012,0.02,0.025,0.018,0.018,0.024,0.012,0.015,0.012,0.011,0.014
327,0,0.026,0.016,0.026,0.013,0.012,0.021,0.025,0.018,0.018,0.024,0.012,0.015,0.012,0.011,0.014
328,0,0.026,0.015,0.026,0.013,0.011,0.02,0.024,0.017,0.018,0.024,0.012,0.014,0.011,0.011,0.014
329,0,0.025,0.015,0.025,0.013,0.011,0.02,0.024,0.017,0.017,0.023,0.011,0.014,0.011,0.011,0.014
330,0,0.025,0.015,0.025,0.012,0.011,0.019,0.024,0.017,0.017,0.023,0.011,0.014,0.011,0.01,0.013
