Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
290.00	0.000	0.050	0.037	0.024	0.036	0.034	0.039	0.034	0.025	0.036	0.033	0.034	0.032	0.034	0.030	0.031
291.00	0.000	0.048	0.036	0.023	0.035	0.033	0.038	0.033	0.025	0.035	0.032	0.033	0.031	0.033	0.030	0.031
292.00	0.000	0.048	0.035	0.023	0.035	0.033	0.038	0.032	0.025	0.034	0.031	0.033	0.030	0.033	0.029	0.030
293.00	0.000	0.047	0.034	0.022	0.033	0.032	0.037	0.031	0.024	0.034	0.031	0.032	0.029	0.032	0.029	0.030
294.00	0.000	0.046	0.034	0.022	0.033	0.031	0.036	0.031	0.024	0.033	0.030	0.031	0.029	0.031	0.029	0.029
295.00	0.000	0.045	0.033	0.022	0.032	0.031	0.036	0.030	0.024	0.032	0.029	0.031	0.028	0.031	0.028	0.029
296.00	0.000	0.044	0.033	0.021	0.032	0.030	0.035	0.030	0.024	0.032	0.029	0.030	0.027	0.030	0.028	0.029
297.00	0.000	0.043	0.032	0.021	0.031	0.029	0.035	0.029	0.023	0.031	0.028	0.029	0.027	0.029	0.027	0.028
298.00	0.001	0.043	0.032	0.021	0.031	0.029	0.034	0.029	0.023	0.031	0.028	0.029	0.026	0.029	0.027	0.028
299.00	0.000	0.042	0.031	0.021	0.030	0.028	0.033	0.028	0.023	0.030	0.027	0.028	0.026	0.028	0.027	0.028
300.00	0.000	0.041	0.030	0.020	0.029	0.027	0.032	0.027	0.022	0.029	0.027	0.028	0.025	0.027	0.026	0.027
301.00	0.000	0.041	0.030	0.020	0.028	0.027	0.032	0.027	0.022	0.029	0.026	0.027	0.025	0.027	0.026	0.027
302.00	0.000	0.040	0.029	0.020	0.028	0.027	0.031	0.026	0.022	0.028	0.025	0.027	0.024	0.026	0.026	0.027
303.00	0.000	0.039	0.029	0.019	0.027	0.026	0.031	0.025	0.022	0.028	0.025	0.026	0.024	0.026	0.025	0.026
304.00	0.000	0.038	0.028	0.019	0.027	0.025	0.030	0.025	0.021	0.028	0.024	0.025	0.023	0.025	0.025	0.026
305.00	0.000	0.038	0.028	0.019	0.026	0.025	0.030	0.024	0.021	0.027	0.024	0.025	0.023	0.025	0.025	0.026
306.00	0.000	0.037	0.027	0.019	0.026	0.024	0.029	0.024	0.021	0.027	0.024	0.025	0.022	0.024	0.025	0.026
307.00	0.000	0.037	0.027	0.019	0.026	0.024	0.029	0.024	0.021	0.026	0.023	0.024	0.022	0.024	0.024	0.025
308.00	0.001	0.036	0.026	0.018	0.025	0.023	0.029	0.023	0.020	0.026	0.023	0.023	0.021	0.024	0.024	0.025
309.00	0.001	0.036	0.026	0.018	0.025	0.023	0.028	0.023	0.020	0.025	0.022	0.023	0.021	0.023	0.023	0.025
310.00	0.000	0.035	0.025	0.018	0.024	0.023	0.027	0.022	0.020	0.025	0.022	0.022	0.021	0.023	0.023	0.024
311.00	0.001	0.034	0.025	0.017	0.023	0.022	0.027	0.022	0.020	0.024	0.021	0.022	0.020	0.022	0.023	0.024
312.00	0.000	0.034	0.025	0.017	0.023	0.022	0.026	0.021	0.019	0.024	0.021	0.022	0.020	0.022	0.023	0.023
313.00	0.001	0.033	0.025	0.017	0.023	0.021	0.026	0.021	0.019	0.024	0.021	0.022	0.020	0.022	0.023	0.023
314.00	0.000	0.033	0.024	0.017	0.022	0.021	0.026	0.021	0.019	0.023	0.020	0.021	0.019	0.021	0.022	0.023
315.00	0.000	0.032	0.023	0.016	0.021	0.021	0.025	0.020	0.018	0.023	0.020	0.021	0.018	0.021	0.022	0.022
316.00	0.000	0.032	0.023	0.016	0.021	0.020	0.025	0.020	0.018	0.023	0.019	0.020	0.018	0.020	0.021	0.022
317.00	0.001	0.032	0.023	0.016	0.021	0.020	0.025	0.019	0.018	0.022	0.019	0.020	0.018	0.020	0.021	0.022
318.00	0.000	0.031	0.023	0.016	0.021	0.020	0.024	0.019	0.018	0.022	0.019	0.019	0.018	0.020	0.021	0.022
319.00	0.000	0.031	0.022	0.016	0.020	0.019	0.024	0.019	0.018	0.022	0.018	0.019	0.017	0.019	0.021	0.022
320.00	0.000	0.030	0.022	0.015	0.020	0.019	0.023	0.019	0.018	0.021	0.018	0.019	0.017	0.019	0.020	0.021
321.00	0.001	0.030	0.022	0.015	0.020	0.019	0.023	0.018	0.017	0.021	0.018	0.019	0.017	0.019	0.020	0.021
322.00	0.001	0.029	0.021	0.015	0.019	0.018	0.023	0.018	0.017	0.021	0.017	0.018	0.016	0.018	0.020	0.021
323.00	0.000	0.029	0.021	0.015	0.019	0.018	0.022	0.017	0.017	0.020	0.017	0.018	0.016	0.018	0.019	0.020
324.00	0.001	0.028	0.021	0.015	0.019	0.017	0.022	0.017	0.017	0.020	0.017	0.018	0.016	0.018	0.019	0.020
325.00	0.000	0.028	0.020	0.015	0.018	0.017	0.022	0.017	0.016	0.020	0.016	0.017	0.015	0.017	0.019	0.020
326.00	0.000	0.028	0.020	0.014	0.018	0.017	0.021	0.017	0.016	0.020	0.016	0.017	0.015	0.017	0.019	0.020
327.00	0.000	0.027	0.020	0.014	0.018	0.016	0.021	0.016	0.016	0.019	0.016	0.017	0.015	0.017	0.018	0.019
328.00	0.000	0.026	0.019	0.014	0.017	0.016	0.020	0.015	0.016	0.019	0.015	0.016	0.014	0.016	0.018	0.019
329.00	0.000	0.026	0.019	0.014	0.017	0.016	0.020	0.015	0.015	0.019	0.015	0.016	0.014	0.016	0.018	0.019
330.00	0.000	0.026	0.019	0.013	0.017	0.016	0.020	0.015	0.015	0.018	0.015	0.016	0.014	0.016	0.018	0.018
331.00	0.000	0.025	0.019	0.013	0.016	0.015	0.019	0.015	0.015	0.018	0.015	0.015	0.014	0.016	0.018	0.018
332.00	0.000	0.025	0.018	0.013	0.016	0.015	0.019	0.015	0.015	0.018	0.014	0.015	0.013	0.015	0.017	0.018
333.00	0.000	0.025	0.018	0.013	0.016	0.015	0.019	0.014	0.015	0.018	0.014	0.015	0.013	0.015	0.017	0.018
334.00	0.000	0.024	0.018	0.013	0.016	0.015	0.019	0.014	0.015	0.018	0.014	0.015	0.013	0.015	0.017	0.018
335.00	0.000	0.024	0.018	0.013	0.015	0.014	0.018	0.014	0.014	0.017	0.014	0.014	0.013	0.015	0.016	0.017
336.00	0.000	0.024	0.017	0.013	0.015	0.014	0.018	0.014	0.014	0.017	0.013	0.014	0.013	0.015	0.016	0.017
337.00	0.000	0.023	0.017	0.012	0.015	0.014	0.018	0.013	0.014	0.017	0.013	0.014	0.012	0.014	0.016	0.016
338.00	0.000	0.023	0.017	0.012	0.015	0.014	0.017	0.013	0.014	0.017	0.013	0.013	0.012	0.014	0.016	0.016
339.00	0.001	0.023	0.017	0.012	0.015	0.014	0.018	0.013	0.014	0.017	0.013	0.014	0.012	0.014	0.016	0.016
340.00	0.002	0.024	0.018	0.014	0.016	0.015	0.018	0.014	0.015	0.018	0.014	0.015	0.013	0.015	0.017	0.018
341.00	0.001	0.022	0.016	0.012	0.014	0.013	0.017	0.012	0.013	0.016	0.012	0.013	0.012	0.014	0.015	0.016
342.00	0.001	0.021	0.016	0.012	0.014	0.013	0.016	0.012	0.013	0.016	0.012	0.013	0.011	0.013	0.015	0.016
343.00	0.000	0.021	0.015	0.011	0.013	0.012	0.016	0.012	0.012	0.015	0.012	0.012	0.011	0.013	0.014	0.015
344.00	-0.000	0.021	0.015	0.011	0.013	0.012	0.016	0.011	0.012	0.015	0.011	0.012	0.010	0.012	0.014	0.015
345.00	0.000	0.021	0.015	0.011	0.013	0.012	0.016	0.012	0.013	0.015	0.011	0.012	0.011	0.012	0.014	0.015
346.00	0.000	0.020	0.015	0.011	0.013	0.012	0.015	0.011	0.012	0.015	0.011	0.012	0.010	0.012	0.014	0.015
347.00	0.000	0.020	0.015	0.011	0.012	0.011	0.015	0.011	0.012	0.015	0.011	0.012	0.010	0.012	0.014	0.014
348.00	0.000	0.020	0.015	0.011	0.012	0.011	0.015	0.011	0.012	0.015	0.011	0.011	0.010	0.012	0.014	0.014
349.00	0.000	0.019	0.014	0.011	0.012	0.011	0.014	0.011	0.012	0.014	0.011	0.011	0.009	0.012	0.013	0.014
350.00	0.000	0.019	0.015	0.011	0.012	0.011	0.014	0.010	0.012	0.014	0.011	0.011	0.010	0.012	0.013	0.014
351.00	-0.000	0.019	0.014	0.010	0.012	0.011	0.014	0.010	0.011	0.014	0.010	0.011	0.009	0.011	0.013	0.013
352.00	-0.000	0.018	0.014	0.010	0.011	0.010	0.014	0.010	0.011	0.014	0.010	0.010	0.009	0.011	0.013	0.013
353.00	0.000	0.018	0.014	0.010	0.011	0.011	0.014	0.010	0.011	0.014	0.010	0.010	0.009	0.011	0.013	0.013
354.00	-0.000	0.018	0.014	0.010	0.011	0.010	0.013	0.009	0.011	0.013	0.009	0.010	0.008	0.010	0.012	0.013
355.00	0.000	0.018	0.013	0.010	0.011	0.010	0.013	0.010	0.011	0.013	0.009	0.010	0.008	0.010	0.012	0.012
356.00	0.000	0.017	0.013	0.009	0.010	0.010	0.013	0.009	0.011	0.013	0.009	0.010	0.008	0.010	0.012	0.012
357.00	0.000	0.017	0.013	0.010	0.010	0.010	0.013	0.009	0.010	0.013	0.009	0.010	0.008	0.010	0.012	0.012
358.00	0.000	0.017	0.013	0.010	0.010	0.010	0.013	0.009	0.011	0.013	0.009	0.010	0.008	0.010	0.011	0.012
359.00	0.000	0.017	0.013	0.010	0.010	0.009	0.012	0.009	0.010	0.012	0.009	0.009	0.008	0.010	0.011	0.012
