Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
409.00	-0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.005	0.004
410.00	0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.005	0.004
411.00	0.000	0.003	0.008	0.003	0.004	0.004	0.005	0.008	0.005	0.004
412.00	-0.000	0.003	0.007	0.003	0.004	0.004	0.005	0.008	0.005	0.004
413.00	-0.000	0.003	0.007	0.003	0.004	0.003	0.004	0.008	0.005	0.004
414.00	0.000	0.003	0.007	0.003	0.004	0.004	0.004	0.008	0.005	0.004
415.00	0.000	0.003	0.007	0.003	0.004	0.003	0.004	0.008	0.005	0.004
416.00	0.000	0.003	0.007	0.003	0.004	0.004	0.004	0.008	0.005	0.004
417.00	0.000	0.003	0.007	0.003	0.004	0.004	0.004	0.007	0.005	0.004
418.00	-0.000	0.003	0.007	0.003	0.004	0.003	0.004	0.007	0.005	0.004
419.00	0.000	0.003	0.007	0.003	0.004	0.003	0.004	0.007	0.005	0.004
420.00	0.000	0.003	0.007	0.003	0.004	0.003	0.004	0.007	0.005	0.004
421.00	-0.000	0.003	0.007	0.002	0.004	0.003	0.004	0.007	0.005	0.004
422.00	0.000	0.002	0.007	0.002	0.004	0.003	0.004	0.007	0.005	0.004
423.00	0.000	0.003	0.007	0.002	0.003	0.003	0.004	0.007	0.005	0.004
424.00	0.000	0.002	0.007	0.002	0.003	0.003	0.004	0.007	0.005	0.004
425.00	-0.000	0.002	0.007	0.002	0.003	0.003	0.004	0.007	0.005	0.004
426.00	-0.000	0.002	0.007	0.002	0.003	0.003	0.004	0.007	0.004	0.003
427.00	0.000	0.002	0.007	0.002	0.003	0.003	0.004	0.007	0.004	0.004
428.00	-0.000	0.002	0.007	0.002	0.003	0.003	0.004	0.007	0.004	0.003
429.00	-0.000	0.002	0.007	0.002	0.003	0.003	0.004	0.007	0.004	0.003
430.00	0.000	0.002	0.007	0.002	0.003	0.003	0.004	0.007	0.004	0.003
431.00	-0.000	0.002	0.007	0.002	0.003	0.003	0.003	0.007	0.004	0.003
432.00	-0.000	0.002	0.006	0.002	0.003	0.003	0.003	0.006	0.004	0.003
433.00	-0.000	0.002	0.006	0.002	0.003	0.003	0.003	0.006	0.004	0.003
434.00	-0.000	0.002	0.006	0.002	0.003	0.003	0.003	0.006	0.004	0.003
435.00	-0.000	0.002	0.006	0.002	0.003	0.003	0.003	0.006	0.004	0.003
436.00	-0.000	0.002	0.006	0.002	0.003	0.002	0.003	0.006	0.004	0.003
437.00	-0.000	0.002	0.006	0.002	0.003	0.002	0.003	0.006	0.004	0.003
438.00	-0.000	0.002	0.006	0.002	0.003	0.002	0.003	0.006	0.004	0.003
439.00	-0.000	0.002	0.006	0.002	0.003	0.003	0.003	0.006	0.004	0.003
440.00	-0.000	0.002	0.006	0.002	0.003	0.002	0.003	0.006	0.004	0.003
441.00	-0.000	0.002	0.006	0.002	0.003	0.002	0.003	0.006	0.004	0.003
442.00	-0.000	0.002	0.006	0.002	0.003	0.002	0.003	0.006	0.004	0.003
443.00	-0.000	0.002	0.006	0.002	0.003	0.002	0.003	0.006	0.003	0.003
444.00	-0.000	0.001	0.006	0.002	0.003	0.002	0.003	0.006	0.003	0.003
445.00	-0.000	0.002	0.006	0.002	0.003	0.002	0.003	0.006	0.003	0.003
446.00	-0.000	0.001	0.006	0.001	0.002	0.002	0.003	0.006	0.003	0.003
