Wavelength nm.,milliQ,CC4_16SEP24_01R2,CS1_16SEP24_01R2,CC3_16SEP24_15R1,CC2_16SEP24_01R2,CC4_16SEP24_15R2,CC4_16SEP24_15R1,CC2_16SEP24_01R1,CC4_16SEP24_9R1,CC3_16SEP24_01R1,CC4_16SEP24_6R1,CC3_16SEP24_BOTR2,CC4_16SEP24_BOTR1
317,0.001,0.012,0.028,0.012,0.042,0.012,0.011,0.032,0.016,0.013,0.013,0.013,0.017
318,0.001,0.012,0.028,0.011,0.041,0.012,0.011,0.031,0.016,0.013,0.013,0.013,0.017
319,0.001,0.012,0.027,0.011,0.04,0.011,0.011,0.031,0.015,0.013,0.013,0.012,0.016
320,0.001,0.011,0.027,0.011,0.04,0.011,0.011,0.03,0.015,0.013,0.012,0.012,0.016
321,0.001,0.011,0.027,0.011,0.04,0.011,0.011,0.03,0.015,0.013,0.012,0.012,0.016
322,0.001,0.011,0.026,0.01,0.039,0.011,0.01,0.03,0.014,0.012,0.012,0.012,0.016
323,0.001,0.011,0.026,0.01,0.039,0.01,0.01,0.029,0.014,0.012,0.012,0.012,0.016
324,0.001,0.011,0.026,0.01,0.038,0.011,0.01,0.029,0.014,0.012,0.012,0.012,0.015
325,0.001,0.011,0.026,0.01,0.038,0.01,0.01,0.029,0.014,0.012,0.012,0.011,0.015
326,0.001,0.01,0.025,0.01,0.038,0.01,0.01,0.028,0.014,0.011,0.012,0.011,0.015
327,0.001,0.01,0.025,0.01,0.037,0.01,0.01,0.028,0.013,0.011,0.011,0.011,0.015
328,0.001,0.01,0.024,0.01,0.037,0.01,0.009,0.027,0.013,0.011,0.011,0.011,0.014
329,0.001,0.01,0.024,0.009,0.037,0.01,0.009,0.027,0.013,0.011,0.011,0.011,0.014
330,0.001,0.01,0.024,0.009,0.036,0.009,0.009,0.027,0.013,0.011,0.011,0.011,0.014
331,0.001,0.01,0.024,0.009,0.036,0.009,0.009,0.026,0.013,0.011,0.011,0.01,0.014
332,0.001,0.009,0.023,0.009,0.036,0.009,0.009,0.026,0.013,0.01,0.01,0.01,0.014
333,0.001,0.009,0.023,0.009,0.035,0.009,0.009,0.025,0.013,0.01,0.01,0.01,0.014
334,0.001,0.009,0.023,0.009,0.035,0.009,0.008,0.025,0.012,0.01,0.01,0.01,0.013
335,0.001,0.009,0.022,0.009,0.034,0.009,0.009,0.025,0.012,0.01,0.01,0.01,0.013
336,0.001,0.009,0.022,0.009,0.034,0.008,0.008,0.025,0.012,0.01,0.01,0.009,0.013
337,0.001,0.009,0.022,0.009,0.034,0.009,0.008,0.024,0.012,0.01,0.01,0.009,0.013
338,0.001,0.009,0.022,0.008,0.033,0.009,0.008,0.024,0.012,0.01,0.01,0.009,0.013
339,0.001,0.009,0.021,0.008,0.033,0.009,0.008,0.024,0.012,0.01,0.01,0.009,0.013
340,0.003,0.01,0.023,0.01,0.034,0.01,0.009,0.025,0.013,0.011,0.011,0.011,0.014
341,0.001,0.009,0.021,0.008,0.032,0.008,0.008,0.023,0.012,0.01,0.009,0.009,0.012
342,0.001,0.008,0.021,0.008,0.032,0.008,0.008,0.023,0.011,0.009,0.009,0.009,0.012
343,0.001,0.008,0.02,0.008,0.031,0.008,0.008,0.023,0.011,0.009,0.009,0.009,0.012
344,0.001,0.008,0.02,0.008,0.031,0.008,0.007,0.022,0.011,0.009,0.009,0.009,0.012
345,0.001,0.008,0.02,0.007,0.03,0.008,0.007,0.022,0.011,0.009,0.009,0.009,0.011
346,0.001,0.008,0.019,0.007,0.03,0.007,0.007,0.021,0.01,0.009,0.009,0.009,0.011
347,0,0.007,0.019,0.007,0.03,0.007,0.006,0.021,0.01,0.009,0.008,0.008,0.011
348,0,0.007,0.019,0.007,0.029,0.007,0.007,0.021,0.01,0.008,0.008,0.008,0.011
349,0.001,0.007,0.019,0.007,0.029,0.007,0.007,0.021,0.01,0.008,0.008,0.008,0.011
350,0.001,0.007,0.018,0.007,0.029,0.007,0.006,0.02,0.01,0.008,0.009,0.008,0.011
351,0.001,0.007,0.018,0.007,0.028,0.007,0.006,0.02,0.01,0.008,0.008,0.008,0.011
352,0.001,0.007,0.018,0.007,0.028,0.007,0.006,0.02,0.01,0.008,0.008,0.007,0.01
353,0.001,0.007,0.018,0.006,0.028,0.007,0.006,0.02,0.009,0.008,0.008,0.007,0.01
354,0.001,0.007,0.017,0.006,0.027,0.007,0.006,0.019,0.009,0.008,0.008,0.007,0.01
355,0.001,0.007,0.017,0.006,0.027,0.007,0.006,0.019,0.009,0.008,0.008,0.007,0.01
356,0.001,0.007,0.017,0.006,0.027,0.006,0.006,0.019,0.009,0.008,0.008,0.007,0.01
357,0.001,0.006,0.017,0.006,0.027,0.007,0.006,0.019,0.009,0.008,0.008,0.007,0.01
358,0.001,0.006,0.016,0.006,0.026,0.006,0.006,0.018,0.008,0.008,0.008,0.007,0.009
359,0.001,0.006,0.016,0.006,0.026,0.006,0.006,0.018,0.008,0.008,0.007,0.007,0.009
360,0,0.006,0.016,0.006,0.026,0.006,0.005,0.017,0.008,0.007,0.007,0.007,0.009
361,0.001,0.006,0.016,0.006,0.025,0.006,0.005,0.017,0.008,0.007,0.007,0.007,0.009
362,0,0.006,0.016,0.006,0.025,0.006,0.005,0.017,0.008,0.007,0.007,0.007,0.009
363,0.001,0.006,0.016,0.006,0.025,0.006,0.005,0.017,0.008,0.007,0.007,0.007,0.009
364,0.001,0.006,0.015,0.005,0.025,0.006,0.005,0.016,0.008,0.007,0.007,0.006,0.008
365,0.001,0.006,0.015,0.005,0.025,0.006,0.005,0.016,0.008,0.007,0.007,0.006,0.008
366,0.001,0.006,0.015,0.005,0.024,0.005,0.005,0.016,0.008,0.007,0.007,0.006,0.008
367,0,0.005,0.014,0.005,0.024,0.005,0.005,0.016,0.007,0.006,0.007,0.006,0.008
368,0,0.005,0.014,0.005,0.024,0.005,0.005,0.016,0.007,0.007,0.006,0.006,0.008
369,0,0.005,0.014,0.005,0.023,0.005,0.004,0.015,0.007,0.006,0.006,0.006,0.008
370,0,0.005,0.014,0.005,0.023,0.005,0.005,0.015,0.007,0.007,0.006,0.006,0.008
371,0.001,0.005,0.014,0.005,0.023,0.005,0.004,0.015,0.007,0.007,0.006,0.006,0.008
372,0.001,0.005,0.014,0.005,0.023,0.005,0.004,0.015,0.007,0.007,0.006,0.006,0.008
373,0.001,0.005,0.013,0.005,0.023,0.005,0.004,0.014,0.007,0.006,0.006,0.006,0.008
374,0,0.005,0.013,0.004,0.022,0.005,0.004,0.014,0.007,0.006,0.006,0.005,0.007
375,0.001,0.005,0.013,0.004,0.022,0.005,0.004,0.014,0.007,0.006,0.006,0.005,0.007
376,0.001,0.005,0.013,0.004,0.022,0.005,0.004,0.014,0.007,0.006,0.006,0.005,0.007
377,0.001,0.005,0.013,0.004,0.022,0.005,0.004,0.014,0.006,0.006,0.006,0.005,0.007
378,0.001,0.005,0.013,0.004,0.022,0.005,0.004,0.014,0.006,0.006,0.006,0.005,0.007
379,0.001,0.005,0.013,0.004,0.021,0.005,0.004,0.014,0.006,0.006,0.006,0.005,0.007
380,0.001,0.005,0.012,0.004,0.021,0.004,0.004,0.013,0.006,0.006,0.006,0.005,0.007
381,0.001,0.004,0.012,0.004,0.021,0.004,0.004,0.013,0.006,0.006,0.006,0.005,0.007
382,0.001,0.005,0.012,0.004,0.021,0.004,0.004,0.013,0.006,0.006,0.006,0.005,0.007
383,0.001,0.005,0.012,0.004,0.02,0.004,0.004,0.013,0.006,0.006,0.006,0.005,0.007
384,0.001,0.004,0.012,0.004,0.02,0.004,0.004,0.013,0.006,0.006,0.006,0.005,0.007
385,0.001,0.004,0.012,0.004,0.02,0.004,0.004,0.012,0.006,0.006,0.006,0.005,0.007
